ID;Betalingsplichtigen;Perioden;TotaalMilieubelastingenEnHeffingen_1;TotaleOpbrengstMilieubelastingen_2;TotaalBelastingenOpMilieugrondslag_3;Afvalstoffenbelasting_4;Brandstoffenbelasting_5;Energiebelasting_6;Emissierechten_7;LeidingwaterEnGrondwaterbelasting_8;Verpakkingenbelasting_9;Vliegbelasting_10;TotaalBelastingenMBTMobiliteit_11;AccijnsOpBenzineEnOvMineraleOlien_12;BelastPersonenautoSEnMotorrijwielen_13;Motorrijtuigenbelasting_14;Mineralenheffingen_15;TotaleOpbrengstMilieuheffingen_16;AfvalstoffenheffingEnReinigingsrechten_17;GeluidsheffingBurgerluchtvaart_18;GrondwaterheffingEnNazorgheffing_19;RioolheffingEnRioolrechten_20;Waterverontreinigingsheffing_21
400;20 Chemische industrie;2003;133.0;101.0;68.0;4.0;33.0;26.0;0.0;5.0;;;33.0;29.0;2.0;2.0;;32.0;12.0;;6.0;2.0;12.0
401;20 Chemische industrie;2004;157.0;131.0;107.0;3.0;4.0;95.0;0.0;5.0;;;24.0;14.0;3.0;7.0;;26.0;10.0;;3.0;2.0;11.0
402;20 Chemische industrie;2005;242.0;213.0;183.0;3.0;0.0;175.0;0.0;5.0;;;30.0;21.0;2.0;7.0;;29.0;10.0;;6.0;2.0;11.0
403;20 Chemische industrie;2006;235.0;206.0;183.0;4.0;0.0;174.0;0.0;5.0;;;23.0;13.0;3.0;7.0;;29.0;10.0;;5.0;2.0;12.0
404;20 Chemische industrie;2007;264.0;233.0;132.0;3.0;0.0;124.0;0.0;5.0;;;101.0;91.0;3.0;7.0;;31.0;12.0;;4.0;2.0;13.0
405;20 Chemische industrie;2008;278.0;249.0;167.0;2.0;0.0;149.0;0.0;5.0;11.0;0.0;82.0;70.0;5.0;7.0;;29.0;12.0;;0.0;3.0;14.0
406;20 Chemische industrie;2009;223.0;199.0;162.0;1.0;0.0;137.0;0.0;5.0;19.0;0.0;37.0;19.0;2.0;16.0;;24.0;12.0;;0.0;2.0;10.0
407;20 Chemische industrie;2010;169.0;145.0;139.0;0.0;0.0;113.0;0.0;6.0;20.0;;6.0;3.0;1.0;2.0;;24.0;12.0;;0.0;2.0;10.0
408;20 Chemische industrie;2011;200.0;173.0;163.0;0.0;0.0;128.0;9.0;7.0;19.0;;10.0;5.0;3.0;2.0;;27.0;12.0;;0.0;3.0;12.0
409;20 Chemische industrie;2012;189.0;156.0;145.0;0.0;0.0;111.0;9.0;6.0;19.0;;11.0;4.0;2.0;5.0;;33.0;12.0;;0.0;4.0;17.0
410;20 Chemische industrie;2013;184.0;155.0;143.0;0.0;0.0;130.0;8.0;5.0;0.0;;12.0;6.0;1.0;5.0;;29.0;12.0;;0.0;4.0;13.0
411;20 Chemische industrie;2014;182.0;153.0;138.0;0.0;0.0;126.0;3.0;9.0;0.0;;15.0;9.0;1.0;5.0;;29.0;12.0;;0.0;4.0;13.0
412;20 Chemische industrie;2015;186.0;156.0;138.0;2.0;0.0;123.0;3.0;10.0;0.0;;18.0;10.0;1.0;7.0;;30.0;12.0;;0.0;4.0;14.0
413;20 Chemische industrie;2016;169.0;138.0;125.0;2.0;0.0;112.0;1.0;10.0;0.0;;13.0;8.0;0.0;5.0;;31.0;12.0;;0.0;4.0;15.0
414;20 Chemische industrie;2017;189.0;165.0;151.0;1.0;0.0;132.0;9.0;9.0;0.0;;14.0;8.0;1.0;5.0;;24.0;10.0;;0.0;4.0;10.0
415;20 Chemische industrie;2018;213.0;187.0;171.0;1.0;0.0;149.0;12.0;9.0;0.0;;16.0;9.0;1.0;6.0;;26.0;10.0;;0.0;5.0;11.0
416;20 Chemische industrie;2019;239.0;216.0;202.0;3.0;0.0;160.0;31.0;8.0;0.0;;14.0;10.0;1.0;3.0;;23.0;10.0;;0.0;4.0;9.0
417;20 Chemische industrie;2020;259.0;234.0;223.0;3.0;0.0;186.0;26.0;8.0;0.0;;11.0;8.0;0.0;3.0;;25.0;12.0;;0.0;4.0;9.0
418;20 Chemische industrie;2021;347.0;314.0;304.0;4.0;0.0;265.0;25.0;10.0;0.0;0.0;10.0;9.0;0.0;1.0;;33.0;17.0;;0.0;6.0;10.0
419;20 Chemische industrie;2022;508.0;476.0;466.0;3.0;0.0;359.0;95.0;9.0;0.0;0.0;10.0;6.0;0.0;4.0;;32.0;16.0;;0.0;4.0;12.0
420;21Farmaceutische industrie;1995;10.0;5.0;4.0;1.0;1.0;0.0;0.0;2.0;;;1.0;0.0;0.0;1.0;;5.0;3.0;;0.0;0.0;2.0
421;21Farmaceutische industrie;1996;10.0;6.0;5.0;1.0;1.0;1.0;0.0;2.0;;;1.0;0.0;0.0;1.0;;4.0;2.0;;0.0;0.0;2.0
422;21Farmaceutische industrie;1997;10.0;5.0;5.0;1.0;4.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;;5.0;3.0;;0.0;0.0;2.0
423;21Farmaceutische industrie;1998;12.0;8.0;8.0;1.0;3.0;1.0;0.0;3.0;;;0.0;0.0;0.0;0.0;;4.0;2.0;;0.0;0.0;2.0
424;21Farmaceutische industrie;1999;12.0;7.0;7.0;1.0;3.0;1.0;0.0;2.0;;;0.0;0.0;0.0;0.0;;5.0;2.0;;1.0;0.0;2.0
425;21Farmaceutische industrie;2000;13.0;8.0;8.0;2.0;2.0;1.0;0.0;3.0;;;0.0;0.0;0.0;0.0;;5.0;2.0;;1.0;0.0;2.0
426;21Farmaceutische industrie;2001;15.0;10.0;10.0;2.0;1.0;5.0;0.0;2.0;;;0.0;0.0;0.0;0.0;;5.0;2.0;;1.0;0.0;2.0
427;21Farmaceutische industrie;2002;12.0;6.0;6.0;1.0;1.0;2.0;0.0;2.0;;;0.0;0.0;0.0;0.0;;6.0;2.0;;2.0;0.0;2.0
428;21Farmaceutische industrie;2003;12.0;6.0;6.0;1.0;1.0;2.0;0.0;2.0;;;0.0;0.0;0.0;0.0;;6.0;3.0;;1.0;0.0;2.0
429;21Farmaceutische industrie;2004;12.0;6.0;6.0;0.0;0.0;4.0;0.0;2.0;;;0.0;0.0;0.0;0.0;;6.0;3.0;;1.0;0.0;2.0
430;21Farmaceutische industrie;2005;17.0;11.0;11.0;0.0;0.0;9.0;0.0;2.0;;;0.0;0.0;0.0;0.0;;6.0;3.0;;1.0;0.0;2.0
431;21Farmaceutische industrie;2006;19.0;14.0;13.0;1.0;0.0;10.0;0.0;2.0;;;1.0;0.0;0.0;1.0;;5.0;3.0;;0.0;0.0;2.0
432;21Farmaceutische industrie;2007;16.0;12.0;11.0;1.0;0.0;8.0;0.0;2.0;;;1.0;0.0;0.0;1.0;;4.0;2.0;;0.0;0.0;2.0
433;21Farmaceutische industrie;2008;21.0;16.0;16.0;1.0;0.0;8.0;0.0;2.0;5.0;0.0;0.0;0.0;0.0;0.0;;5.0;2.0;;0.0;1.0;2.0
434;21Farmaceutische industrie;2009;23.0;19.0;19.0;0.0;0.0;8.0;0.0;2.0;9.0;0.0;0.0;0.0;0.0;0.0;;4.0;2.0;;0.0;0.0;2.0
435;21Farmaceutische industrie;2010;23.0;19.0;19.0;1.0;0.0;7.0;0.0;1.0;10.0;;0.0;0.0;0.0;0.0;;4.0;2.0;;0.0;0.0;2.0
436;21Farmaceutische industrie;2011;23.0;19.0;18.0;1.0;0.0;7.0;0.0;1.0;9.0;;1.0;0.0;1.0;0.0;;4.0;2.0;;0.0;0.0;2.0
437;21Farmaceutische industrie;2012;22.0;17.0;17.0;0.0;0.0;7.0;0.0;1.0;9.0;;0.0;0.0;0.0;0.0;;5.0;2.0;;0.0;0.0;3.0
438;21Farmaceutische industrie;2013;11.0;6.0;6.0;-1.0;0.0;7.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;5.0;2.0;;0.0;0.0;3.0
439;21Farmaceutische industrie;2014;15.0;10.0;10.0;0.0;0.0;9.0;0.0;1.0;0.0;;0.0;0.0;0.0;0.0;;5.0;2.0;;0.0;0.0;3.0
440;21Farmaceutische industrie;2015;16.0;11.0;11.0;1.0;0.0;9.0;0.0;1.0;0.0;;0.0;0.0;0.0;0.0;;5.0;2.0;;0.0;0.0;3.0
441;21Farmaceutische industrie;2016;16.0;11.0;10.0;1.0;0.0;8.0;0.0;1.0;0.0;;1.0;1.0;0.0;0.0;;5.0;2.0;;0.0;0.0;3.0
442;21Farmaceutische industrie;2017;19.0;14.0;11.0;0.0;0.0;9.0;0.0;2.0;0.0;;3.0;2.0;1.0;0.0;;5.0;1.0;;0.0;0.0;4.0
443;21Farmaceutische industrie;2018;18.0;13.0;12.0;0.0;0.0;10.0;0.0;2.0;0.0;;1.0;1.0;0.0;0.0;;5.0;1.0;;0.0;0.0;4.0
444;21Farmaceutische industrie;2019;20.0;16.0;15.0;0.0;0.0;12.0;0.0;3.0;0.0;;1.0;1.0;0.0;0.0;;4.0;1.0;;0.0;0.0;3.0
445;21Farmaceutische industrie;2020;26.0;21.0;19.0;0.0;0.0;16.0;0.0;3.0;0.0;;2.0;2.0;0.0;0.0;;5.0;1.0;;0.0;0.0;4.0
446;21Farmaceutische industrie;2021;23.0;19.0;17.0;0.0;0.0;15.0;0.0;2.0;0.0;0.0;2.0;2.0;0.0;0.0;;4.0;1.0;;0.0;0.0;3.0
447;21Farmaceutische industrie;2022;29.0;24.0;23.0;0.0;0.0;20.0;0.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;;5.0;2.0;;0.0;0.0;3.0
448;22-23 Kunststof- en bouwmateriaalindustr;1995;46.0;34.0;11.0;1.0;9.0;0.0;0.0;1.0;;;23.0;10.0;5.0;8.0;;12.0;4.0;;0.0;2.0;6.0
449;22-23 Kunststof- en bouwmateriaalindustr;1996;49.0;39.0;17.0;2.0;10.0;4.0;0.0;1.0;;;22.0;9.0;7.0;6.0;;10.0;4.0;;0.0;1.0;5.0
450;22-23 Kunststof- en bouwmateriaalindustr;1997;52.0;40.0;20.0;1.0;9.0;9.0;0.0;1.0;;;20.0;8.0;6.0;6.0;;12.0;4.0;;1.0;1.0;6.0
451;22-23 Kunststof- en bouwmateriaalindustr;1998;59.0;47.0;21.0;2.0;9.0;9.0;0.0;1.0;;;26.0;10.0;8.0;8.0;;12.0;5.0;;1.0;2.0;5.0
452;22-23 Kunststof- en bouwmateriaalindustr;1999;69.0;58.0;31.0;2.0;8.0;20.0;0.0;1.0;;;27.0;16.0;9.0;2.0;;11.0;3.0;;1.0;2.0;5.0
453;22-23 Kunststof- en bouwmateriaalindustr;2000;77.0;64.0;39.0;3.0;9.0;26.0;0.0;1.0;;;25.0;16.0;9.0;0.0;;13.0;4.0;;2.0;2.0;5.0
454;22-23 Kunststof- en bouwmateriaalindustr;2001;90.0;77.0;58.0;4.0;5.0;45.0;0.0;4.0;;;19.0;12.0;7.0;0.0;;13.0;4.0;;2.0;2.0;5.0
455;22-23 Kunststof- en bouwmateriaalindustr;2002;70.0;58.0;38.0;2.0;5.0;27.0;0.0;4.0;;;20.0;12.0;6.0;2.0;;12.0;4.0;;2.0;1.0;5.0
456;22-23 Kunststof- en bouwmateriaalindustr;2003;74.0;62.0;36.0;1.0;5.0;25.0;0.0;5.0;;;26.0;15.0;6.0;5.0;;12.0;5.0;;0.0;2.0;5.0
457;22-23 Kunststof- en bouwmateriaalindustr;2004;87.0;76.0;57.0;1.0;1.0;50.0;0.0;5.0;;;19.0;8.0;6.0;5.0;;11.0;4.0;;0.0;2.0;5.0
458;22-23 Kunststof- en bouwmateriaalindustr;2005;144.0;132.0;106.0;1.0;0.0;100.0;0.0;5.0;;;26.0;12.0;6.0;8.0;;12.0;4.0;;1.0;2.0;5.0
459;22-23 Kunststof- en bouwmateriaalindustr;2006;161.0;149.0;121.0;3.0;0.0;113.0;0.0;5.0;;;28.0;13.0;7.0;8.0;;12.0;5.0;;0.0;2.0;5.0
460;22-23 Kunststof- en bouwmateriaalindustr;2007;131.0;117.0;95.0;3.0;0.0;87.0;0.0;5.0;;;22.0;9.0;7.0;6.0;;14.0;6.0;;1.0;2.0;5.0
461;22-23 Kunststof- en bouwmateriaalindustr;2008;168.0;157.0;126.0;2.0;0.0;114.0;0.0;5.0;5.0;0.0;31.0;15.0;8.0;8.0;;11.0;6.0;;0.0;1.0;4.0
462;22-23 Kunststof- en bouwmateriaalindustr;2009;135.0;124.0;103.0;0.0;0.0;91.0;0.0;4.0;8.0;0.0;21.0;10.0;5.0;6.0;;11.0;6.0;;0.0;1.0;4.0
463;22-23 Kunststof- en bouwmateriaalindustr;2010;135.0;121.0;97.0;1.0;0.0;87.0;0.0;1.0;8.0;;24.0;15.0;3.0;6.0;;14.0;6.0;;0.0;2.0;6.0
464;22-23 Kunststof- en bouwmateriaalindustr;2011;136.0;122.0;98.0;0.0;0.0;88.0;1.0;1.0;8.0;;24.0;13.0;3.0;8.0;;14.0;6.0;;0.0;2.0;6.0
465;22-23 Kunststof- en bouwmateriaalindustr;2012;119.0;105.0;81.0;-1.0;0.0;72.0;1.0;1.0;8.0;;24.0;14.0;2.0;8.0;;14.0;6.0;;0.0;4.0;4.0
466;22-23 Kunststof- en bouwmateriaalindustr;2013;120.0;105.0;86.0;0.0;0.0;83.0;1.0;2.0;0.0;;19.0;10.0;2.0;7.0;;15.0;6.0;;0.0;4.0;5.0
467;22-23 Kunststof- en bouwmateriaalindustr;2014;127.0;112.0;93.0;0.0;0.0;92.0;-1.0;2.0;0.0;;19.0;10.0;2.0;7.0;;15.0;6.0;;0.0;4.0;5.0
468;22-23 Kunststof- en bouwmateriaalindustr;2015;129.0;115.0;95.0;0.0;0.0;93.0;0.0;2.0;0.0;;20.0;9.0;2.0;9.0;;14.0;6.0;;0.0;4.0;4.0
469;22-23 Kunststof- en bouwmateriaalindustr;2016;128.0;114.0;94.0;0.0;0.0;92.0;0.0;2.0;0.0;;20.0;12.0;2.0;6.0;;14.0;6.0;;0.0;4.0;4.0
470;22-23 Kunststof- en bouwmateriaalindustr;2017;144.0;131.0;114.0;1.0;0.0;111.0;0.0;2.0;0.0;;17.0;9.0;2.0;6.0;;13.0;6.0;;0.0;4.0;3.0
471;22-23 Kunststof- en bouwmateriaalindustr;2018;162.0;150.0;131.0;1.0;0.0;128.0;0.0;2.0;0.0;;19.0;10.0;3.0;6.0;;12.0;6.0;;0.0;3.0;3.0
472;22-23 Kunststof- en bouwmateriaalindustr;2019;172.0;161.0;144.0;1.0;0.0;141.0;0.0;2.0;0.0;;17.0;10.0;2.0;5.0;;11.0;5.0;;0.0;3.0;3.0
473;22-23 Kunststof- en bouwmateriaalindustr;2020;193.0;180.0;163.0;1.0;0.0;163.0;-3.0;2.0;0.0;;17.0;9.0;2.0;6.0;;13.0;5.0;;0.0;4.0;4.0
474;22-23 Kunststof- en bouwmateriaalindustr;2021;202.0;188.0;175.0;1.0;0.0;168.0;3.0;3.0;0.0;0.0;13.0;8.0;2.0;3.0;;14.0;6.0;;0.0;4.0;4.0
475;22-23 Kunststof- en bouwmateriaalindustr;2022;270.0;251.0;235.0;1.0;0.0;221.0;10.0;3.0;0.0;0.0;16.0;8.0;2.0;6.0;;19.0;7.0;;0.0;4.0;8.0
476;22 Rubber- en kunststofproductindustrie;1995;19.0;13.0;3.0;1.0;1.0;0.0;0.0;1.0;;;10.0;6.0;2.0;2.0;;6.0;1.0;;0.0;1.0;4.0
477;22 Rubber- en kunststofproductindustrie;1996;19.0;14.0;6.0;1.0;2.0;2.0;0.0;1.0;;;8.0;4.0;2.0;2.0;;5.0;1.0;;0.0;1.0;3.0
478;22 Rubber- en kunststofproductindustrie;1997;24.0;17.0;9.0;1.0;2.0;6.0;0.0;0.0;;;8.0;4.0;2.0;2.0;;7.0;1.0;;1.0;1.0;4.0
479;22 Rubber- en kunststofproductindustrie;1998;27.0;20.0;11.0;1.0;2.0;7.0;0.0;1.0;;;9.0;6.0;2.0;1.0;;7.0;2.0;;1.0;1.0;3.0
480;22 Rubber- en kunststofproductindustrie;1999;35.0;29.0;17.0;1.0;2.0;13.0;0.0;1.0;;;12.0;10.0;2.0;0.0;;6.0;1.0;;1.0;1.0;3.0
481;22 Rubber- en kunststofproductindustrie;2000;37.0;30.0;18.0;1.0;2.0;14.0;0.0;1.0;;;12.0;10.0;2.0;0.0;;7.0;1.0;;2.0;1.0;3.0
482;22 Rubber- en kunststofproductindustrie;2001;49.0;42.0;32.0;2.0;1.0;26.0;0.0;3.0;;;10.0;8.0;2.0;0.0;;7.0;1.0;;2.0;1.0;3.0
483;22 Rubber- en kunststofproductindustrie;2002;38.0;31.0;21.0;1.0;1.0;16.0;0.0;3.0;;;10.0;8.0;2.0;0.0;;7.0;1.0;;2.0;1.0;3.0
484;22 Rubber- en kunststofproductindustrie;2003;34.0;29.0;19.0;0.0;1.0;14.0;0.0;4.0;;;10.0;8.0;2.0;0.0;;5.0;1.0;;0.0;1.0;3.0
485;22 Rubber- en kunststofproductindustrie;2004;44.0;39.0;32.0;0.0;1.0;27.0;0.0;4.0;;;7.0;4.0;3.0;0.0;;5.0;1.0;;0.0;1.0;3.0
486;22 Rubber- en kunststofproductindustrie;2005;71.0;65.0;56.0;0.0;0.0;52.0;0.0;4.0;;;9.0;6.0;2.0;1.0;;6.0;1.0;;1.0;1.0;3.0
487;22 Rubber- en kunststofproductindustrie;2006;83.0;77.0;66.0;1.0;0.0;61.0;0.0;4.0;;;11.0;8.0;2.0;1.0;;6.0;2.0;;0.0;1.0;3.0
488;22 Rubber- en kunststofproductindustrie;2007;64.0;57.0;48.0;1.0;0.0;43.0;0.0;4.0;;;9.0;6.0;2.0;1.0;;7.0;2.0;;1.0;1.0;3.0
489;22 Rubber- en kunststofproductindustrie;2008;81.0;76.0;65.0;1.0;0.0;58.0;0.0;4.0;2.0;0.0;11.0;8.0;2.0;1.0;;5.0;2.0;;0.0;1.0;2.0
490;22 Rubber- en kunststofproductindustrie;2009;64.0;59.0;50.0;0.0;0.0;43.0;0.0;3.0;4.0;0.0;9.0;6.0;2.0;1.0;;5.0;2.0;;0.0;1.0;2.0
491;22 Rubber- en kunststofproductindustrie;2010;63.0;58.0;46.0;0.0;0.0;41.0;0.0;1.0;4.0;;12.0;10.0;1.0;1.0;;5.0;2.0;;0.0;1.0;2.0
492;22 Rubber- en kunststofproductindustrie;2011;58.0;53.0;45.0;0.0;0.0;41.0;0.0;0.0;4.0;;8.0;6.0;1.0;1.0;;5.0;2.0;;0.0;1.0;2.0
493;22 Rubber- en kunststofproductindustrie;2012;56.0;50.0;38.0;0.0;0.0;34.0;0.0;0.0;4.0;;12.0;10.0;1.0;1.0;;6.0;2.0;;0.0;2.0;2.0
494;22 Rubber- en kunststofproductindustrie;2013;54.0;47.0;40.0;0.0;0.0;39.0;0.0;1.0;0.0;;7.0;6.0;1.0;0.0;;7.0;2.0;;0.0;2.0;3.0
495;22 Rubber- en kunststofproductindustrie;2014;61.0;54.0;47.0;0.0;0.0;46.0;0.0;1.0;0.0;;7.0;6.0;1.0;0.0;;7.0;2.0;;0.0;2.0;3.0
496;22 Rubber- en kunststofproductindustrie;2015;61.0;55.0;48.0;0.0;0.0;47.0;0.0;1.0;0.0;;7.0;4.0;1.0;2.0;;6.0;2.0;;0.0;2.0;2.0
497;22 Rubber- en kunststofproductindustrie;2016;61.0;55.0;48.0;0.0;0.0;47.0;0.0;1.0;0.0;;7.0;5.0;1.0;1.0;;6.0;2.0;;0.0;2.0;2.0
498;22 Rubber- en kunststofproductindustrie;2017;70.0;64.0;58.0;0.0;0.0;57.0;0.0;1.0;0.0;;6.0;4.0;1.0;1.0;;6.0;2.0;;0.0;2.0;2.0
499;22 Rubber- en kunststofproductindustrie;2018;78.0;72.0;65.0;0.0;0.0;64.0;0.0;1.0;0.0;;7.0;4.0;2.0;1.0;;6.0;3.0;;0.0;1.0;2.0
500;22 Rubber- en kunststofproductindustrie;2019;88.0;81.0;76.0;0.0;0.0;75.0;0.0;1.0;0.0;;5.0;4.0;1.0;0.0;;7.0;3.0;;0.0;1.0;3.0
501;22 Rubber- en kunststofproductindustrie;2020;104.0;96.0;91.0;1.0;0.0;89.0;0.0;1.0;0.0;;5.0;4.0;1.0;0.0;;8.0;3.0;;0.0;1.0;4.0
502;22 Rubber- en kunststofproductindustrie;2021;109.0;101.0;96.0;1.0;0.0;94.0;0.0;1.0;0.0;0.0;5.0;4.0;1.0;0.0;;8.0;3.0;;0.0;1.0;4.0
503;22 Rubber- en kunststofproductindustrie;2022;135.0;127.0;120.0;1.0;0.0;118.0;0.0;1.0;0.0;0.0;7.0;4.0;1.0;2.0;;8.0;2.0;;0.0;2.0;4.0
504;23 Bouwmaterialenindustrie;1995;27.0;21.0;8.0;0.0;8.0;0.0;0.0;0.0;;;13.0;4.0;3.0;6.0;;6.0;3.0;;0.0;1.0;2.0
505;23 Bouwmaterialenindustrie;1996;30.0;25.0;11.0;1.0;8.0;2.0;0.0;0.0;;;14.0;5.0;5.0;4.0;;5.0;3.0;;0.0;1.0;2.0
506;23 Bouwmaterialenindustrie;1997;29.0;23.0;11.0;0.0;7.0;3.0;0.0;1.0;;;12.0;4.0;4.0;4.0;;6.0;3.0;;0.0;1.0;2.0
507;23 Bouwmaterialenindustrie;1998;33.0;27.0;10.0;1.0;7.0;2.0;0.0;0.0;;;17.0;4.0;6.0;7.0;;6.0;3.0;;0.0;1.0;2.0
508;23 Bouwmaterialenindustrie;1999;34.0;29.0;14.0;1.0;6.0;7.0;0.0;0.0;;;15.0;6.0;7.0;2.0;;5.0;2.0;;0.0;1.0;2.0
509;23 Bouwmaterialenindustrie;2000;40.0;34.0;21.0;2.0;7.0;12.0;0.0;0.0;;;13.0;6.0;7.0;0.0;;6.0;3.0;;0.0;1.0;2.0
510;23 Bouwmaterialenindustrie;2001;41.0;35.0;26.0;2.0;4.0;19.0;0.0;1.0;;;9.0;4.0;5.0;0.0;;6.0;3.0;;0.0;1.0;2.0
511;23 Bouwmaterialenindustrie;2002;32.0;27.0;17.0;1.0;4.0;11.0;0.0;1.0;;;10.0;4.0;4.0;2.0;;5.0;3.0;;0.0;0.0;2.0
512;23 Bouwmaterialenindustrie;2003;40.0;33.0;17.0;1.0;4.0;11.0;0.0;1.0;;;16.0;7.0;4.0;5.0;;7.0;4.0;;0.0;1.0;2.0
513;23 Bouwmaterialenindustrie;2004;43.0;37.0;25.0;1.0;0.0;23.0;0.0;1.0;;;12.0;4.0;3.0;5.0;;6.0;3.0;;0.0;1.0;2.0
514;23 Bouwmaterialenindustrie;2005;73.0;67.0;50.0;1.0;0.0;48.0;0.0;1.0;;;17.0;6.0;4.0;7.0;;6.0;3.0;;0.0;1.0;2.0
515;23 Bouwmaterialenindustrie;2006;78.0;72.0;55.0;2.0;0.0;52.0;0.0;1.0;;;17.0;5.0;5.0;7.0;;6.0;3.0;;0.0;1.0;2.0
516;23 Bouwmaterialenindustrie;2007;67.0;60.0;47.0;2.0;0.0;44.0;0.0;1.0;;;13.0;3.0;5.0;5.0;;7.0;4.0;;0.0;1.0;2.0
517;23 Bouwmaterialenindustrie;2008;87.0;81.0;61.0;1.0;0.0;56.0;0.0;1.0;3.0;0.0;20.0;7.0;6.0;7.0;;6.0;4.0;;0.0;0.0;2.0
518;23 Bouwmaterialenindustrie;2009;71.0;65.0;53.0;0.0;0.0;48.0;0.0;1.0;4.0;0.0;12.0;4.0;3.0;5.0;;6.0;4.0;;0.0;0.0;2.0
519;23 Bouwmaterialenindustrie;2010;72.0;63.0;51.0;1.0;0.0;46.0;0.0;0.0;4.0;;12.0;5.0;2.0;5.0;;9.0;4.0;;0.0;1.0;4.0
520;23 Bouwmaterialenindustrie;2011;78.0;69.0;53.0;0.0;0.0;47.0;1.0;1.0;4.0;;16.0;7.0;2.0;7.0;;9.0;4.0;;0.0;1.0;4.0
521;23 Bouwmaterialenindustrie;2012;63.0;55.0;43.0;-1.0;0.0;38.0;1.0;1.0;4.0;;12.0;4.0;1.0;7.0;;8.0;4.0;;0.0;2.0;2.0
522;23 Bouwmaterialenindustrie;2013;66.0;58.0;46.0;0.0;0.0;44.0;1.0;1.0;0.0;;12.0;4.0;1.0;7.0;;8.0;4.0;;0.0;2.0;2.0
523;23 Bouwmaterialenindustrie;2014;66.0;58.0;46.0;0.0;0.0;46.0;-1.0;1.0;0.0;;12.0;4.0;1.0;7.0;;8.0;4.0;;0.0;2.0;2.0
524;23 Bouwmaterialenindustrie;2015;68.0;60.0;47.0;0.0;0.0;46.0;0.0;1.0;0.0;;13.0;5.0;1.0;7.0;;8.0;4.0;;0.0;2.0;2.0
525;23 Bouwmaterialenindustrie;2016;67.0;59.0;46.0;0.0;0.0;45.0;0.0;1.0;0.0;;13.0;7.0;1.0;5.0;;8.0;4.0;;0.0;2.0;2.0
526;23 Bouwmaterialenindustrie;2017;74.0;67.0;56.0;1.0;0.0;54.0;0.0;1.0;0.0;;11.0;5.0;1.0;5.0;;7.0;4.0;;0.0;2.0;1.0
527;23 Bouwmaterialenindustrie;2018;84.0;78.0;66.0;1.0;0.0;64.0;0.0;1.0;0.0;;12.0;6.0;1.0;5.0;;6.0;3.0;;0.0;2.0;1.0
528;23 Bouwmaterialenindustrie;2019;84.0;80.0;68.0;1.0;0.0;66.0;0.0;1.0;0.0;;12.0;6.0;1.0;5.0;;4.0;2.0;;0.0;2.0;0.0
529;23 Bouwmaterialenindustrie;2020;89.0;84.0;72.0;0.0;0.0;74.0;-3.0;1.0;0.0;;12.0;5.0;1.0;6.0;;5.0;2.0;;0.0;3.0;0.0
530;23 Bouwmaterialenindustrie;2021;93.0;87.0;79.0;0.0;0.0;74.0;3.0;2.0;0.0;0.0;8.0;4.0;1.0;3.0;;6.0;3.0;;0.0;3.0;0.0
531;23 Bouwmaterialenindustrie;2022;135.0;124.0;115.0;0.0;0.0;103.0;10.0;2.0;0.0;0.0;9.0;4.0;1.0;4.0;;11.0;5.0;;0.0;2.0;4.0
532;24-25 Basismetaal, metaalprod.-industrie;1995;83.0;67.0;41.0;0.0;37.0;0.0;0.0;4.0;;;26.0;11.0;7.0;8.0;;16.0;11.0;;0.0;1.0;4.0
533;24-25 Basismetaal, metaalprod.-industrie;1996;87.0;75.0;53.0;1.0;41.0;7.0;0.0;4.0;;;22.0;7.0;7.0;8.0;;12.0;8.0;;0.0;1.0;4.0
534;24-25 Basismetaal, metaalprod.-industrie;1997;93.0;83.0;64.0;0.0;47.0;17.0;0.0;0.0;;;19.0;10.0;9.0;0.0;;10.0;5.0;;0.0;1.0;4.0
535;24-25 Basismetaal, metaalprod.-industrie;1998;92.0;82.0;60.0;1.0;43.0;12.0;0.0;4.0;;;22.0;7.0;11.0;4.0;;10.0;5.0;;0.0;1.0;4.0
536;24-25 Basismetaal, metaalprod.-industrie;1999;99.0;89.0;66.0;1.0;35.0;26.0;0.0;4.0;;;23.0;11.0;10.0;2.0;;10.0;5.0;;0.0;1.0;4.0
537;24-25 Basismetaal, metaalprod.-industrie;2000;107.0;97.0;70.0;4.0;29.0;32.0;0.0;5.0;;;27.0;15.0;12.0;0.0;;10.0;5.0;;0.0;1.0;4.0
538;24-25 Basismetaal, metaalprod.-industrie;2001;85.0;74.0;53.0;4.0;28.0;13.0;0.0;8.0;;;21.0;11.0;10.0;0.0;;11.0;6.0;;0.0;1.0;4.0
539;24-25 Basismetaal, metaalprod.-industrie;2002;66.0;53.0;28.0;2.0;8.0;10.0;0.0;8.0;;;25.0;15.0;8.0;2.0;;13.0;5.0;;3.0;1.0;4.0
540;24-25 Basismetaal, metaalprod.-industrie;2003;69.0;56.0;31.0;1.0;7.0;15.0;0.0;8.0;;;25.0;17.0;8.0;0.0;;13.0;8.0;;0.0;1.0;4.0
