ID;Persoonskenmerken;Perioden;EenKeerPerWeekOfVaker_1;TweeKeerPerMaand_2;EenKeerPerMaand_3;MinderDanEenKeerPerMaand_4;ZeldenOfNooit_5;AantalAvondenPerWeekThuis1529Jr_6;EenKeerPerWeekOfVaker_7;EenKeerPerTweeWeken_8;MinderDanEenKeerPerTweeWeken_9;Nooit_10;EenKeerPerWeekOfVaker_11;TweeKeerPerMaand_12;EenKeerPerMaand_13;MinderDanEenKeerPerMaand_14;ZeldenOfNooit_15;Ja_16;Soms_17;Nee_18;Ja_19;Soms_20;Nee_21;Ja_22;Soms_23;Nee_24;Ja_25;Soms_26;Nee_27;Ja_28;Soms_29;Nee_30;Ja_31;Soms_32;Nee_33;HeeftGenoegVriendenInnen1217Jaar_34;WordtWelEensGepestOpSchoolStraat_35;WordtVaakGepest_36;ValtWelMee_37;VoeltZichVaakAlleen1217Jaar_38;BuitengewoonTevreden_39;ZeerTevreden_40;Tevreden_41;TamelijkTevreden_42;NietZoTevreden_43;ErgGelukkig_44;Gelukkig_45;NietGelukkigNietOngelukkig_46;NietZoGelukkig_47;Ongelukkig_48;BuitengewoonTevreden_49;ZeerTevreden_50;Tevreden_51;TamelijkTevreden_52;NietZoTevreden_53;TevredenheidMetPartner_54;TevredenheidMetGezin_55;TevredenheidMetFinancien_56;TevredenheidMetOpleiding_57;TevredenheidMetSamenleving_58;TotaalParticipantenVrijwilligerswerk_59;GeorganiseerdVrijwilligerswerk_60;Jeugdwerk_61;School_62;VerzorgingVerpleging_63;Sportvereniging_64;Hobbyvereniging_65;CultureleVereniging_66;LevensbeschouwelijkeOrganisatie_67;Arbeidsorganisatie_68;PolitiekeOrganisatie_69;AndereOrganisaties_70;InformeleHulp_71;Altijd_72;Meestal_73;Soms_74;Zelden_75;Nooit_76;Meer_77;Evenveel_78;Minder_79;Niet_80;NietVanToepassing_81;Meer_82;Evenveel_83;Minder_84;Niet_85;NietVanToepassing_86;Meer_87;Evenveel_88;Minder_89;Niet_90;NietVanToepassing_91;GeenKerkelijkeGezindte_92;RoomsKatholiek_93;ProtestantseKerkInNederland_94;NederlandsHervormd_95;Gereformeerd_96;OverigeKerkelijkeGezindte_97;EenKeerPerWeekOfVaker_98;TweeTotDrieKeerPerMaand_99;EenKeerPerMaand_100;MinderDanEenKeerPerMaand_101;ZeldenOfNooit_102
190;15 tot 25 jarigen;2007;79.0;9.0;6.0;4.0;2.0;;;;;;97.0;1.0;1.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.0;66.0;6.0;2.0;0.0;9.0;42.0;42.0;5.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.0;22.0;5.0;4.0;5.0;13.0;10.0;2.0;3.0;6.0;78.0
191;15 tot 25 jarigen;2008;79.0;11.0;7.0;2.0;1.0;;;;;;98.0;1.0;1.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.0;65.0;5.0;1.0;0.0;11.0;43.0;40.0;6.0;1.0;;;;;;58.0;42.0;6.0;4.0;5.0;17.0;4.0;5.0;7.0;0.0;1.0;11.0;27.0;68.0;27.0;5.0;0.0;0.0;;;;;;;;;;;;;;;;50.0;21.0;5.0;5.0;4.0;15.0;10.0;3.0;3.0;6.0;78.0
192;15 tot 25 jarigen;2009;78.0;10.0;6.0;4.0;2.0;;;;;;97.0;1.0;1.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.0;67.0;5.0;2.0;1.0;9.0;45.0;36.0;6.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.0;20.0;6.0;4.0;5.0;14.0;7.0;2.0;3.0;7.0;81.0
193;15 tot 25 jarigen;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;15 tot 25 jarigen;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;25 tot 45 jarigen;1997;86.0;8.0;4.0;2.0;1.0;4.0;66.0;12.0;14.0;8.0;79.0;12.0;6.0;2.0;1.0;93.0;5.0;2.0;2.0;8.0;90.0;95.0;3.0;2.0;88.0;9.0;3.0;76.0;5.0;20.0;14.0;17.0;69.0;;;;;;12.0;37.0;43.0;7.0;2.0;25.0;66.0;7.0;2.0;0.0;9.0;35.0;43.0;9.0;4.0;;;;;;66.0;53.0;6.0;16.0;9.0;14.0;5.0;5.0;8.0;5.0;1.0;8.0;33.0;;;;;;;;;;;;;;;;;;;;;45.0;30.0;;11.0;6.0;8.0;8.0;4.0;5.0;11.0;71.0
196;25 tot 45 jarigen;1998;85.0;8.0;4.0;2.0;1.0;;66.0;11.0;16.0;8.0;79.0;11.0;6.0;2.0;1.0;94.0;6.0;1.0;2.0;8.0;90.0;96.0;3.0;1.0;90.0;9.0;2.0;72.0;6.0;22.0;15.0;15.0;71.0;;;;;;12.0;38.0;40.0;7.0;2.0;25.0;66.0;6.0;2.0;0.0;11.0;36.0;42.0;8.0;3.0;9.0;8.0;8.0;7.0;7.0;63.0;47.0;5.0;15.0;3.0;16.0;5.0;5.0;7.0;5.0;1.0;7.0;32.0;;;;;;;;;;;;;;;;;;;;;47.0;29.0;;11.0;6.0;8.0;8.0;4.0;5.0;10.0;72.0
197;25 tot 45 jarigen;1999;86.0;8.0;3.0;2.0;1.0;;66.0;11.0;16.0;7.0;79.0;12.0;6.0;2.0;1.0;94.0;5.0;1.0;2.0;8.0;90.0;95.0;3.0;1.0;89.0;9.0;2.0;76.0;5.0;19.0;12.0;17.0;71.0;;;;;;14.0;39.0;39.0;6.0;2.0;25.0;66.0;7.0;2.0;0.0;10.0;35.0;43.0;9.0;3.0;9.0;8.0;8.0;7.0;7.0;63.0;48.0;5.0;18.0;5.0;16.0;4.0;5.0;6.0;5.0;1.0;6.0;32.0;57.0;36.0;4.0;1.0;2.0;18.0;46.0;3.0;33.0;;20.0;53.0;19.0;8.0;;11.0;52.0;31.0;6.0;;47.0;28.0;;10.0;6.0;9.0;8.0;4.0;5.0;11.0;73.0
198;25 tot 45 jarigen;2000;86.0;7.0;3.0;1.0;1.0;;65.0;12.0;15.0;8.0;79.0;12.0;6.0;1.0;1.0;95.0;4.0;1.0;3.0;8.0;89.0;95.0;3.0;2.0;90.0;8.0;2.0;76.0;7.0;18.0;14.0;18.0;68.0;;;;;;14.0;39.0;38.0;7.0;2.0;26.0;65.0;7.0;2.0;0.0;10.0;36.0;42.0;8.0;3.0;9.0;8.0;8.0;7.0;7.0;62.0;48.0;5.0;16.0;5.0;16.0;4.0;4.0;7.0;5.0;1.0;6.0;33.0;57.0;35.0;6.0;1.0;1.0;19.0;48.0;4.0;29.0;;30.0;47.0;10.0;14.0;;10.0;55.0;29.0;6.0;;47.0;29.0;;10.0;6.0;8.0;7.0;4.0;5.0;10.0;74.0
199;25 tot 45 jarigen;2001;88.0;7.0;3.0;2.0;1.0;4.0;66.0;11.0;16.0;7.0;81.0;11.0;6.0;2.0;1.0;92.0;7.0;1.0;3.0;8.0;89.0;96.0;3.0;1.0;89.0;9.0;3.0;75.0;7.0;17.0;14.0;17.0;68.0;;;;;;13.0;39.0;39.0;6.0;3.0;25.0;66.0;7.0;2.0;0.0;9.0;37.0;43.0;8.0;3.0;9.0;8.0;8.0;7.0;7.0;62.0;47.0;5.0;16.0;6.0;16.0;3.0;4.0;8.0;4.0;1.0;5.0;33.0;58.0;34.0;6.0;1.0;1.0;20.0;46.0;5.0;29.0;;15.0;60.0;19.0;6.0;;11.0;56.0;28.0;5.0;;46.0;28.0;;11.0;6.0;10.0;8.0;4.0;5.0;10.0;73.0
200;25 tot 45 jarigen;2002;88.0;6.0;3.0;1.0;1.0;;68.0;12.0;12.0;7.0;80.0;11.0;5.0;2.0;2.0;94.0;4.0;1.0;2.0;9.0;89.0;95.0;3.0;1.0;89.0;9.0;2.0;78.0;6.0;16.0;12.0;19.0;69.0;;;;;;13.0;40.0;39.0;7.0;2.0;26.0;63.0;8.0;2.0;0.0;9.0;38.0;40.0;9.0;4.0;9.0;8.0;7.0;7.0;7.0;63.0;45.0;6.0;15.0;6.0;15.0;4.0;4.0;6.0;3.0;1.0;6.0;36.0;62.0;32.0;3.0;2.0;1.0;17.0;46.0;4.0;11.0;22.0;14.0;59.0;18.0;2.0;6.0;10.0;58.0;27.0;2.0;2.0;47.0;28.0;;10.0;6.0;10.0;8.0;4.0;4.0;10.0;74.0
201;25 tot 45 jarigen;2003;88.0;7.0;3.0;1.0;1.0;4.0;68.0;12.0;13.0;7.0;81.0;11.0;6.0;1.0;1.0;93.0;6.0;1.0;3.0;8.0;89.0;96.0;4.0;1.0;88.0;10.0;2.0;77.0;5.0;17.0;11.0;20.0;68.0;;;;;;13.0;41.0;38.0;6.0;2.0;26.0;64.0;7.0;3.0;0.0;9.0;36.0;42.0;9.0;4.0;9.0;9.0;7.0;7.0;6.0;59.0;44.0;5.0;15.0;4.0;15.0;3.0;4.0;6.0;3.0;1.0;6.0;33.0;55.0;37.0;6.0;1.0;1.0;17.0;42.0;3.0;10.0;27.0;15.0;56.0;19.0;3.0;6.0;11.0;57.0;26.0;5.0;2.0;47.0;27.0;;10.0;6.0;10.0;8.0;3.0;4.0;9.0;76.0
202;25 tot 45 jarigen;2004;88.0;6.0;3.0;1.0;1.0;;70.0;11.0;13.0;6.0;83.0;10.0;5.0;1.0;1.0;95.0;4.0;1.0;2.0;8.0;90.0;96.0;3.0;1.0;90.0;9.0;2.0;79.0;5.0;15.0;13.0;17.0;70.0;;;;;;13.0;42.0;38.0;5.0;1.0;23.0;66.0;7.0;2.0;1.0;7.0;36.0;44.0;9.0;4.0;9.0;8.0;7.0;7.0;6.0;63.0;46.0;4.0;16.0;6.0;15.0;3.0;5.0;6.0;3.0;1.0;6.0;35.0;61.0;33.0;5.0;0.0;1.0;16.0;43.0;4.0;9.0;29.0;17.0;57.0;17.0;2.0;7.0;11.0;60.0;25.0;3.0;2.0;48.0;27.0;2.0;8.0;5.0;10.0;7.0;3.0;4.0;9.0;77.0
203;25 tot 45 jarigen;2005;88.0;7.0;3.0;1.0;1.0;;;;;;83.0;10.0;5.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.0;65.0;7.0;2.0;1.0;8.0;34.0;45.0;9.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0;25.0;4.0;7.0;5.0;12.0;9.0;3.0;4.0;8.0;76.0
204;25 tot 45 jarigen;2006;90.0;6.0;2.0;1.0;1.0;;;;;;83.0;10.0;4.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.0;67.0;7.0;2.0;0.0;8.0;36.0;42.0;9.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0;26.0;4.0;7.0;4.0;11.0;8.0;3.0;4.0;8.0;77.0
205;25 tot 45 jarigen;2007;90.0;5.0;2.0;2.0;2.0;;;;;;83.0;9.0;5.0;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.0;66.0;7.0;2.0;0.0;7.0;38.0;43.0;9.0;4.0;;;;;;58.0;48.0;5.0;18.0;5.0;14.0;3.0;4.0;7.0;3.0;1.0;13.0;25.0;67.0;28.0;3.0;1.0;0.0;;;;;;;;;;;;;;;;50.0;24.0;4.0;6.0;4.0;13.0;8.0;3.0;3.0;8.0;78.0
206;25 tot 45 jarigen;2008;89.0;6.0;2.0;1.0;1.0;;;;;;84.0;9.0;5.0;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.0;65.0;7.0;2.0;1.0;8.0;39.0;42.0;8.0;4.0;;;;;;57.0;44.0;4.0;14.0;4.0;13.0;2.0;4.0;7.0;2.0;1.0;11.0;27.0;68.0;27.0;4.0;0.0;1.0;;;;;;;;;;;;;;;;48.0;25.0;5.0;7.0;4.0;12.0;8.0;3.0;4.0;8.0;78.0
207;25 tot 45 jarigen;2009;89.0;6.0;2.0;1.0;1.0;;;;;;83.0;10.0;4.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.0;62.0;7.0;2.0;1.0;10.0;39.0;39.0;8.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.0;23.0;4.0;6.0;3.0;14.0;7.0;3.0;3.0;9.0;78.0
208;25 tot 45 jarigen;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;25 tot 45 jarigen;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;45 tot 65 jarigen;1997;82.0;8.0;5.0;3.0;2.0;;70.0;10.0;15.0;5.0;69.0;14.0;10.0;4.0;3.0;91.0;6.0;2.0;3.0;7.0;90.0;92.0;5.0;3.0;87.0;10.0;3.0;68.0;5.0;27.0;21.0;15.0;64.0;;;;;;9.0;31.0;51.0;7.0;2.0;17.0;70.0;10.0;3.0;1.0;7.0;28.0;50.0;11.0;4.0;;;;;;62.0;48.0;3.0;5.0;8.0;13.0;7.0;6.0;12.0;4.0;2.0;9.0;33.0;;;;;;;;;;;;;;;;;;;;;34.0;36.0;;16.0;7.0;7.0;15.0;6.0;7.0;12.0;60.0
211;45 tot 65 jarigen;1998;83.0;8.0;5.0;2.0;2.0;;71.0;9.0;14.0;6.0;70.0;14.0;10.0;4.0;3.0;90.0;7.0;2.0;3.0;8.0;89.0;92.0;5.0;3.0;88.0;9.0;3.0;64.0;5.0;32.0;23.0;14.0;63.0;;;;;;9.0;31.0;52.0;7.0;1.0;18.0;69.0;9.0;2.0;1.0;9.0;31.0;47.0;9.0;4.0;9.0;8.0;8.0;7.0;7.0;63.0;46.0;2.0;6.0;7.0;13.0;7.0;7.0;10.0;3.0;2.0;11.0;35.0;;;;;;;;;;;;;;;;;;;;;36.0;35.0;;15.0;7.0;7.0;14.0;7.0;6.0;11.0;62.0
212;45 tot 65 jarigen;1999;83.0;8.0;5.0;2.0;2.0;;66.0;13.0;15.0;6.0;70.0;14.0;10.0;4.0;3.0;90.0;8.0;2.0;3.0;7.0;90.0;91.0;6.0;3.0;86.0;10.0;4.0;64.0;6.0;31.0;25.0;15.0;60.0;;;;;;7.0;33.0;48.0;9.0;2.0;17.0;70.0;9.0;3.0;1.0;8.0;30.0;49.0;9.0;4.0;9.0;8.0;8.0;7.0;7.0;62.0;45.0;3.0;3.0;9.0;13.0;7.0;6.0;10.0;4.0;2.0;9.0;36.0;62.0;30.0;6.0;1.0;2.0;17.0;45.0;4.0;35.0;;13.0;47.0;14.0;26.0;;8.0;63.0;20.0;9.0;;36.0;35.0;;15.0;7.0;7.0;13.0;7.0;7.0;11.0;62.0
213;45 tot 65 jarigen;2000;84.0;8.0;4.0;2.0;2.0;;71.0;11.0;13.0;6.0;71.0;14.0;9.0;4.0;3.0;93.0;6.0;1.0;2.0;8.0;89.0;93.0;4.0;3.0;88.0;9.0;3.0;68.0;7.0;26.0;22.0;17.0;62.0;;;;;;9.0;34.0;48.0;8.0;2.0;18.0;70.0;9.0;2.0;1.0;8.0;29.0;50.0;9.0;3.0;9.0;8.0;8.0;7.0;7.0;65.0;47.0;4.0;5.0;9.0;15.0;7.0;5.0;11.0;4.0;2.0;8.0;39.0;61.0;32.0;5.0;1.0;1.0;17.0;48.0;4.0;31.0;;29.0;45.0;8.0;18.0;;7.0;68.0;17.0;8.0;;37.0;34.0;;15.0;7.0;7.0;12.0;6.0;7.0;12.0;63.0
214;45 tot 65 jarigen;2001;85.0;7.0;4.0;2.0;2.0;;70.0;10.0;15.0;6.0;72.0;13.0;8.0;4.0;3.0;92.0;7.0;1.0;2.0;8.0;90.0;93.0;5.0;2.0;89.0;9.0;2.0;67.0;6.0;27.0;21.0;18.0;61.0;;;;;;8.0;34.0;49.0;7.0;2.0;17.0;71.0;8.0;3.0;1.0;7.0;30.0;51.0;8.0;4.0;9.0;8.0;8.0;7.0;7.0;64.0;46.0;4.0;5.0;11.0;13.0;6.0;6.0;10.0;4.0;2.0;9.0;38.0;62.0;31.0;5.0;1.0;1.0;16.0;50.0;3.0;31.0;;10.0;51.0;16.0;23.0;;8.0;66.0;19.0;7.0;;38.0;33.0;;14.0;7.0;8.0;12.0;6.0;6.0;12.0;65.0
215;45 tot 65 jarigen;2002;86.0;7.0;4.0;2.0;2.0;;72.0;11.0;13.0;4.0;71.0;14.0;10.0;3.0;3.0;92.0;7.0;1.0;2.0;8.0;90.0;94.0;4.0;2.0;89.0;9.0;2.0;65.0;8.0;27.0;19.0;14.0;66.0;;;;;;10.0;34.0;47.0;8.0;2.0;18.0;70.0;9.0;3.0;1.0;7.0;31.0;48.0;9.0;4.0;9.0;8.0;8.0;7.0;6.0;64.0;45.0;4.0;5.0;10.0;12.0;5.0;6.0;11.0;3.0;1.0;9.0;39.0;62.0;31.0;5.0;1.0;1.0;13.0;49.0;4.0;11.0;23.0;9.0;49.0;15.0;6.0;21.0;9.0;67.0;18.0;4.0;3.0;37.0;35.0;;14.0;7.0;7.0;11.0;5.0;6.0;12.0;65.0
216;45 tot 65 jarigen;2003;85.0;8.0;4.0;2.0;1.0;;76.0;9.0;11.0;4.0;71.0;14.0;8.0;4.0;2.0;91.0;7.0;2.0;2.0;8.0;90.0;93.0;5.0;2.0;89.0;9.0;2.0;68.0;5.0;27.0;20.0;19.0;61.0;;;;;;8.0;33.0;48.0;8.0;3.0;17.0;70.0;9.0;4.0;1.0;7.0;31.0;49.0;9.0;5.0;9.0;8.0;8.0;7.0;6.0;66.0;47.0;3.0;5.0;10.0;15.0;6.0;6.0;9.0;2.0;2.0;8.0;39.0;60.0;31.0;6.0;1.0;1.0;13.0;46.0;4.0;9.0;27.0;11.0;45.0;14.0;6.0;24.0;8.0;66.0;19.0;5.0;2.0;39.0;33.0;;15.0;6.0;7.0;11.0;5.0;5.0;10.0;68.0
217;45 tot 65 jarigen;2004;86.0;7.0;4.0;2.0;2.0;;73.0;10.0;12.0;5.0;73.0;13.0;8.0;3.0;3.0;92.0;5.0;2.0;2.0;7.0;91.0;93.0;4.0;2.0;87.0;10.0;3.0;67.0;6.0;27.0;20.0;16.0;64.0;;;;;;9.0;33.0;48.0;7.0;3.0;17.0;69.0;9.0;3.0;1.0;7.0;30.0;49.0;10.0;5.0;9.0;8.0;7.0;7.0;6.0;62.0;43.0;4.0;5.0;10.0;12.0;5.0;6.0;9.0;3.0;2.0;8.0;39.0;60.0;32.0;6.0;1.0;1.0;15.0;42.0;4.0;9.0;30.0;11.0;45.0;16.0;5.0;24.0;9.0;70.0;14.0;3.0;2.0;39.0;34.0;3.0;13.0;5.0;7.0;10.0;5.0;5.0;11.0;70.0
218;45 tot 65 jarigen;2005;87.0;6.0;3.0;2.0;1.0;;;;;;73.0;13.0;8.0;3.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.0;69.0;9.0;4.0;1.0;7.0;28.0;50.0;10.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.0;34.0;5.0;12.0;5.0;7.0;10.0;5.0;5.0;12.0;68.0
219;45 tot 65 jarigen;2006;87.0;6.0;4.0;2.0;1.0;;;;;;74.0;12.0;8.0;3.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.0;68.0;10.0;3.0;1.0;8.0;30.0;47.0;10.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39.0;34.0;6.0;10.0;4.0;7.0;9.0;4.0;5.0;11.0;71.0
220;45 tot 65 jarigen;2007;86.0;6.0;4.0;2.0;2.0;;;;;;75.0;11.0;8.0;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.0;69.0;9.0;3.0;1.0;7.0;30.0;49.0;9.0;4.0;;;;;;61.0;44.0;3.0;6.0;9.0;14.0;6.0;6.0;10.0;3.0;2.0;14.0;33.0;69.0;25.0;5.0;0.0;0.0;;;;;;;;;;;;;;;;41.0;31.0;6.0;10.0;4.0;9.0;10.0;5.0;4.0;9.0;72.0
221;45 tot 65 jarigen;2008;86.0;6.0;4.0;2.0;2.0;;;;;;71.0;13.0;10.0;3.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.0;67.0;9.0;3.0;1.0;8.0;32.0;48.0;8.0;4.0;;;;;;63.0;45.0;4.0;5.0;8.0;13.0;6.0;5.0;10.0;3.0;1.0;13.0;36.0;71.0;25.0;3.0;1.0;0.0;;;;;;;;;;;;;;;;41.0;32.0;6.0;10.0;3.0;8.0;10.0;4.0;5.0;10.0;71.0
222;45 tot 65 jarigen;2009;86.0;6.0;4.0;2.0;2.0;;;;;;73.0;13.0;8.0;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.0;67.0;8.0;2.0;0.0;10.0;29.0;47.0;9.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42.0;31.0;7.0;9.0;3.0;9.0;8.0;5.0;4.0;10.0;74.0
223;45 tot 65 jarigen;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
224;45 tot 65 jarigen;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;65 jarigen of ouder;1997;84.0;7.0;4.0;3.0;2.0;;75.0;8.0;10.0;7.0;66.0;13.0;8.0;6.0;7.0;87.0;10.0;3.0;5.0;11.0;84.0;89.0;5.0;5.0;82.0;13.0;5.0;48.0;6.0;46.0;36.0;17.0;47.0;;;;;;9.0;26.0;52.0;10.0;4.0;13.0;67.0;14.0;4.0;1.0;7.0;25.0;53.0;11.0;4.0;;;;;;42.0;27.0;1.0;1.0;5.0;3.0;4.0;4.0;12.0;1.0;1.0;5.0;24.0;;;;;;;;;;;;;;;;;;;;;26.0;35.0;;23.0;9.0;7.0;28.0;7.0;4.0;8.0;53.0
226;65 jarigen of ouder;1998;84.0;7.0;4.0;2.0;3.0;;73.0;7.0;13.0;7.0;67.0;13.0;9.0;5.0;7.0;90.0;8.0;3.0;5.0;9.0;86.0;89.0;6.0;4.0;83.0;13.0;5.0;51.0;7.0;42.0;33.0;20.0;47.0;;;;;;5.0;30.0;51.0;9.0;4.0;15.0;67.0;13.0;4.0;1.0;8.0;27.0;50.0;10.0;4.0;9.0;;8.0;7.0;6.0;44.0;31.0;1.0;1.0;9.0;4.0;6.0;3.0;11.0;0.0;2.0;6.0;26.0;;;;;;;;;;;;;;;;;;;;;27.0;36.0;;23.0;8.0;6.0;27.0;7.0;5.0;7.0;54.0
227;65 jarigen of ouder;1999;86.0;7.0;3.0;2.0;2.0;;76.0;7.0;12.0;5.0;69.0;11.0;9.0;5.0;6.0;87.0;10.0;3.0;4.0;10.0;85.0;90.0;7.0;3.0;84.0;12.0;4.0;52.0;6.0;43.0;31.0;18.0;51.0;;;;;;6.0;29.0;52.0;10.0;3.0;13.0;69.0;13.0;4.0;1.0;7.0;26.0;53.0;10.0;4.0;9.0;;8.0;7.0;6.0;48.0;33.0;1.0;1.0;11.0;4.0;6.0;4.0;11.0;1.0;1.0;8.0;27.0;70.0;24.0;5.0;1.0;0.0;5.0;44.0;3.0;48.0;;5.0;36.0;1.0;58.0;;4.0;69.0;14.0;13.0;;29.0;35.0;;22.0;9.0;6.0;27.0;6.0;5.0;7.0;55.0
228;65 jarigen of ouder;2000;85.0;6.0;4.0;2.0;3.0;;73.0;10.0;10.0;7.0;70.0;11.0;7.0;5.0;6.0;90.0;8.0;2.0;4.0;11.0;85.0;91.0;5.0;3.0;85.0;11.0;4.0;49.0;7.0;44.0;32.0;22.0;46.0;;;;;;6.0;28.0;53.0;9.0;3.0;15.0;68.0;12.0;4.0;1.0;7.0;26.0;53.0;10.0;4.0;9.0;;8.0;7.0;7.0;48.0;33.0;1.0;1.0;11.0;5.0;5.0;6.0;12.0;1.0;0.0;7.0;30.0;68.0;25.0;5.0;1.0;1.0;6.0;47.0;3.0;44.0;;20.0;45.0;2.0;33.0;;5.0;71.0;14.0;10.0;;27.0;37.0;;22.0;8.0;6.0;26.0;7.0;5.0;8.0;54.0
229;65 jarigen of ouder;2001;88.0;6.0;3.0;2.0;2.0;;77.0;6.0;10.0;6.0;71.0;13.0;7.0;4.0;5.0;89.0;9.0;2.0;3.0;9.0;88.0;91.0;6.0;4.0;85.0;11.0;4.0;52.0;7.0;41.0;30.0;19.0;51.0;;;;;;7.0;30.0;53.0;8.0;2.0;13.0;71.0;12.0;3.0;1.0;7.0;27.0;53.0;9.0;3.0;9.0;;8.0;7.0;6.0;43.0;29.0;1.0;1.0;10.0;5.0;4.0;3.0;11.0;0.0;0.0;5.0;26.0;67.0;28.0;5.0;0.0;0.0;5.0;47.0;2.0;46.0;;3.0;34.0;1.0;63.0;;5.0;73.0;12.0;11.0;;26.0;36.0;;25.0;8.0;6.0;24.0;8.0;5.0;8.0;54.0
230;65 jarigen of ouder;2002;86.0;7.0;3.0;2.0;2.0;;75.0;8.0;12.0;5.0;71.0;12.0;7.0;4.0;6.0;90.0;7.0;3.0;5.0;7.0;88.0;90.0;5.0;5.0;84.0;11.0;5.0;52.0;6.0;43.0;34.0;19.0;47.0;;;;;;8.0;27.0;53.0;7.0;4.0;15.0;67.0;12.0;5.0;1.0;7.0;27.0;52.0;10.0;4.0;9.0;;8.0;7.0;6.0;46.0;33.0;1.0;1.0;11.0;4.0;4.0;4.0;11.0;1.0;1.0;8.0;28.0;65.0;30.0;4.0;0.0;1.0;5.0;40.0;3.0;10.0;42.0;1.0;20.0;0.0;8.0;71.0;5.0;71.0;11.0;4.0;9.0;27.0;37.0;;23.0;7.0;6.0;25.0;7.0;4.0;9.0;55.0
231;65 jarigen of ouder;2003;88.0;6.0;3.0;2.0;2.0;;77.0;7.0;10.0;6.0;70.0;12.0;8.0;4.0;6.0;88.0;8.0;4.0;4.0;9.0;87.0;90.0;7.0;3.0;83.0;13.0;4.0;50.0;9.0;41.0;31.0;23.0;46.0;;;;;;6.0;27.0;55.0;9.0;4.0;13.0;69.0;13.0;4.0;1.0;7.0;26.0;52.0;11.0;4.0;9.0;;8.0;7.0;6.0;47.0;31.0;1.0;0.0;9.0;4.0;6.0;4.0;11.0;1.0;1.0;7.0;28.0;79.0;17.0;3.0;0.0;0.0;5.0;42.0;3.0;11.0;40.0;1.0;19.0;1.0;11.0;68.0;7.0;71.0;9.0;5.0;8.0;26.0;38.0;;23.0;7.0;6.0;24.0;7.0;5.0;8.0;56.0
