ID;Geslacht;Leeftijd;Geboorteland;CaribischNederland;Perioden;BevolkingOp1Januari_1
92;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2019;2035
93;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2020;2040
94;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2021;2019
95;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2022;2111
96;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2023;2176
97;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2024;2111
98;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2011;1227
99;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2012;1397
100;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2013;1428
101;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2014;1290
102;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2015;1262
103;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2016;1390
104;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2017;1462
105;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2018;1610
106;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2019;1378
107;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2020;1410
108;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2021;1403
109;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2022;1398
110;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2023;1537
111;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2024;1571
112;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Caribisch Nederland;2011;8521
113;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Caribisch Nederland;2012;9516
114;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Caribisch Nederland;2013;10273
115;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Caribisch Nederland;2014;10871
116;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Caribisch Nederland;2015;10910
117;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Caribisch Nederland;2016;10635
118;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Caribisch Nederland;2017;10304
119;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Caribisch Nederland;2018;10764
120;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Caribisch Nederland;2019;10753
121;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Caribisch Nederland;2020;11377
122;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Caribisch Nederland;2021;11771
123;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Caribisch Nederland;2022;12384
124;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Caribisch Nederland;2023;13780
125;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Caribisch Nederland;2024;14678
126;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Bonaire;2011;5693
127;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Bonaire;2012;6406
128;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Bonaire;2013;7005
129;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Bonaire;2014;7670
130;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Bonaire;2015;7893
131;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Bonaire;2016;8191
132;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Bonaire;2017;7758
133;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Bonaire;2018;8040
134;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Bonaire;2019;8434
135;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Bonaire;2020;9025
136;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Bonaire;2021;9465
137;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Bonaire;2022;10038
138;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Bonaire;2023;11260
139;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Bonaire;2024;12188
140;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Sint Eustatius;2011;1924
141;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Sint Eustatius;2012;2039
142;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Sint Eustatius;2013;2168
143;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Sint Eustatius;2014;2250
144;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Sint Eustatius;2015;2109
145;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Sint Eustatius;2016;1429
146;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Sint Eustatius;2017;1467
147;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Sint Eustatius;2018;1512
148;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Sint Eustatius;2019;1347
149;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Sint Eustatius;2020;1344
150;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Sint Eustatius;2021;1312
151;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Sint Eustatius;2022;1354
152;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Sint Eustatius;2023;1398
153;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Sint Eustatius;2024;1352
154;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Saba;2011;904
155;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Saba;2012;1071
156;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Saba;2013;1100
157;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Saba;2014;951
158;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Saba;2015;908
159;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Saba;2016;1015
160;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Saba;2017;1079
161;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Saba;2018;1212
162;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Saba;2019;972
163;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Saba;2020;1008
164;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Saba;2021;994
165;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Saba;2022;992
166;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Saba;2023;1122
167;Totaal mannen en vrouwen;Totaal;Buiten Caribisch deel Koninkrijk der ...;Saba;2024;1138
168;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2011;6614
169;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2012;7242
170;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2013;7777
171;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2014;8095
172;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2015;8030
173;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2016;7671
174;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2017;7214
175;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2018;7539
176;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2019;7450
177;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2020;7891
178;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2021;8093
179;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2022;8514
180;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2023;9474
181;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2024;10272
182;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2011;3985
183;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2012;4356
184;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2013;4754
185;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2014;5183
186;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2015;5319
187;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2016;5530
188;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2017;4972
189;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2018;5123
190;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2019;5440
191;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2020;5829
192;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2021;6097
193;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2022;6453
194;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2023;7235
195;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2024;8043
196;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2011;1772
197;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2012;1873
198;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2013;1988
199;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2014;2032
200;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2015;1896
201;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2016;1233
202;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2017;1277
203;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2018;1321
204;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2019;1157
205;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2020;1155
206;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2021;1112
207;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2022;1175
208;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2023;1213
209;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2024;1189
210;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2011;857
211;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2012;1013
212;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2013;1035
213;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2014;880
214;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2015;815
215;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2016;908
216;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2017;965
217;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2018;1095
218;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2019;853
219;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2020;907
220;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2021;884
221;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2022;886
222;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2023;1026
223;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2024;1040
224;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2011;99
225;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2012;119
226;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2013;155
227;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2014;152
228;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2015;141
229;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2016;129
230;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2017;89
231;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2018;89
232;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2019;76
233;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2020;79
234;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2021;81
235;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2022;71
236;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2023;90
237;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2024;100
238;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2011;45
239;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2012;59
240;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2013;82
241;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2014;94
242;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2015;92
243;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2016;93
244;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2017;55
245;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2018;44
246;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2019;48
247;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2020;48
248;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2021;50
249;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2022;48
250;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2023;52
251;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2024;62
252;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2011;37
253;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2012;36
254;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2013;40
255;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2014;39
256;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2015;33
257;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2016;5
258;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2017;5
259;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2018;6
260;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2019;4
261;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2020;4
262;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2021;8
263;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2022;6
264;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2023;10
265;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2024;11
266;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2011;17
267;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2012;24
268;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2013;33
269;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2014;19
270;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2015;16
271;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2016;31
272;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2017;29
273;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2018;39
274;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2019;24
275;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2020;27
276;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2021;23
277;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2022;17
278;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2023;28
279;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2024;27
280;Totaal mannen en vrouwen;Totaal;Amerika;Caribisch Nederland;2011;18018
281;Totaal mannen en vrouwen;Totaal;Amerika;Caribisch Nederland;2012;18665
282;Totaal mannen en vrouwen;Totaal;Amerika;Caribisch Nederland;2013;19267
283;Totaal mannen en vrouwen;Totaal;Amerika;Caribisch Nederland;2014;19912
284;Totaal mannen en vrouwen;Totaal;Amerika;Caribisch Nederland;2015;20203
285;Totaal mannen en vrouwen;Totaal;Amerika;Caribisch Nederland;2016;20087
286;Totaal mannen en vrouwen;Totaal;Amerika;Caribisch Nederland;2017;20023
287;Totaal mannen en vrouwen;Totaal;Amerika;Caribisch Nederland;2018;20426
