ID;Bronnen;Perioden;NMVOS_1;SO2_2;CO_3;NOx_4;NH3_5;PM10_6;PM25_7
302;A,E,G-U Overige sectoren (stationair);2012;30.79;0.5;10.3;20.8;111.01;7.24;0.91
303;A,E,G-U Overige sectoren (stationair);2013;29.52;0.4;10.2;20.5;108.24;7.24;0.92
304;A,E,G-U Overige sectoren (stationair);2014;28.36;0.4;8.7;17.5;112.58;7.36;0.91
305;A,E,G-U Overige sectoren (stationair);2015;28.39;0.5;9.3;18.6;113.91;7.24;0.94
306;A,E,G-U Overige sectoren (stationair);2016;27.35;1.3;9.4;17.9;114.53;7.09;0.93
307;A,E,G-U Overige sectoren (stationair);2017;28.01;1.1;10.0;15.2;116.66;6.86;0.92
308;A,E,G-U Overige sectoren (stationair);2018;27.87;0.7;10.2;14.9;113.96;6.62;0.91
309;A,E,G-U Overige sectoren (stationair);2019;27.71;0.6;10.3;13.4;108.98;6.52;0.93
310;A,E,G-U Overige sectoren (stationair);2020;28.17;0.6;10.2;12.0;108.1;6.33;0.93
311;A,E,G-U Overige sectoren (stationair);2021;27.23;0.7;10.8;12.2;106.79;6.13;0.93
312;01 Landbouw (stationaire bronnen);1990;0.59;0.0;2.1;8.8;325.35;4.83;0.57
313;01 Landbouw (stationaire bronnen);1995;1.2;0.0;2.5;10.4;199.75;4.85;0.57
314;01 Landbouw (stationaire bronnen);2000;1.19;0.0;2.4;9.6;155.47;5.34;0.6
315;01 Landbouw (stationaire bronnen);2001;1.1;0.0;2.3;9.3;147.39;5.42;0.6
316;01 Landbouw (stationaire bronnen);2002;1.02;0.0;2.1;8.7;140.27;5.3;0.58
317;01 Landbouw (stationaire bronnen);2003;1.24;0.0;2.3;9.2;137.13;4.61;0.5
318;01 Landbouw (stationaire bronnen);2004;1.53;0.0;2.5;9.8;136.17;5.07;0.55
319;01 Landbouw (stationaire bronnen);2005;2.37;0.0;3.0;11.4;134.05;5.33;0.57
320;01 Landbouw (stationaire bronnen);2006;3.51;0.0;3.5;12.2;137.78;5.29;0.56
321;01 Landbouw (stationaire bronnen);2007;4.81;0.0;4.5;14.4;134.78;5.66;0.6
322;01 Landbouw (stationaire bronnen);2008;6.6;0.0;5.9;17.3;123.04;5.85;0.62
323;01 Landbouw (stationaire bronnen);2009;6.4;0.0;6.0;16.5;119.43;5.9;0.62
324;01 Landbouw (stationaire bronnen);2010;7.24;0.1;7.2;14.1;116.86;5.98;0.63
325;01 Landbouw (stationaire bronnen);2011;6.53;0.1;6.7;12.6;114.67;6.47;0.64
326;01 Landbouw (stationaire bronnen);2012;5.74;0.1;6.4;12.2;109.19;6.3;0.63
327;01 Landbouw (stationaire bronnen);2013;5.26;0.1;6.4;11.9;106.47;6.25;0.64
328;01 Landbouw (stationaire bronnen);2014;4.01;0.1;5.3;9.9;110.85;6.36;0.64
329;01 Landbouw (stationaire bronnen);2015;4.09;0.1;5.8;10.7;112.22;6.22;0.64
330;01 Landbouw (stationaire bronnen);2016;3.45;0.1;5.6;10.3;112.65;6.13;0.64
331;01 Landbouw (stationaire bronnen);2017;3.44;0.1;6.0;7.6;114.78;5.93;0.63
332;01 Landbouw (stationaire bronnen);2018;3.16;0.1;6.4;7.9;112.11;5.69;0.62
333;01 Landbouw (stationaire bronnen);2019;3.01;0.1;6.8;6.5;107.17;5.52;0.61
334;01 Landbouw (stationaire bronnen);2020;2.57;0.1;6.8;5.5;106.22;5.42;0.62
335;01 Landbouw (stationaire bronnen);2021;2.77;0.1;7.3;5.7;104.84;5.22;0.61
336;Diensten, afval en water;1990;55.46;5.4;6.4;17.5;0.55;2.63;1.23
337;Diensten, afval en water;1995;36.39;0.9;5.1;14.7;1.54;1.36;0.35
338;Diensten, afval en water;2000;22.41;0.4;4.9;13.4;1.72;1.18;0.27
339;Diensten, afval en water;2001;22.15;0.3;5.0;12.7;1.78;1.17;0.28
340;Diensten, afval en water;2002;21.04;0.3;4.6;11.3;1.76;1.01;0.25
341;Diensten, afval en water;2003;20.85;0.3;5.3;11.1;1.68;0.95;0.26
342;Diensten, afval en water;2004;20.03;0.3;4.9;10.4;1.79;0.95;0.26
343;Diensten, afval en water;2005;24.81;0.4;4.4;9.0;1.8;1.06;0.28
344;Diensten, afval en water;2006;24.64;0.4;4.4;9.0;1.78;1.11;0.31
345;Diensten, afval en water;2007;25.27;0.4;4.2;8.4;1.82;1.06;0.27
346;Diensten, afval en water;2008;24.87;0.5;4.5;9.1;1.85;1.13;0.29
347;Diensten, afval en water;2009;23.33;0.5;4.3;9.0;1.85;0.94;0.27
348;Diensten, afval en water;2010;26.19;0.5;4.5;9.8;1.79;0.96;0.26
349;Diensten, afval en water;2011;25.85;0.6;3.8;8.7;1.81;0.95;0.26
350;Diensten, afval en water;2012;25.05;0.4;3.9;8.6;1.82;0.94;0.28
351;Diensten, afval en water;2013;24.27;0.4;3.8;8.6;1.77;1.0;0.28
352;Diensten, afval en water;2014;24.35;0.4;3.4;7.6;1.73;1.01;0.27
353;Diensten, afval en water;2015;24.3;0.4;3.5;7.9;1.69;1.02;0.29
354;Diensten, afval en water;2016;23.9;1.3;3.9;7.6;1.88;0.96;0.3
355;Diensten, afval en water;2017;24.57;1.0;3.9;7.5;1.89;0.93;0.29
356;Diensten, afval en water;2018;24.71;0.6;3.8;7.0;1.86;0.92;0.29
357;Diensten, afval en water;2019;24.7;0.5;3.5;6.9;1.81;1.0;0.32
358;Diensten, afval en water;2020;25.6;0.5;3.5;6.6;1.89;0.9;0.31
359;Diensten, afval en water;2021;24.46;0.6;3.5;6.5;1.96;0.9;0.31
360;"Mobiele bronnen; totaal";1990;212.75;27.4;819.1;398.9;0.93;27.62;25.48
361;"Mobiele bronnen; totaal";1995;147.48;27.4;629.2;343.4;2.38;22.86;20.66
362;"Mobiele bronnen; totaal";2000;93.65;15.8;504.7;311.1;4.34;19.33;17.0
363;"Mobiele bronnen; totaal";2001;87.28;12.7;505.5;301.2;4.77;18.55;16.21
364;"Mobiele bronnen; totaal";2002;79.78;11.4;505.3;289.7;5.07;17.38;15.04
365;"Mobiele bronnen; totaal";2003;74.47;10.9;504.9;285.6;5.19;16.65;14.3
366;"Mobiele bronnen; totaal";2004;69.77;10.6;489.3;281.9;5.17;16.05;13.72
367;"Mobiele bronnen; totaal";2005;65.21;10.3;486.7;276.4;5.11;15.39;12.99
368;"Mobiele bronnen; totaal";2006;63.46;10.1;490.4;275.9;5.1;14.59;12.19
369;"Mobiele bronnen; totaal";2007;60.39;9.2;491.2;271.4;4.96;13.92;11.49
370;"Mobiele bronnen; totaal";2008;58.9;5.7;477.5;262.1;4.54;12.6;10.19
371;"Mobiele bronnen; totaal";2009;55.19;4.4;467.1;235.3;4.32;11.25;8.88
372;"Mobiele bronnen; totaal";2010;52.06;3.0;457.1;225.9;4.09;10.41;8.05
373;"Mobiele bronnen; totaal";2011;49.79;1.2;452.8;223.8;3.88;9.78;7.43
374;"Mobiele bronnen; totaal";2012;45.45;1.0;424.5;206.9;3.5;8.92;6.59
375;"Mobiele bronnen; totaal";2013;42.35;1.2;404.9;192.3;3.39;8.32;6.02
376;"Mobiele bronnen; totaal";2014;38.56;1.4;383.0;174.7;3.18;7.84;5.53
377;"Mobiele bronnen; totaal";2015;37.06;1.0;375.7;169.0;3.23;7.52;5.18
378;"Mobiele bronnen; totaal";2016;36.12;0.9;363.7;159.1;3.25;7.22;4.8
379;"Mobiele bronnen; totaal";2017;35.94;0.9;367.7;155.8;3.55;7.0;4.55
380;"Mobiele bronnen; totaal";2018;34.91;0.8;353.7;152.9;3.54;6.82;4.33
381;"Mobiele bronnen; totaal";2019;34.01;0.9;336.5;142.5;3.58;6.43;3.94
382;"Mobiele bronnen; totaal";2020;29.75;0.7;285.2;125.1;3.07;5.82;3.59
383;"Mobiele bronnen; totaal";2021;29.07;0.6;271.0;119.5;3.16;5.65;3.36
384;Vervoer;1990;195.78;18.2;724.5;325.5;0.92;20.79;18.99
385;Vervoer;1995;131.89;17.2;543.1;264.0;2.37;16.44;14.56
386;Vervoer;2000;79.28;6.2;424.3;228.9;4.32;13.3;11.26
387;Vervoer;2001;73.45;3.4;426.7;220.7;4.75;12.68;10.63
388;Vervoer;2002;67.07;3.4;429.6;216.8;5.06;12.06;9.98
389;Vervoer;2003;62.61;3.2;431.0;216.4;5.18;11.62;9.52
390;Vervoer;2004;58.59;3.1;416.6;215.7;5.15;11.3;9.21
391;Vervoer;2005;54.34;2.6;414.1;210.4;5.1;10.7;8.52
392;Vervoer;2006;53.37;2.7;419.4;213.2;5.08;10.21;8.02
393;Vervoer;2007;51.02;2.7;422.1;212.1;4.95;9.82;7.59
394;Vervoer;2008;50.13;1.7;409.4;205.2;4.53;9.09;6.85
395;Vervoer;2009;47.05;1.4;400.5;181.1;4.31;8.16;5.93
396;Vervoer;2010;44.53;1.0;392.1;175.0;4.07;7.66;5.43
397;Vervoer;2011;42.51;0.5;387.5;175.1;3.87;7.24;5.01
398;Vervoer;2012;38.82;0.5;360.9;163.8;3.49;6.68;4.46
399;Vervoer;2013;35.89;0.5;341.3;148.7;3.38;6.11;3.92
400;Vervoer;2014;32.36;0.4;319.4;131.0;3.17;5.66;3.46
401;Vervoer;2015;31.3;0.5;313.0;126.8;3.21;5.52;3.28
402;Vervoer;2016;30.64;0.5;301.2;118.6;3.21;5.33;3.01
403;Vervoer;2017;30.92;0.5;306.9;119.0;3.5;5.31;2.94
404;Vervoer;2018;30.1;0.5;293.8;116.2;3.47;5.18;2.76
405;Vervoer;2019;29.51;0.5;278.5;107.1;3.49;4.94;2.52
406;Vervoer;2020;25.45;0.3;228.2;90.3;2.96;4.35;2.19
407;Vervoer;2021;25.11;0.3;216.0;87.3;3.04;4.35;2.12
408;Railverkeer;1990;0.07;0.1;0.3;2.3;0.0;0.06;0.05
409;Railverkeer;1995;0.08;0.1;0.3;2.4;0.0;0.06;0.06
410;Railverkeer;2000;0.09;0.1;0.3;2.9;0.0;0.07;0.07
411;Railverkeer;2001;0.08;0.1;0.3;2.8;0.0;0.07;0.06
412;Railverkeer;2002;0.08;0.1;0.3;2.7;0.0;0.06;0.06
413;Railverkeer;2003;0.08;0.1;0.3;2.6;0.0;0.06;0.06
414;Railverkeer;2004;0.08;0.1;0.3;2.8;0.0;0.07;0.06
415;Railverkeer;2005;0.08;0.1;0.3;2.7;0.0;0.06;0.06
416;Railverkeer;2006;0.08;0.1;0.3;2.7;0.0;0.06;0.06
417;Railverkeer;2007;0.08;0.1;0.3;2.7;0.0;0.06;0.06
418;Railverkeer;2008;0.08;0.1;0.3;2.7;0.0;0.06;0.06
419;Railverkeer;2009;0.07;0.0;0.3;2.4;0.0;0.06;0.06
420;Railverkeer;2010;0.08;0.0;0.3;2.7;0.0;0.06;0.06
421;Railverkeer;2011;0.08;0.0;0.3;2.6;0.0;0.06;0.06
422;Railverkeer;2012;0.07;0.0;0.2;2.2;0.0;0.06;0.05
423;Railverkeer;2013;0.07;0.0;0.2;2.1;0.0;0.06;0.05
424;Railverkeer;2014;0.07;0.0;0.3;2.1;0.0;0.06;0.06
425;Railverkeer;2015;0.08;0.0;0.3;2.3;0.0;0.06;0.06
426;Railverkeer;2016;0.08;0.0;0.3;2.3;0.0;0.06;0.06
427;Railverkeer;2017;0.08;0.0;0.3;2.1;0.0;0.06;0.06
428;Railverkeer;2018;0.07;0.0;0.2;1.8;0.0;0.05;0.05
429;Railverkeer;2019;0.06;0.0;0.2;1.7;0.0;0.05;0.05
430;Railverkeer;2020;0.07;0.0;0.2;1.7;0.0;0.05;0.05
431;Railverkeer;2021;0.07;0.0;0.2;1.7;0.0;0.05;0.05
432;Wegverkeer;1990;187.03;16.0;698.4;291.0;0.91;19.33;17.61
433;Wegverkeer;1995;121.8;15.0;515.6;232.3;2.36;14.96;13.15
434;Wegverkeer;2000;71.02;3.7;393.5;193.3;4.32;11.8;9.85
435;Wegverkeer;2001;64.71;0.9;395.3;184.1;4.75;11.16;9.19
436;Wegverkeer;2002;59.13;0.9;397.7;181.1;5.05;10.6;8.6
437;Wegverkeer;2003;54.6;0.6;397.7;179.8;5.17;10.16;8.14
438;Wegverkeer;2004;50.92;0.6;383.1;180.8;5.15;9.93;7.91
439;Wegverkeer;2005;47.29;0.2;381.0;176.4;5.09;9.39;7.28
440;Wegverkeer;2006;46.1;0.3;386.7;179.7;5.08;8.94;6.82
441;Wegverkeer;2007;44.08;0.3;389.6;178.1;4.94;8.55;6.39
442;Wegverkeer;2008;43.45;0.2;377.1;171.4;4.52;7.9;5.73
443;Wegverkeer;2009;40.66;0.2;368.8;152.5;4.3;7.08;4.93
444;Wegverkeer;2010;38.13;0.2;360.2;144.6;4.07;6.57;4.41
445;Wegverkeer;2011;36.34;0.2;355.3;143.1;3.86;6.15;3.99
446;Wegverkeer;2012;32.72;0.2;328.9;130.3;3.48;5.56;3.41
447;Wegverkeer;2013;30.08;0.2;310.0;115.9;3.37;5.02;2.9
448;Wegverkeer;2014;27.5;0.2;288.2;97.8;3.16;4.58;2.45
449;Wegverkeer;2015;26.65;0.2;281.9;93.1;3.2;4.45;2.27
450;Wegverkeer;2016;25.88;0.2;270.2;85.1;3.21;4.29;2.03
451;Wegverkeer;2017;26.1;0.2;275.9;85.0;3.49;4.27;1.96
452;Wegverkeer;2018;25.29;0.2;262.5;82.3;3.46;4.15;1.81
453;Wegverkeer;2019;25.13;0.2;247.9;76.0;3.49;4.01;1.65
454;Wegverkeer;2020;21.48;0.2;199.8;61.8;2.95;3.48;1.37
455;Wegverkeer;2021;21.09;0.2;187.5;59.0;3.04;3.5;1.32
456;Scheepvaart;1990;8.2;1.9;22.1;30.7;0.01;1.36;1.29
457;Scheepvaart;1995;9.54;2.0;22.9;27.3;0.01;1.37;1.3
458;Scheepvaart;2000;7.71;2.2;26.2;30.0;0.01;1.36;1.3
459;Scheepvaart;2001;8.23;2.3;27.2;31.2;0.01;1.39;1.32
460;Scheepvaart;2002;7.45;2.2;27.7;30.3;0.01;1.33;1.26
461;Scheepvaart;2003;7.45;2.2;28.5;31.1;0.01;1.34;1.27
462;Scheepvaart;2004;7.07;2.1;28.7;29.1;0.01;1.24;1.18
463;Scheepvaart;2005;6.44;2.0;28.3;28.1;0.01;1.18;1.12
464;Scheepvaart;2006;6.64;2.0;27.9;27.6;0.01;1.14;1.08
465;Scheepvaart;2007;6.31;2.0;27.6;28.0;0.01;1.14;1.09
466;Scheepvaart;2008;6.06;1.2;27.3;27.8;0.01;1.06;1.0
467;Scheepvaart;2009;5.82;1.0;26.9;23.1;0.0;0.95;0.9
468;Scheepvaart;2010;5.82;0.5;27.1;24.6;0.01;0.96;0.91
469;Scheepvaart;2011;5.57;0.0;27.3;26.1;0.01;0.96;0.91
470;Scheepvaart;2012;5.53;0.0;27.3;28.0;0.01;1.01;0.95
471;Scheepvaart;2013;5.24;0.0;26.9;27.3;0.01;0.97;0.91
472;Scheepvaart;2014;4.28;0.0;26.8;27.6;0.01;0.96;0.91
473;Scheepvaart;2015;4.07;0.0;26.6;27.9;0.01;0.96;0.9
474;Scheepvaart;2016;4.17;0.0;26.4;27.4;0.01;0.93;0.87
475;Scheepvaart;2017;4.24;0.0;26.5;27.9;0.01;0.93;0.87
476;Scheepvaart;2018;4.22;0.0;26.6;28.0;0.01;0.92;0.86
477;Scheepvaart;2019;3.79;0.0;25.9;25.3;0.01;0.82;0.78
478;Scheepvaart;2020;3.62;0.0;25.6;24.6;0.01;0.8;0.75
479;Scheepvaart;2021;3.65;0.0;25.5;24.1;0.01;0.77;0.72
480;Luchtvaart;1990;0.48;0.1;3.7;1.4;0.0;0.04;0.04
481;Luchtvaart;1995;0.48;0.2;4.3;2.1;0.0;0.05;0.05
482;Luchtvaart;2000;0.45;0.2;4.2;2.7;0.0;0.06;0.06
483;Luchtvaart;2001;0.42;0.2;3.9;2.7;0.0;0.06;0.05
484;Luchtvaart;2002;0.41;0.2;3.9;2.7;0.0;0.06;0.05
485;Luchtvaart;2003;0.48;0.2;4.5;2.9;0.0;0.06;0.06
486;Luchtvaart;2004;0.52;0.2;4.5;3.0;0.0;0.07;0.06
487;Luchtvaart;2005;0.53;0.2;4.5;3.2;0.0;0.07;0.06
488;Luchtvaart;2006;0.55;0.2;4.6;3.2;0.0;0.07;0.06
489;Luchtvaart;2007;0.55;0.2;4.6;3.3;0.0;0.07;0.06
490;Luchtvaart;2008;0.55;0.3;4.7;3.3;0.0;0.07;0.06
491;Luchtvaart;2009;0.49;0.2;4.5;3.0;0.0;0.06;0.05
492;Luchtvaart;2010;0.49;0.2;4.5;3.2;0.0;0.06;0.05
493;Luchtvaart;2011;0.52;0.2;4.6;3.3;0.0;0.06;0.05
494;Luchtvaart;2012;0.51;0.2;4.4;3.3;0.0;0.06;0.05
495;Luchtvaart;2013;0.5;0.2;4.2;3.4;0.0;0.06;0.05
496;Luchtvaart;2014;0.5;0.2;4.2;3.5;0.0;0.06;0.05
497;Luchtvaart;2015;0.5;0.3;4.2;3.6;0.0;0.05;0.04
498;Luchtvaart;2016;0.51;0.3;4.3;3.8;0.0;0.05;0.04
499;Luchtvaart;2017;0.51;0.3;4.3;4.0;0.0;0.05;0.04
500;Luchtvaart;2018;0.52;0.3;4.4;4.2;0.0;0.05;0.04
501;Luchtvaart;2019;0.52;0.3;4.5;4.1;0.0;0.05;0.04
502;Luchtvaart;2020;0.27;0.1;2.5;2.3;0.0;0.03;0.02
503;Luchtvaart;2021;0.3;0.2;2.9;2.6;0.0;0.03;0.02
504;Overige mobiele bronnen, totaal;1990;16.97;9.3;94.6;73.5;0.01;6.82;6.49
505;Overige mobiele bronnen, totaal;1995;15.58;10.2;86.1;79.3;0.01;6.42;6.11
506;Overige mobiele bronnen, totaal;2000;14.37;9.6;80.4;82.2;0.01;6.03;5.73
507;Overige mobiele bronnen, totaal;2001;13.83;9.2;78.8;80.5;0.01;5.86;5.57
508;Overige mobiele bronnen, totaal;2002;12.7;8.0;75.8;73.0;0.01;5.32;5.06
509;Overige mobiele bronnen, totaal;2003;11.86;7.7;73.9;69.2;0.01;5.02;4.78
510;Overige mobiele bronnen, totaal;2004;11.18;7.5;72.7;66.3;0.01;4.75;4.51
511;Overige mobiele bronnen, totaal;2005;10.87;7.7;72.5;66.0;0.01;4.7;4.47
512;Overige mobiele bronnen, totaal;2006;10.09;7.5;70.9;62.7;0.01;4.38;4.17
513;Overige mobiele bronnen, totaal;2007;9.37;6.5;69.1;59.3;0.01;4.1;3.9
514;Overige mobiele bronnen, totaal;2008;8.77;4.0;68.1;56.9;0.01;3.51;3.34
515;Overige mobiele bronnen, totaal;2009;8.14;2.9;66.7;54.2;0.01;3.09;2.95
516;Overige mobiele bronnen, totaal;2010;7.53;2.0;65.0;50.9;0.01;2.75;2.62
517;Overige mobiele bronnen, totaal;2011;7.28;0.8;65.3;48.7;0.01;2.54;2.42
518;Overige mobiele bronnen, totaal;2012;6.63;0.6;63.6;43.2;0.01;2.24;2.13
519;Overige mobiele bronnen, totaal;2013;6.46;0.8;63.6;43.6;0.01;2.21;2.1
520;Overige mobiele bronnen, totaal;2014;6.2;1.0;63.6;43.7;0.01;2.17;2.07
521;Overige mobiele bronnen, totaal;2015;5.76;0.6;62.7;42.1;0.02;2.0;1.9
522;Overige mobiele bronnen, totaal;2016;5.48;0.4;62.5;40.4;0.04;1.88;1.79
523;Overige mobiele bronnen, totaal;2017;5.02;0.4;60.8;36.8;0.05;1.69;1.61
524;Overige mobiele bronnen, totaal;2018;4.81;0.3;60.0;36.7;0.07;1.64;1.57
525;Overige mobiele bronnen, totaal;2019;4.5;0.4;58.0;35.4;0.09;1.49;1.42
526;Overige mobiele bronnen, totaal;2020;4.31;0.3;57.0;34.8;0.11;1.47;1.4
527;Overige mobiele bronnen, totaal;2021;3.96;0.3;55.0;32.2;0.12;1.3;1.24
528;Landbouw (mobiele bronnen);1990;3.97;1.2;10.2;13.2;0.0;1.66;1.57
529;Landbouw (mobiele bronnen);1995;3.61;1.2;9.5;14.0;0.0;1.48;1.41
530;Landbouw (mobiele bronnen);2000;3.31;1.2;9.1;14.8;0.0;1.33;1.27
531;Landbouw (mobiele bronnen);2001;3.16;1.2;8.8;14.5;0.0;1.28;1.22
532;Landbouw (mobiele bronnen);2002;2.97;1.1;8.4;13.7;0.0;1.2;1.14
533;Landbouw (mobiele bronnen);2003;2.76;1.2;8.2;13.6;0.0;1.18;1.12
534;Landbouw (mobiele bronnen);2004;2.47;1.1;7.8;12.8;0.0;1.08;1.03
535;Landbouw (mobiele bronnen);2005;2.34;1.2;7.7;13.0;0.0;1.08;1.03
536;Landbouw (mobiele bronnen);2006;2.14;1.1;7.4;12.5;0.0;1.02;0.97
537;Landbouw (mobiele bronnen);2007;1.98;1.1;7.2;12.2;0.0;0.97;0.92
538;Landbouw (mobiele bronnen);2008;1.82;0.6;6.9;11.8;0.0;0.81;0.77
539;Landbouw (mobiele bronnen);2009;1.65;0.3;6.6;11.1;0.0;0.69;0.66
540;Landbouw (mobiele bronnen);2010;1.61;0.1;6.6;11.3;0.0;0.67;0.64
541;Landbouw (mobiele bronnen);2011;1.54;0.0;6.5;11.4;0.0;0.64;0.61
542;Landbouw (mobiele bronnen);2012;1.44;0.0;6.3;10.8;0.0;0.6;0.57
543;Landbouw (mobiele bronnen);2013;1.4;0.0;6.2;10.9;0.0;0.58;0.55
544;Landbouw (mobiele bronnen);2014;1.4;0.0;6.3;11.5;0.0;0.58;0.55
545;Landbouw (mobiele bronnen);2015;1.32;0.0;6.2;11.2;0.01;0.54;0.51
546;Landbouw (mobiele bronnen);2016;1.21;0.0;5.8;10.1;0.01;0.47;0.45
547;Landbouw (mobiele bronnen);2017;1.13;0.0;5.5;9.5;0.02;0.43;0.41
548;Landbouw (mobiele bronnen);2018;1.14;0.0;5.6;10.3;0.03;0.45;0.43
549;Landbouw (mobiele bronnen);2019;1.05;0.0;5.2;9.4;0.03;0.39;0.38
550;Landbouw (mobiele bronnen);2020;1.02;0.0;5.1;9.5;0.04;0.38;0.36
551;Landbouw (mobiele bronnen);2021;0.97;0.0;4.9;9.3;0.05;0.35;0.33
552;Visserij;1990;1.42;5.0;1.5;20.6;0.0;1.16;1.1
553;Visserij;1995;1.45;5.9;1.5;23.2;0.0;1.28;1.22
554;Visserij;2000;1.33;5.2;1.4;22.6;0.0;1.19;1.13
555;Visserij;2001;1.29;4.8;1.4;22.0;0.0;1.13;1.07
556;Visserij;2002;1.06;3.8;1.1;18.3;0.0;0.91;0.87
557;Visserij;2003;0.94;3.6;1.0;16.6;0.0;0.82;0.78
558;Visserij;2004;0.87;3.4;0.9;15.8;0.0;0.74;0.71
559;Visserij;2005;0.84;3.4;0.9;15.5;0.0;0.74;0.7
560;Visserij;2006;0.78;3.3;0.8;14.7;0.0;0.69;0.66
561;Visserij;2007;0.66;2.5;0.7;12.8;0.0;0.61;0.58
562;Visserij;2008;0.58;1.8;0.7;11.8;0.0;0.56;0.53
563;Visserij;2009;0.53;1.9;0.6;11.4;0.0;0.55;0.52
564;Visserij;2010;0.52;1.6;0.6;11.0;0.0;0.5;0.47
565;Visserij;2011;0.43;0.7;0.5;8.7;0.0;0.36;0.34
566;Visserij;2012;0.34;0.6;0.4;6.8;0.0;0.28;0.26
567;Visserij;2013;0.38;0.7;0.4;8.0;0.0;0.33;0.31
568;Visserij;2014;0.37;1.0;0.5;8.3;0.0;0.34;0.33
569;Visserij;2015;0.37;0.5;0.5;8.9;0.0;0.33;0.32
570;Visserij;2016;0.35;0.4;0.4;8.4;0.0;0.3;0.28
571;Visserij;2017;0.31;0.4;0.4;7.3;0.0;0.27;0.25
572;Visserij;2018;0.3;0.3;0.4;7.0;0.0;0.26;0.24
573;Visserij;2019;0.36;0.4;0.4;8.0;0.0;0.24;0.23
574;Visserij;2020;0.31;0.3;0.4;7.4;0.0;0.25;0.24
575;Visserij;2021;0.26;0.3;0.3;6.2;0.0;0.21;0.2
576;Overige sectoren (mobiele bronnen);1990;11.58;3.1;83.0;39.7;0.01;4.01;3.81
577;Overige sectoren (mobiele bronnen);1995;10.52;3.0;75.1;42.1;0.01;3.66;3.48
578;Overige sectoren (mobiele bronnen);2000;9.73;3.2;69.9;44.8;0.01;3.51;3.33
579;Overige sectoren (mobiele bronnen);2001;9.38;3.2;68.6;44.0;0.01;3.45;3.29
580;Overige sectoren (mobiele bronnen);2002;8.67;3.1;66.3;41.0;0.01;3.2;3.05
581;Overige sectoren (mobiele bronnen);2003;8.16;3.0;64.7;38.9;0.01;3.03;2.88
582;Overige sectoren (mobiele bronnen);2004;7.84;3.0;64.0;37.8;0.01;2.92;2.78
583;Overige sectoren (mobiele bronnen);2005;7.68;3.1;63.9;37.5;0.01;2.88;2.74
584;Overige sectoren (mobiele bronnen);2006;7.17;3.0;62.7;35.5;0.01;2.67;2.54
585;Overige sectoren (mobiele bronnen);2007;6.72;2.9;61.2;34.3;0.01;2.52;2.4
586;Overige sectoren (mobiele bronnen);2008;6.37;1.6;60.5;33.3;0.01;2.14;2.04
587;Overige sectoren (mobiele bronnen);2009;5.96;0.7;59.5;31.8;0.01;1.86;1.77
588;Overige sectoren (mobiele bronnen);2010;5.4;0.3;57.9;28.5;0.01;1.58;1.51
589;Overige sectoren (mobiele bronnen);2011;5.3;0.0;58.3;28.7;0.01;1.54;1.47
590;Overige sectoren (mobiele bronnen);2012;4.85;0.0;57.0;25.6;0.01;1.36;1.3
591;Overige sectoren (mobiele bronnen);2013;4.68;0.0;56.9;24.6;0.01;1.3;1.24
592;Overige sectoren (mobiele bronnen);2014;4.43;0.0;56.8;23.9;0.01;1.25;1.19
593;Overige sectoren (mobiele bronnen);2015;4.06;0.0;56.1;22.0;0.01;1.13;1.07
594;Overige sectoren (mobiele bronnen);2016;3.93;0.0;56.3;22.0;0.02;1.11;1.06
595;Overige sectoren (mobiele bronnen);2017;3.57;0.0;54.9;20.1;0.03;1.0;0.95
596;Overige sectoren (mobiele bronnen);2018;3.36;0.0;54.0;19.3;0.04;0.94;0.9
597;Overige sectoren (mobiele bronnen);2019;3.09;0.0;52.4;18.0;0.05;0.86;0.82
598;Overige sectoren (mobiele bronnen);2020;2.97;0.0;51.5;17.9;0.06;0.84;0.8
599;Overige sectoren (mobiele bronnen);2021;2.73;0.0;49.7;16.6;0.07;0.74;0.71
