ID;Woonplaatsen;Woonplaatscode_1;Naam_2;Code_3;Naam_4;Code_5;Naam_6;Code_7
24;Acquoy;3527;Geldermalsen                       ;GM0236    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
25;Adorp;2464;Winsum                             ;GM0053    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
26;Aduard;2114;Zuidhorn                           ;GM0056    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
27;Aerdenhout;2652;Bloemendaal                        ;GM0377    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
28;Aerdt;2976;Rijnwaarden                        ;GM0196    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
29;Afferden;2902;Druten                             ;GM0225    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
30;Afferden L;1122;Bergen (L.)                        ;GM0893    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
31;Agelo;1407;Dinkelland                         ;GM1774    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
32;Akersloot;2267;Castricum                          ;GM0383    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
33;Akkrum;2525;Heerenveen                         ;GM0074    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
34;Akmarijp;2484;De Friese Meren                    ;GM1921    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
35;Albergen;1283;Tubbergen                          ;GM0183    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
36;Alblasserdam;2386;Alblasserdam                       ;GM0482    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
37;Alde Leie;3224;Leeuwarderadeel                    ;GM0081    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
38;Aldeboarn;2532;Heerenveen                         ;GM0074    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
39;Aldtsjerk;2441;Tytsjerksteradiel                  ;GM0737    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
40;Alem;1623;Maasdriel                          ;GM0263    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
41;Alkmaar;2348;Alkmaar                            ;GM0361    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
42;Allingawier;2301;Súdwest-Fryslân                    ;GM1900    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
43;Almelo;1924;Almelo                             ;GM0141    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
44;Almen;1334;Lochem                             ;GM0262    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
45;Almere;1270;Almere                             ;GM0034    ;Flevoland                ;PV24      ;Oost-Nederland           ;LD02      
46;Almkerk;3300;Woudrichem                         ;GM0874    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
47;Alphen;1766;West Maas en Waal                  ;GM0668    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
48;Alphen;3432;Alphen-Chaam                       ;GM1723    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
49;Alphen aan den Rijn;1080;Alphen aan den Rijn                ;GM0484    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
50;Alteveer;1633;Noordenveld                        ;GM1699    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
51;Alteveer;3079;Stadskanaal                        ;GM0037    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
52;Alteveer;3160;De Wolden                          ;GM1690    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
53;Alteveer gem Hoogeveen;1810;Hoogeveen                          ;GM0118    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
54;Altforst;1767;West Maas en Waal                  ;GM0668    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
55;Ambt Delden;1438;Hof van Twente                     ;GM1735    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
56;Ameide;2106;Zederik                            ;GM0707    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
57;Amen;1147;Aa en Hunze                        ;GM1680    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
58;America;1026;Horst aan de Maas                  ;GM1507    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
59;Amerongen;3337;Utrechtse Heuvelrug                ;GM1581    ;Utrecht                  ;PV26      ;West-Nederland           ;LD03      
60;Amersfoort;1664;Amersfoort                         ;GM0307    ;Utrecht                  ;PV26      ;West-Nederland           ;LD03      
61;Ammerstol;2367;Krimpenerwaard                     ;GM1931    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
62;Ammerzoden;1624;Maasdriel                          ;GM0263    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
63;Amstelhoek;3547;De Ronde Venen                     ;GM0736    ;Utrecht                  ;PV26      ;West-Nederland           ;LD03      
64;Amstelveen;1050;Amstelveen                         ;GM0362    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
65;Amstenrade;2099;Schinnen                           ;GM0962    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
66;Amsterdam;3594;Amsterdam                          ;GM0363    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
67;Amsterdam-Duivendrecht;3569;Ouder-Amstel                       ;GM0437    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
68;Andel;3301;Woudrichem                         ;GM0874    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
69;Den Andel;2466;Winsum                             ;GM0053    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
70;Andelst;1862;Overbetuwe                         ;GM1734    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
71;Anderen;1148;Aa en Hunze                        ;GM1680    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
72;Andijk;1053;Medemblik                          ;GM0420    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
73;Ane;1537;Hardenberg                         ;GM0160    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
74;Anerveen;1538;Hardenberg                         ;GM0160    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
75;Anevelde;1539;Hardenberg                         ;GM0160    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
76;Angeren;3133;Lingewaard                         ;GM1705    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
77;Angerlo;1299;Zevenaar                           ;GM0299    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
78;Anjum;3388;Dongeradeel                        ;GM0058    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
79;Ankeveen;2999;Wijdemeren                         ;GM1696    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
80;Anloo;1149;Aa en Hunze                        ;GM1680    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
81;Anna Paulowna;3185;Hollands Kroon                     ;GM1911    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
82;Annen;1150;Aa en Hunze                        ;GM1680    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
83;Annerveenschekanaal;1151;Aa en Hunze                        ;GM1680    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
84;Ansen;3104;Westerveld                         ;GM1701    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
85;Ansen;3161;De Wolden                          ;GM1690    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
86;Ter Apel;2296;Vlagtwedde                         ;GM0048    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
87;Apeldoorn;3560;Apeldoorn                          ;GM0200    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
88;Ter Apelkanaal;2297;Vlagtwedde                         ;GM0048    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
89;Appelscha;1753;Ooststellingwerf                   ;GM0085    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
90;Appeltern;1768;West Maas en Waal                  ;GM0668    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
91;Appingedam;3386;Appingedam                         ;GM0003    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
92;Arcen;3140;Venlo                              ;GM0983    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
93;Arkel;1432;Giessenlanden                      ;GM0689    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
94;Arnemuiden;1008;Middelburg                         ;GM0687    ;Zeeland                  ;PV29      ;West-Nederland           ;LD03      
95;Arnhem;1296;Arnhem                             ;GM0202    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
96;Arriën;2547;Ommen                              ;GM0175    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
97;Arum;2302;Súdwest-Fryslân                    ;GM1900    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
98;Asch;3370;Buren                              ;GM0214    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
99;Asperen;2353;Lingewaal                          ;GM0733    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
100;Assen;2391;Assen                              ;GM0106    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
101;Assendelft;1878;Zaanstad                           ;GM0479    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
102;Asten;2928;Asten                              ;GM0743    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
103;Augsbuurt;3307;Kollumerland en Nieuwkruisland     ;GM0079    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
104;Augustinusga;3173;Achtkarspelen                      ;GM0059    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
105;Austerlitz;2824;Zeist                              ;GM0355    ;Utrecht                  ;PV26      ;West-Nederland           ;LD03      
106;Avenhorn;1183;Koggenland                         ;GM1598    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
107;Axel;1128;Terneuzen                          ;GM0715    ;Zeeland                  ;PV29      ;West-Nederland           ;LD03      
108;Azewijn;2202;Montferland                        ;GM1955    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
109;Baaiduinen;2621;Terschelling                       ;GM0093    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
110;Baaium;2008;Littenseradiel                     ;GM0140    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
111;Baak;1527;Bronckhorst                        ;GM1876    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
112;Baambrugge;1333;De Ronde Venen                     ;GM0736    ;Utrecht                  ;PV26      ;West-Nederland           ;LD03      
113;Baard;2009;Littenseradiel                     ;GM0140    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
114;Baarland;1251;Borsele                            ;GM0654    ;Zeeland                  ;PV29      ;West-Nederland           ;LD03      
115;Baarle-Nassau;2883;Baarle-Nassau                      ;GM0744    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
116;Baarlo;2602;Peel en Maas                       ;GM1894    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
117;Baarlo;2691;Steenwijkerland                    ;GM1708    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
118;Baarn;1092;Baarn                              ;GM0308    ;Utrecht                  ;PV26      ;West-Nederland           ;LD03      
119;Baars;2692;Steenwijkerland                    ;GM1708    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
120;Babberich;1298;Zevenaar                           ;GM0299    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
121;Babyloniënbroek;1951;Aalburg                            ;GM0738    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
122;Bad Nieuweschans;1420;Oldambt                            ;GM1895    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
123;Badhoevedorp;1617;Haarlemmermeer                     ;GM0394    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
124;Baexem;2940;Leudal                             ;GM1640    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
125;Baflo;2465;Winsum                             ;GM0053    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
126;Bakel;2090;Gemert-Bakel                       ;GM1652    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
127;Bakhuizen;1673;De Friese Meren                    ;GM1921    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
128;Bakkeveen;3342;Opsterland                         ;GM0086    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
129;Balgoij;2570;Wijchen                            ;GM0296    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
130;Balinge;3005;Midden-Drenthe                     ;GM1731    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
131;Balk;1674;De Friese Meren                    ;GM1921    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
132;Balkbrug;1540;Hardenberg                         ;GM0160    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
133;Balloërveld;1153;Aa en Hunze                        ;GM1680    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
134;Balloo;1152;Aa en Hunze                        ;GM1680    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
135;Ballum;2587;Ameland                            ;GM0060    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
136;Baneheide;3067;Simpelveld                         ;GM0965    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
137;Banholt;1690;Eijsden-Margraten                  ;GM1903    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
138;Bant;1272;Noordoostpolder                    ;GM0171    ;Flevoland                ;PV24      ;Oost-Nederland           ;LD02      
139;Bantega;2239;De Friese Meren                    ;GM1921    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
140;Barchem;1335;Lochem                             ;GM0262    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
141;Barendrecht;1594;Barendrecht                        ;GM0489    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
142;Barger-Compascuum;1987;Emmen                              ;GM0114    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
143;Barneveld;3597;Barneveld                          ;GM0203    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
144;Barsingerhorn;2514;Hollands Kroon                     ;GM1911    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
145;Basse;2693;Steenwijkerland                    ;GM1708    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
146;Batenburg;2568;Wijchen                            ;GM0296    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
147;Bathmen;2854;Deventer                           ;GM0150    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
148;Bavel;1703;Breda                              ;GM0758    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
149;Bavel AC;3437;Alphen-Chaam                       ;GM1723    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
150;Bears;2010;Littenseradiel                     ;GM0140    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
151;Bedum;2829;Bedum                              ;GM0005    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
152;Beegden;1918;Maasgouw                           ;GM1641    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
153;Beek;2203;Montferland                        ;GM1955    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
154;Beek;1670;Beek                               ;GM0888    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
155;Beek;2872;Groesbeek                          ;GM0241    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
156;Beek en Donk;1446;Laarbeek                           ;GM1659    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
157;Beekbergen;2258;Apeldoorn                          ;GM0200    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
158;Beemte Broekland;2254;Apeldoorn                          ;GM0200    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
159;Beers NB;1449;Cuijk                              ;GM1684    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
160;Beerta;3508;Oldambt                            ;GM1895    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
161;Beerze;2548;Ommen                              ;GM0175    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
162;Beerzerveld;2549;Ommen                              ;GM0175    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
163;Beesd;3213;Geldermalsen                       ;GM0236    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
164;Beesel;1950;Beesel                             ;GM0889    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
165;Beets;1837;Zeevang                            ;GM0478    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
166;Beetsterzwaag;3343;Opsterland                         ;GM0086    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
167;Beilen;3006;Midden-Drenthe                     ;GM1731    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
168;Beinsdorp;1610;Haarlemmermeer                     ;GM0394    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
169;Belfeld;1476;Venlo                              ;GM0983    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
170;Bellingwolde;2231;Bellingwedde                       ;GM0007    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
171;Beltrum;1661;Berkelland                         ;GM1859    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
172;Belt-Schutsloot;2694;Steenwijkerland                    ;GM1708    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
173;Bemelen;1691;Eijsden-Margraten                  ;GM1903    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
174;Bemmel;3131;Lingewaard                         ;GM1705    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
175;Beneden-Leeuwen;1769;West Maas en Waal                  ;GM0668    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
176;Bennebroek;3533;Bloemendaal                        ;GM0377    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
177;Bennekom;2766;Ede                                ;GM0228    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
178;Benneveld;2146;Coevorden                          ;GM0109    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
179;Benningbroek;3148;Medemblik                          ;GM0420    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
180;Benschop;1958;Lopik                              ;GM0331    ;Utrecht                  ;PV26      ;West-Nederland           ;LD03      
181;Bentelo;1439;Hof van Twente                     ;GM1735    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
182;Benthuizen;2853;Alphen aan den Rijn                ;GM0484    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
183;Bentveld;1306;Zandvoort                          ;GM0473    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
184;Berg en Dal;2873;Groesbeek                          ;GM0241    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
185;Berg en Terblijt;1716;Valkenburg aan de Geul             ;GM0994    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
186;Bergambacht;2365;Krimpenerwaard                     ;GM1931    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
187;Bergeijk;1457;Bergeijk                           ;GM1724    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
188;Bergen (NH);3047;Bergen (NH.)                       ;GM0373    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
189;Bergen aan Zee;3046;Bergen (NH.)                       ;GM0373    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
190;Bergen L;1121;Bergen (L.)                        ;GM0893    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
191;Bergen op Zoom;1937;Bergen op Zoom                     ;GM0748    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
192;Bergentheim;1541;Hardenberg                         ;GM0160    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
193;Bergharen;2565;Wijchen                            ;GM0296    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
194;Berghem;3250;Oss                                ;GM0828    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
195;Bergschenhoek;1688;Lansingerland                      ;GM1621    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
196;Beringe;3438;Peel en Maas                       ;GM1894    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
197;Berkel en Rodenrijs;1687;Lansingerland                      ;GM1621    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
198;Berkel-Enschot;1044;Tilburg                            ;GM0855    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
199;Berkenwoude;2366;Krimpenerwaard                     ;GM1931    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
200;Berkhout;1184;Koggenland                         ;GM1598    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
201;Berlicum;2057;Sint-Michielsgestel                ;GM0845    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
202;Berltsum;2724;Menameradiel                       ;GM1908    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
203;Bern;2627;Zaltbommel                         ;GM0297    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
204;Best;1456;Best                               ;GM0753    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
205;Beugen;1214;Boxmeer                            ;GM0756    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
206;Beuningen;1711;Losser                             ;GM0168    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
207;Beuningen Gld;2751;Beuningen                          ;GM0209    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
208;Beusichem;3371;Buren                              ;GM0214    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
209;Beutenaken;1230;Gulpen-Wittem                      ;GM1729    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
210;Beverwijk;2735;Beverwijk                          ;GM0375    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
211;Biddinghuizen;2429;Dronten                            ;GM0303    ;Flevoland                ;PV24      ;Oost-Nederland           ;LD02      
212;Bierum;3232;Delfzijl                           ;GM0010    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
213;Biervliet;2975;Sluis                              ;GM1714    ;Zeeland                  ;PV29      ;West-Nederland           ;LD03      
214;Biervliet;1129;Terneuzen                          ;GM0715    ;Zeeland                  ;PV29      ;West-Nederland           ;LD03      
215;Biest-Houtakker;1309;Hilvarenbeek                       ;GM0798    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
216;Biezenmortel;1425;Haaren                             ;GM0788    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
217;Biggekerke;2775;Veere                              ;GM0717    ;Zeeland                  ;PV29      ;West-Nederland           ;LD03      
218;De Bilt;2934;De Bilt                            ;GM0310    ;Utrecht                  ;PV26      ;West-Nederland           ;LD03      
219;Bilthoven;2935;De Bilt                            ;GM0310    ;Utrecht                  ;PV26      ;West-Nederland           ;LD03      
220;Bingelrade;2845;Onderbanken                        ;GM0881    ;Limburg                  ;PV31      ;Zuid-Nederland           ;LD04      
221;Bitgum;2722;Menameradiel                       ;GM1908    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
222;Bitgummole;2723;Menameradiel                       ;GM1908    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
223;Bladel;1064;Bladel                             ;GM1728    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
224;Blankenham;2695;Steenwijkerland                    ;GM1708    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
225;Blaricum;2828;Blaricum                           ;GM0376    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
226;Blauwestad;3509;Oldambt                            ;GM1895    ;Groningen                ;PV20      ;Noord-Nederland          ;LD01      
227;Blauwhuis;2401;Súdwest-Fryslân                    ;GM1900    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
228;Bleiswijk;1689;Lansingerland                      ;GM1621    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
229;Blesdijke;1720;Weststellingwerf                   ;GM0098    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
230;Bleskensgraaf ca;1980;Molenwaard                         ;GM1927    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
231;De Blesse;1722;Weststellingwerf                   ;GM0098    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
232;Blessum;2725;Menameradiel                       ;GM1908    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
233;Blije;3199;Ferwerderadiel                     ;GM1722    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
