ID;OwnerTenant;DwellingCharacteristics;Margins;Regions;Periods;SatisfactionWithCurrentDwelling_1;SatisfactionWithLivingEnvironment_2
118;Total;Total dwellings;Value;Zeeland (PV);2021;89.4;87.4
119;Total;Total dwellings;Value;Zeeland (PV);2024;86.5;86.4
120;Total;Total dwellings;Value;Noord-Brabant (PV);2002;91.3;86.6
121;Total;Total dwellings;Value;Noord-Brabant (PV);2006;92.0;86.8
122;Total;Total dwellings;Value;Noord-Brabant (PV);2009;91.9;85.1
123;Total;Total dwellings;Value;Noord-Brabant (PV);2012;90.5;85.8
124;Total;Total dwellings;Value;Noord-Brabant (PV);2015;89.2;84.4
125;Total;Total dwellings;Value;Noord-Brabant (PV);2018;86.2;84.8
126;Total;Total dwellings;Value;Noord-Brabant (PV);2021;87.7;85.2
127;Total;Total dwellings;Value;Noord-Brabant (PV);2024;83.9;82.7
128;Total;Total dwellings;Value;Limburg (PV);2002;90.0;84.7
129;Total;Total dwellings;Value;Limburg (PV);2006;91.1;86.0
130;Total;Total dwellings;Value;Limburg (PV);2009;89.9;82.6
131;Total;Total dwellings;Value;Limburg (PV);2012;89.4;82.1
132;Total;Total dwellings;Value;Limburg (PV);2015;87.9;81.4
133;Total;Total dwellings;Value;Limburg (PV);2018;85.8;83.9
134;Total;Total dwellings;Value;Limburg (PV);2021;86.1;83.7
135;Total;Total dwellings;Value;Limburg (PV);2024;82.9;83.5
136;Total;Total dwellings;Value;Oost-Groningen (CR);2002;89.7;87.4
137;Total;Total dwellings;Value;Oost-Groningen (CR);2006;90.7;87.3
138;Total;Total dwellings;Value;Oost-Groningen (CR);2009;91.3;85.2
139;Total;Total dwellings;Value;Oost-Groningen (CR);2012;88.9;84.3
140;Total;Total dwellings;Value;Oost-Groningen (CR);2015;89.3;82.6
141;Total;Total dwellings;Value;Oost-Groningen (CR);2018;86.5;85.8
142;Total;Total dwellings;Value;Oost-Groningen (CR);2021;86.4;84.4
143;Total;Total dwellings;Value;Oost-Groningen (CR);2024;86.8;83.5
144;Total;Total dwellings;Value;Delfzijl en omgeving (CR);2002;89.2;86.3
145;Total;Total dwellings;Value;Delfzijl en omgeving (CR);2006;90.3;89.8
146;Total;Total dwellings;Value;Delfzijl en omgeving (CR);2009;96.2;90.3
147;Total;Total dwellings;Value;Delfzijl en omgeving (CR);2012;89.0;88.0
148;Total;Total dwellings;Value;Delfzijl en omgeving (CR);2015;83.9;76.9
149;Total;Total dwellings;Value;Delfzijl en omgeving (CR);2018;80.3;84.7
150;Total;Total dwellings;Value;Delfzijl en omgeving (CR);2021;76.6;72.3
151;Total;Total dwellings;Value;Delfzijl en omgeving (CR);2024;77.9;76.4
152;Total;Total dwellings;Value;Overig Groningen (CR);2002;88.5;86.3
153;Total;Total dwellings;Value;Overig Groningen (CR);2006;91.4;88.5
154;Total;Total dwellings;Value;Overig Groningen (CR);2009;89.2;84.9
155;Total;Total dwellings;Value;Overig Groningen (CR);2012;88.5;86.1
156;Total;Total dwellings;Value;Overig Groningen (CR);2015;86.1;79.3
157;Total;Total dwellings;Value;Overig Groningen (CR);2018;84.7;83.1
158;Total;Total dwellings;Value;Overig Groningen (CR);2021;86.0;83.4
159;Total;Total dwellings;Value;Overig Groningen (CR);2024;79.3;80.3
160;Total;Total dwellings;Value;Noord-Friesland (CR);2002;90.3;89.9
161;Total;Total dwellings;Value;Noord-Friesland (CR);2006;91.6;86.3
162;Total;Total dwellings;Value;Noord-Friesland (CR);2009;92.2;86.4
163;Total;Total dwellings;Value;Noord-Friesland (CR);2012;89.0;87.3
164;Total;Total dwellings;Value;Noord-Friesland (CR);2015;86.3;84.1
165;Total;Total dwellings;Value;Noord-Friesland (CR);2018;86.7;86.5
166;Total;Total dwellings;Value;Noord-Friesland (CR);2021;88.6;87.3
167;Total;Total dwellings;Value;Noord-Friesland (CR);2024;80.2;81.7
168;Total;Total dwellings;Value;Zuidwest-Friesland (CR);2002;93.5;92.2
169;Total;Total dwellings;Value;Zuidwest-Friesland (CR);2006;90.8;91.3
170;Total;Total dwellings;Value;Zuidwest-Friesland (CR);2009;90.5;90.6
171;Total;Total dwellings;Value;Zuidwest-Friesland (CR);2012;92.8;90.0
172;Total;Total dwellings;Value;Zuidwest-Friesland (CR);2015;87.2;88.3
173;Total;Total dwellings;Value;Zuidwest-Friesland (CR);2018;90.0;83.7
174;Total;Total dwellings;Value;Zuidwest-Friesland (CR);2021;88.5;87.2
175;Total;Total dwellings;Value;Zuidwest-Friesland (CR);2024;89.0;91.7
176;Total;Total dwellings;Value;Zuidoost-Friesland (CR);2002;90.7;90.3
177;Total;Total dwellings;Value;Zuidoost-Friesland (CR);2006;92.7;87.5
178;Total;Total dwellings;Value;Zuidoost-Friesland (CR);2009;92.4;84.6
179;Total;Total dwellings;Value;Zuidoost-Friesland (CR);2012;92.0;86.9
180;Total;Total dwellings;Value;Zuidoost-Friesland (CR);2015;89.7;87.0
181;Total;Total dwellings;Value;Zuidoost-Friesland (CR);2018;86.8;86.0
182;Total;Total dwellings;Value;Zuidoost-Friesland (CR);2021;89.7;87.2
183;Total;Total dwellings;Value;Zuidoost-Friesland (CR);2024;84.0;89.0
184;Total;Total dwellings;Value;Noord-Drenthe (CR);2002;91.5;88.8
185;Total;Total dwellings;Value;Noord-Drenthe (CR);2006;94.7;90.6
186;Total;Total dwellings;Value;Noord-Drenthe (CR);2009;93.8;90.5
187;Total;Total dwellings;Value;Noord-Drenthe (CR);2012;93.2;90.3
188;Total;Total dwellings;Value;Noord-Drenthe (CR);2015;91.4;88.5
189;Total;Total dwellings;Value;Noord-Drenthe (CR);2018;86.4;90.2
190;Total;Total dwellings;Value;Noord-Drenthe (CR);2021;87.4;90.4
191;Total;Total dwellings;Value;Noord-Drenthe (CR);2024;86.9;88.2
192;Total;Total dwellings;Value;Zuidoost-Drenthe (CR);2002;91.4;87.6
193;Total;Total dwellings;Value;Zuidoost-Drenthe (CR);2006;92.4;88.3
194;Total;Total dwellings;Value;Zuidoost-Drenthe (CR);2009;89.7;85.5
195;Total;Total dwellings;Value;Zuidoost-Drenthe (CR);2012;91.8;86.8
196;Total;Total dwellings;Value;Zuidoost-Drenthe (CR);2015;90.6;81.1
197;Total;Total dwellings;Value;Zuidoost-Drenthe (CR);2018;86.7;83.9
198;Total;Total dwellings;Value;Zuidoost-Drenthe (CR);2021;89.0;81.7
199;Total;Total dwellings;Value;Zuidoost-Drenthe (CR);2024;87.7;85.7
200;Total;Total dwellings;Value;Zuidwest-Drenthe (CR);2002;92.3;87.9
201;Total;Total dwellings;Value;Zuidwest-Drenthe (CR);2006;94.2;89.8
202;Total;Total dwellings;Value;Zuidwest-Drenthe (CR);2009;92.1;86.8
203;Total;Total dwellings;Value;Zuidwest-Drenthe (CR);2012;92.1;88.0
204;Total;Total dwellings;Value;Zuidwest-Drenthe (CR);2015;88.5;84.7
205;Total;Total dwellings;Value;Zuidwest-Drenthe (CR);2018;86.0;86.6
206;Total;Total dwellings;Value;Zuidwest-Drenthe (CR);2021;85.7;88.3
207;Total;Total dwellings;Value;Zuidwest-Drenthe (CR);2024;83.1;89.2
208;Total;Total dwellings;Value;Noord-Overijssel (CR);2002;92.6;87.0
209;Total;Total dwellings;Value;Noord-Overijssel (CR);2006;91.3;88.7
210;Total;Total dwellings;Value;Noord-Overijssel (CR);2009;92.0;85.6
211;Total;Total dwellings;Value;Noord-Overijssel (CR);2012;90.7;87.3
212;Total;Total dwellings;Value;Noord-Overijssel (CR);2015;89.3;84.6
213;Total;Total dwellings;Value;Noord-Overijssel (CR);2018;88.1;88.0
214;Total;Total dwellings;Value;Noord-Overijssel (CR);2021;90.2;88.3
215;Total;Total dwellings;Value;Noord-Overijssel (CR);2024;89.1;88.4
216;Total;Total dwellings;Value;Zuidwest-Overijssel (CR);2002;92.5;85.3
217;Total;Total dwellings;Value;Zuidwest-Overijssel (CR);2006;90.0;85.2
218;Total;Total dwellings;Value;Zuidwest-Overijssel (CR);2009;90.1;84.5
219;Total;Total dwellings;Value;Zuidwest-Overijssel (CR);2012;89.1;88.7
220;Total;Total dwellings;Value;Zuidwest-Overijssel (CR);2015;89.0;80.6
221;Total;Total dwellings;Value;Zuidwest-Overijssel (CR);2018;88.0;83.9
222;Total;Total dwellings;Value;Zuidwest-Overijssel (CR);2021;88.9;88.6
223;Total;Total dwellings;Value;Zuidwest-Overijssel (CR);2024;87.5;87.1
224;Total;Total dwellings;Value;Twente (CR);2002;91.2;86.1
225;Total;Total dwellings;Value;Twente (CR);2006;91.0;86.9
226;Total;Total dwellings;Value;Twente (CR);2009;90.5;86.7
227;Total;Total dwellings;Value;Twente (CR);2012;89.5;85.9
228;Total;Total dwellings;Value;Twente (CR);2015;88.0;84.1
229;Total;Total dwellings;Value;Twente (CR);2018;85.3;83.1
230;Total;Total dwellings;Value;Twente (CR);2021;90.6;86.4
231;Total;Total dwellings;Value;Twente (CR);2024;86.0;86.5
232;Total;Total dwellings;Value;Veluwe (CR);2002;91.3;89.3
233;Total;Total dwellings;Value;Veluwe (CR);2006;91.3;88.8
234;Total;Total dwellings;Value;Veluwe (CR);2009;93.8;87.3
235;Total;Total dwellings;Value;Veluwe (CR);2012;91.8;88.1
236;Total;Total dwellings;Value;Veluwe (CR);2015;90.0;85.3
237;Total;Total dwellings;Value;Veluwe (CR);2018;87.9;87.1
238;Total;Total dwellings;Value;Veluwe (CR);2021;90.2;86.9
239;Total;Total dwellings;Value;Veluwe (CR);2024;86.7;87.2
240;Total;Total dwellings;Value;Achterhoek (CR);2002;93.0;90.2
241;Total;Total dwellings;Value;Achterhoek (CR);2006;93.3;90.6
242;Total;Total dwellings;Value;Achterhoek (CR);2009;94.4;87.2
243;Total;Total dwellings;Value;Achterhoek (CR);2012;92.3;87.5
244;Total;Total dwellings;Value;Achterhoek (CR);2015;89.6;83.9
245;Total;Total dwellings;Value;Achterhoek (CR);2018;88.8;85.6
246;Total;Total dwellings;Value;Achterhoek (CR);2021;90.1;86.7
247;Total;Total dwellings;Value;Achterhoek (CR);2024;88.9;89.9
248;Total;Total dwellings;Value;Arnhem/Nijmegen (CR);2002;86.3;81.6
249;Total;Total dwellings;Value;Arnhem/Nijmegen (CR);2006;89.6;83.3
250;Total;Total dwellings;Value;Arnhem/Nijmegen (CR);2009;88.1;81.8
251;Total;Total dwellings;Value;Arnhem/Nijmegen (CR);2012;88.8;84.5
252;Total;Total dwellings;Value;Arnhem/Nijmegen (CR);2015;85.0;80.3
253;Total;Total dwellings;Value;Arnhem/Nijmegen (CR);2018;83.3;84.1
254;Total;Total dwellings;Value;Arnhem/Nijmegen (CR);2021;84.9;83.8
255;Total;Total dwellings;Value;Arnhem/Nijmegen (CR);2024;82.3;83.8
256;Total;Total dwellings;Value;Zuidwest-Gelderland (CR);2002;93.1;88.9
257;Total;Total dwellings;Value;Zuidwest-Gelderland (CR);2006;93.7;89.4
258;Total;Total dwellings;Value;Zuidwest-Gelderland (CR);2009;91.4;86.6
259;Total;Total dwellings;Value;Zuidwest-Gelderland (CR);2012;93.8;86.4
260;Total;Total dwellings;Value;Zuidwest-Gelderland (CR);2015;91.1;85.8
261;Total;Total dwellings;Value;Zuidwest-Gelderland (CR);2018;86.3;83.0
262;Total;Total dwellings;Value;Zuidwest-Gelderland (CR);2021;89.7;85.9
263;Total;Total dwellings;Value;Zuidwest-Gelderland (CR);2024;85.1;83.4
264;Total;Total dwellings;Value;Utrecht (CR);2002;90.6;84.3
265;Total;Total dwellings;Value;Utrecht (CR);2006;89.3;84.1
266;Total;Total dwellings;Value;Utrecht (CR);2009;90.5;82.9
267;Total;Total dwellings;Value;Utrecht (CR);2012;89.7;83.8
268;Total;Total dwellings;Value;Utrecht (CR);2015;87.5;81.4
269;Total;Total dwellings;Value;Utrecht (CR);2018;86.9;83.3
270;Total;Total dwellings;Value;Utrecht (CR);2021;86.4;85.5
271;Total;Total dwellings;Value;Utrecht (CR);2024;82.7;82.4
272;Total;Total dwellings;Value;Kop van Noord-Holland (CR);2002;91.6;88.1
273;Total;Total dwellings;Value;Kop van Noord-Holland (CR);2006;93.0;88.5
274;Total;Total dwellings;Value;Kop van Noord-Holland (CR);2009;92.0;85.1
275;Total;Total dwellings;Value;Kop van Noord-Holland (CR);2012;91.0;85.3
276;Total;Total dwellings;Value;Kop van Noord-Holland (CR);2015;91.7;87.1
277;Total;Total dwellings;Value;Kop van Noord-Holland (CR);2018;87.9;86.2
278;Total;Total dwellings;Value;Kop van Noord-Holland (CR);2021;90.4;88.7
279;Total;Total dwellings;Value;Kop van Noord-Holland (CR);2024;88.1;85.9
280;Total;Total dwellings;Value;Alkmaar en omgeving (CR);2002;90.4;89.0
281;Total;Total dwellings;Value;Alkmaar en omgeving (CR);2006;90.7;87.7
282;Total;Total dwellings;Value;Alkmaar en omgeving (CR);2009;91.3;88.4
283;Total;Total dwellings;Value;Alkmaar en omgeving (CR);2012;89.3;86.5
284;Total;Total dwellings;Value;Alkmaar en omgeving (CR);2015;88.1;84.1
285;Total;Total dwellings;Value;Alkmaar en omgeving (CR);2018;86.1;85.7
286;Total;Total dwellings;Value;Alkmaar en omgeving (CR);2021;89.5;88.8
287;Total;Total dwellings;Value;Alkmaar en omgeving (CR);2024;86.6;88.2
288;Total;Total dwellings;Value;IJmond (CR);2002;91.8;87.4
289;Total;Total dwellings;Value;IJmond (CR);2006;93.8;84.8
290;Total;Total dwellings;Value;IJmond (CR);2009;88.3;82.5
291;Total;Total dwellings;Value;IJmond (CR);2012;88.1;83.7
292;Total;Total dwellings;Value;IJmond (CR);2015;90.1;83.8
293;Total;Total dwellings;Value;IJmond (CR);2018;86.6;87.2
294;Total;Total dwellings;Value;IJmond (CR);2021;86.3;82.4
295;Total;Total dwellings;Value;IJmond (CR);2024;84.5;81.2
296;Total;Total dwellings;Value;Agglomeratie Haarlem (CR);2002;89.7;86.3
297;Total;Total dwellings;Value;Agglomeratie Haarlem (CR);2006;91.2;86.6
298;Total;Total dwellings;Value;Agglomeratie Haarlem (CR);2009;89.4;81.8
299;Total;Total dwellings;Value;Agglomeratie Haarlem (CR);2012;89.0;86.2
300;Total;Total dwellings;Value;Agglomeratie Haarlem (CR);2015;88.4;81.4
301;Total;Total dwellings;Value;Agglomeratie Haarlem (CR);2018;83.6;86.4
302;Total;Total dwellings;Value;Agglomeratie Haarlem (CR);2021;83.0;81.8
303;Total;Total dwellings;Value;Agglomeratie Haarlem (CR);2024;83.3;83.6
304;Total;Total dwellings;Value;Zaanstreek (CR);2002;86.3;85.7
305;Total;Total dwellings;Value;Zaanstreek (CR);2006;88.2;81.0
306;Total;Total dwellings;Value;Zaanstreek (CR);2009;86.9;76.2
307;Total;Total dwellings;Value;Zaanstreek (CR);2012;90.2;79.9
308;Total;Total dwellings;Value;Zaanstreek (CR);2015;88.4;80.1
309;Total;Total dwellings;Value;Zaanstreek (CR);2018;81.3;75.3
310;Total;Total dwellings;Value;Zaanstreek (CR);2021;78.7;78.2
311;Total;Total dwellings;Value;Zaanstreek (CR);2024;82.6;77.3
312;Total;Total dwellings;Value;Groot-Amsterdam (CR);2002;80.7;78.1
313;Total;Total dwellings;Value;Groot-Amsterdam (CR);2006;81.8;81.1
314;Total;Total dwellings;Value;Groot-Amsterdam (CR);2009;84.4;80.4
315;Total;Total dwellings;Value;Groot-Amsterdam (CR);2012;84.3;81.2
316;Total;Total dwellings;Value;Groot-Amsterdam (CR);2015;81.1;80.1
317;Total;Total dwellings;Value;Groot-Amsterdam (CR);2018;78.7;81.6
318;Total;Total dwellings;Value;Groot-Amsterdam (CR);2021;79.7;80.5
319;Total;Total dwellings;Value;Groot-Amsterdam (CR);2024;75.7;80.1
320;Total;Total dwellings;Value;Het Gooi en Vechtstreek (CR);2002;89.4;84.7
321;Total;Total dwellings;Value;Het Gooi en Vechtstreek (CR);2006;89.1;84.8
322;Total;Total dwellings;Value;Het Gooi en Vechtstreek (CR);2009;90.8;84.5
323;Total;Total dwellings;Value;Het Gooi en Vechtstreek (CR);2012;89.1;86.3
324;Total;Total dwellings;Value;Het Gooi en Vechtstreek (CR);2015;88.8;87.5
325;Total;Total dwellings;Value;Het Gooi en Vechtstreek (CR);2018;87.8;85.5
326;Total;Total dwellings;Value;Het Gooi en Vechtstreek (CR);2021;87.9;82.9
327;Total;Total dwellings;Value;Het Gooi en Vechtstreek (CR);2024;81.9;85.7
328;Total;Total dwellings;Value;Agglomeratie Leiden en Bollenstreek (CR);2002;91.0;86.0
329;Total;Total dwellings;Value;Agglomeratie Leiden en Bollenstreek (CR);2006;88.2;85.6
330;Total;Total dwellings;Value;Agglomeratie Leiden en Bollenstreek (CR);2009;92.6;85.3
331;Total;Total dwellings;Value;Agglomeratie Leiden en Bollenstreek (CR);2012;89.8;84.6
332;Total;Total dwellings;Value;Agglomeratie Leiden en Bollenstreek (CR);2015;88.0;83.9
333;Total;Total dwellings;Value;Agglomeratie Leiden en Bollenstreek (CR);2018;84.1;84.1
334;Total;Total dwellings;Value;Agglomeratie Leiden en Bollenstreek (CR);2021;85.1;84.6
335;Total;Total dwellings;Value;Agglomeratie Leiden en Bollenstreek (CR);2024;85.5;85.5
336;Total;Total dwellings;Value;Agglomeratie 's-Gravenhage (CR);2002;86.6;76.6
337;Total;Total dwellings;Value;Agglomeratie 's-Gravenhage (CR);2006;86.3;79.0
338;Total;Total dwellings;Value;Agglomeratie 's-Gravenhage (CR);2009;85.8;77.4
339;Total;Total dwellings;Value;Agglomeratie 's-Gravenhage (CR);2012;84.7;78.7
340;Total;Total dwellings;Value;Agglomeratie 's-Gravenhage (CR);2015;81.8;77.8
341;Total;Total dwellings;Value;Agglomeratie 's-Gravenhage (CR);2018;77.7;79.5
342;Total;Total dwellings;Value;Agglomeratie 's-Gravenhage (CR);2021;78.5;78.4
343;Total;Total dwellings;Value;Agglomeratie 's-Gravenhage (CR);2024;74.4;75.0
344;Total;Total dwellings;Value;Delft en Westland (CR);2002;91.3;85.8
345;Total;Total dwellings;Value;Delft en Westland (CR);2006;90.2;84.5
346;Total;Total dwellings;Value;Delft en Westland (CR);2009;90.5;83.3
347;Total;Total dwellings;Value;Delft en Westland (CR);2012;89.4;82.7
348;Total;Total dwellings;Value;Delft en Westland (CR);2015;86.3;80.3
349;Total;Total dwellings;Value;Delft en Westland (CR);2018;83.7;82.2
350;Total;Total dwellings;Value;Delft en Westland (CR);2021;80.9;83.5
351;Total;Total dwellings;Value;Delft en Westland (CR);2024;84.8;81.2
352;Total;Total dwellings;Value;Oost-Zuid-Holland (CR);2002;90.6;84.4
353;Total;Total dwellings;Value;Oost-Zuid-Holland (CR);2006;93.3;84.4
354;Total;Total dwellings;Value;Oost-Zuid-Holland (CR);2009;92.2;82.1
355;Total;Total dwellings;Value;Oost-Zuid-Holland (CR);2012;90.9;85.0
356;Total;Total dwellings;Value;Oost-Zuid-Holland (CR);2015;88.9;81.3
357;Total;Total dwellings;Value;Oost-Zuid-Holland (CR);2018;87.0;84.1
358;Total;Total dwellings;Value;Oost-Zuid-Holland (CR);2021;88.7;86.0
359;Total;Total dwellings;Value;Oost-Zuid-Holland (CR);2024;85.1;84.0
360;Total;Total dwellings;Value;Groot-Rijnmond (CR);2002;85.1;77.0
