ID;RegioS;Code_1;Naam_2;SorteringNaam_3;Code_4;Naam_5;Code_6;Naam_7;Code_8;Naam_9;Code_10;Naam_11;Code_12;Naam_13;Code_14;Naam_15;Code_16;Naam_17;Code_18;Naam_19;Code_20;Naam_21;Code_22;Naam_23;Code_24;Naam_25;Code_26;Naam_27;Code_28;Naam_29;Code_30;Naam_31;Code_32;Naam_33;Code_34;Naam_35;Code_36;Naam_37;Code_38;Naam_39;Code_40;Naam_41;Code_42;Naam_43;Code_44;Naam_45;Code_46;Naam_47;Code_48;Naam_49;Code_50;Naam_51;Code_52;Omschrijving_53;Code_54;Omschrijving_55;Inwonertal_56;Omgevingsadressendichtheid_57
10;Alphen aan den Rijn;GM0484    ;Alphen aan den Rijn                               ;Alphen aan den Rijn                               ;AM19      ;Holland Rijnland                                  ;AR07      ;Den Haag                                          ;CR28      ;Oost-Zuid-Holland                                 ;CS280     ;Oost-Zuid-Holland                                 ;CP2800    ;Oost-Zuid-Holland                                 ;GG4506    ;GGD Hollands-Midden                               ;JZ18      ;Holland Rijnland                                  ;KK45      ;Zuidwest                                          ;LB2805    ;Boskoop en Rijneveld                              ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;NL3       ;West-Nederland                                    ;NL33      ;Zuid-Holland                                      ;NL338     ;Oost-Zuid-Holland                                 ;RE06      ;Den Haag                                          ;PV28      ;Zuid-Holland                                      ;RT13      ;Gerechtshof Den Haag                              ;RP21      ;Rijn-Gouwe                                        ;TR17      ;Overig Nederland                                  ;VR16      ;Hollands-Midden                                   ;WG27      ;Zuid-Holland-Oost                                 ;ZK28      ;Zuid-Holland Noord                                ;GA00      ;Niet van toepassing                               ;SG00      ;Niet van toepassing                               ;6;100 000 tot 150 000 inwoners                      ;2;Sterk stedelijk          ;107396;1740
11;Alphen-Chaam;GM1723    ;Alphen-Chaam                                      ;Alphen+Chaam                                      ;AM26      ;Midden-Brabant                                    ;AR11      ;Zeeland-West-Brabant                              ;CR34      ;Midden-Noord-Brabant                              ;CS340     ;Midden-Noord-Brabant                              ;CP3400    ;Midden-Noord-Brabant                              ;GG5206    ;GGD West-Brabant                                  ;JZ34      ;West Brabant Oost                                 ;KK44      ;Zuid                                              ;LB3007    ;De Kempen                                         ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;NL4       ;Zuid-Nederland                                    ;NL41      ;Noord-Brabant                                     ;NL412     ;Midden-Noord-Brabant                              ;RE08      ;Zeeland - West-Brabant                            ;PV30      ;Noord-Brabant                                     ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;RP26      ;Midden-Brabant                                    ;TR13      ;West- en Midden-Brabant                           ;VR20      ;Midden- en West-Brabant                           ;WG34      ;West-Brabant                                      ;ZK25      ;West-Brabant                                      ;GA00      ;Niet van toepassing                               ;SG00      ;Niet van toepassing                               ;2;5 000 tot 10 000 inwoners                         ;5;Niet stedelijk           ;9753;287
12;Ameland;GM0060    ;Ameland                                           ;Ameland                                           ;AM02      ;Friesland                                         ;AR05      ;Noord-Nederland                                   ;CR04      ;Noord-Friesland                                   ;CS040     ;Noord-Friesland                                   ;CP0400    ;Noord-Friesland                                   ;GG7206    ;GGD Fryslân                                       ;JZ02      ;Friesland (Fryslân)                               ;KK42      ;Noord                                             ;LB2104    ;Eilanden                                          ;LG03      ;Noordelijk Weidegebied                            ;LD01      ;Noord-Nederland                                   ;NL1       ;Noord-Nederland                                   ;NL12      ;Friesland (NL)                                    ;NL121     ;Noord-Friesland                                   ;RE01      ;Noord-Nederland                                   ;PV21      ;Friesland                                         ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;RP04      ;Fryslân                                           ;TR01      ;Waddeneilanden                                    ;VR02      ;Fryslân                                           ;WG04      ;Friesland-Noord                                   ;ZK08      ;Friesland                                         ;GA00      ;Niet van toepassing                               ;SG00      ;Niet van toepassing                               ;1;minder dan 5 000 inwoners                         ;5;Niet stedelijk           ;3590;247
13;Amersfoort;GM0307    ;Amersfoort                                        ;Amersfoort                                        ;AM14      ;Amersfoort                                        ;AR04      ;Midden-Nederland                                  ;CR17      ;Utrecht                                           ;CS170     ;Utrecht                                           ;CP1702    ;Stadsgewest Amersfoort                            ;GG2514    ;GGD Regio Utrecht                                 ;JZ20      ;Eemland                                           ;KK41      ;Noordwest                                         ;LB2604    ;Eemland                                           ;LG09      ;Hollands/Utrechts Weidegebied                     ;LD03      ;West-Nederland                                    ;NL3       ;West-Nederland                                    ;NL31      ;Utrecht                                           ;NL310     ;Utrecht                                           ;RE03      ;Midden-Nederland                                  ;PV26      ;Utrecht                                           ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;RP17      ;Eemland                                           ;TR07      ;Utrechtse Heuvelrug en 't Gooi                    ;VR09      ;Utrecht                                           ;WG16      ;Eem en Vallei                                     ;ZK23      ;Utrecht                                           ;GA08      ;Amersfoort                                        ;SG08      ;Amersfoort                                        ;7;150 000 tot 250 000 inwoners                      ;2;Sterk stedelijk          ;152481;2231
14;Amstelveen;GM0362    ;Amstelveen                                        ;Amstelveen                                        ;AM18      ;Groot Amsterdam                                   ;AR01      ;Amsterdam                                         ;CR23      ;Groot-Amsterdam                                   ;CS232     ;Overig Groot-Amsterdam                            ;CP2321    ;Overig Agglomeratie Amsterdam                     ;GG3406    ;GGD Amsterdam                                     ;JZ13      ;Amsterdam-Amstelland                              ;KK41      ;Noordwest                                         ;LB2703    ;Amstelland en Aalsmeer                            ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;NL3       ;West-Nederland                                    ;NL32      ;Noord-Holland                                     ;NL326     ;Groot-Amsterdam                                   ;RE05      ;Amsterdam                                         ;PV27      ;Noord-Holland                                     ;RT11      ;Gerechtshof Amsterdam                             ;RP20      ;Zuidelijk Noord-Holland                           ;TR17      ;Overig Nederland                                  ;VR13      ;Amsterdam-Amstelland                              ;WG21      ;Agglomeratie Amsterdam                            ;ZK01      ;Amstelland en De Meerlanden                       ;GA10      ;Amsterdam                                         ;SG10      ;Amsterdam                                         ;5;50 000 tot 100 000 inwoners                       ;1;Zeer sterk stedelijk     ;87162;2538
15;Amsterdam;GM0363    ;Amsterdam                                         ;Amsterdam                                         ;AM18      ;Groot Amsterdam                                   ;AR01      ;Amsterdam                                         ;CR23      ;Groot-Amsterdam                                   ;CS231     ;Amsterdam                                         ;CP2311    ;Amsterdam                                         ;GG3406    ;GGD Amsterdam                                     ;JZ13      ;Amsterdam-Amstelland                              ;KK41      ;Noordwest                                         ;LB2706    ;Waterland en N.-Hollandse Droogmakerijen          ;LG08      ;Waterland en Droogmakerijen                       ;LD03      ;West-Nederland                                    ;NL3       ;West-Nederland                                    ;NL32      ;Noord-Holland                                     ;NL326     ;Groot-Amsterdam                                   ;RE05      ;Amsterdam                                         ;PV27      ;Noord-Holland                                     ;RT11      ;Gerechtshof Amsterdam                             ;RP20      ;Zuidelijk Noord-Holland                           ;TR16      ;4 grote steden excl. Noordzeebadplaatsen          ;VR13      ;Amsterdam-Amstelland                              ;WG21      ;Agglomeratie Amsterdam                            ;ZK02      ;Amsterdam                                         ;GA10      ;Amsterdam                                         ;SG10      ;Amsterdam                                         ;8;250 000 inwoners of meer                          ;1;Zeer sterk stedelijk     ;821752;5968
16;Apeldoorn;GM0200    ;Apeldoorn                                         ;Apeldoorn                                         ;AM06      ;Stedendriehoek en Noordwest Veluwe                ;AR03      ;Gelderland                                        ;CR13      ;Veluwe                                            ;CS130     ;Veluwe                                            ;CP1300    ;Veluwe                                            ;GG1413    ;GGD Noord- en Oost-Gelderland                     ;JZ17      ;Midden IJssel / Oost Veluwe                       ;KK43      ;Oost                                              ;LB2501    ;Oostelijke Veluwe                                 ;LG05      ;Centraal Veehouderijgebied                        ;LD02      ;Oost-Nederland                                    ;NL2       ;Oost-Nederland                                    ;NL22      ;Gelderland                                        ;NL221     ;Veluwe                                            ;RE02      ;Oost-Nederland                                    ;PV25      ;Gelderland                                        ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;RP09      ;Stedendriehoek                                    ;TR08      ;Veluwe en Veluwerand                              ;VR06      ;Noord- en Oost-Gelderland                         ;WG11      ;Stedendriehoek                                    ;ZK03      ;Apeldoorn/Zutphen                                 ;GA05      ;Apeldoorn                                         ;SG05      ;Apeldoorn                                         ;7;150 000 tot 250 000 inwoners                      ;2;Sterk stedelijk          ;158099;1689
17;Appingedam;GM0003    ;Appingedam                                        ;Appingedam                                        ;AM01      ;Groningen                                         ;AR05      ;Noord-Nederland                                   ;CR02      ;Delfzijl en omgeving                              ;CS020     ;Delfzijl en omgeving                              ;CP0200    ;Delfzijl en omgeving                              ;GG0111    ;GGD Groningen                                     ;JZ01      ;Groningen                                         ;KK42      ;Noord                                             ;LB2003    ;Oostelijke Bouwstreek in Groningen                ;LG02      ;Veenkoloniën en Oldambt                           ;LD01      ;Noord-Nederland                                   ;NL1       ;Noord-Nederland                                   ;NL11      ;Groningen                                         ;NL112     ;Delfzijl en omgeving                              ;RE01      ;Noord-Nederland                                   ;PV20      ;Groningen                                         ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;RP01      ;Noord-Groningen                                   ;TR17      ;Overig Nederland                                  ;VR01      ;Groningen                                         ;WG02      ;Noord-Groningen en Eemsmond                       ;ZK09      ;Groningen                                         ;GA00      ;Niet van toepassing                               ;SG00      ;Niet van toepassing                               ;3;10 000 tot 20 000 inwoners                        ;3;Matig stedelijk          ;12011;1020
18;Arnhem;GM0202    ;Arnhem                                            ;Arnhem                                            ;AM07      ;Midden-Gelderland                                 ;AR03      ;Gelderland                                        ;CR15      ;Arnhem/Nijmegen                                   ;CS150     ;Arnhem/Nijmegen                                   ;CP1500    ;Arnhem/Nijmegen                                   ;GG1911    ;Veiligheids- en Gezondheidsregio Gelderland-Midden;JZ28      ;Arnhem                                            ;KK43      ;Oost                                              ;LB2505    ;Veluwezoom en Betuwe                              ;LG10      ;Rivierengebied                                    ;LD02      ;Oost-Nederland                                    ;NL2       ;Oost-Nederland                                    ;NL22      ;Gelderland                                        ;NL226     ;Arnhem/Nijmegen                                   ;RE02      ;Oost-Nederland                                    ;PV25      ;Gelderland                                        ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;RP11      ;IJssel en Rijn                                    ;TR08      ;Veluwe en Veluwerand                              ;VR07      ;Gelderland-Midden                                 ;WG14      ;Arnhem/Nijmegen                                   ;ZK04      ;Arnhem                                            ;GA06      ;Arnhem                                            ;SG06      ;Arnhem                                            ;7;150 000 tot 250 000 inwoners                      ;2;Sterk stedelijk          ;152293;2079
19;Assen;GM0106    ;Assen                                             ;Assen                                             ;AM01      ;Groningen                                         ;AR05      ;Noord-Nederland                                   ;CR07      ;Noord-Drenthe                                     ;CS070     ;Noord-Drenthe                                     ;CP0700    ;Noord-Drenthe                                     ;GG0706    ;GGD Drenthe                                       ;JZ04      ;Drenthe                                           ;KK42      ;Noord                                             ;LB2202    ;Smilde en Centraal Zandgebied in Drenthe          ;LG02      ;Veenkoloniën en Oldambt                           ;LD01      ;Noord-Nederland                                   ;NL1       ;Noord-Nederland                                   ;NL13      ;Drenthe                                           ;NL131     ;Noord-Drenthe                                     ;RE01      ;Noord-Nederland                                   ;PV22      ;Drenthe                                           ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;RP03      ;Centraal-Groningen                                ;TR12      ;Groningse, Friese en Drentse Zandgronden          ;VR03      ;Drenthe                                           ;WG07      ;Noord- en Midden-Drenthe                          ;ZK06      ;Drenthe                                           ;GA00      ;Niet van toepassing                               ;SG00      ;Niet van toepassing                               ;5;50 000 tot 100 000 inwoners                       ;2;Sterk stedelijk          ;67165;1530
20;Asten;GM0743    ;Asten                                             ;Asten                                             ;AM32      ;Helmond-De Peel                                   ;AR10      ;Oost-Brabant                                      ;CR36      ;Zuidoost-Noord-Brabant                            ;CS360     ;Zuidoost-Noord-Brabant                            ;CP3600    ;Zuidoost-Noord-Brabant                            ;GG5608    ;GGD Brabant-Zuidoost                              ;JZ39      ;Zuidoost-Brabant                                  ;KK44      ;Zuid                                              ;LB3010    ;Westelijk Peelgebied                              ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;NL4       ;Zuid-Nederland                                    ;NL41      ;Noord-Brabant                                     ;NL414     ;Zuidoost-Noord-Brabant                            ;RE09      ;Oost-Brabant                                      ;PV30      ;Noord-Brabant                                     ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;RP28      ;Zuidoost-Brabant                                  ;TR14      ;O.-Brabant, N.- en M.-Limburg, Nijmegen           ;VR22      ;Brabant-Zuidoost                                  ;WG37      ;Zuidoost-Brabant                                  ;ZK30      ;Zuidoost-Brabant                                  ;GA00      ;Niet van toepassing                               ;SG00      ;Niet van toepassing                               ;3;10 000 tot 20 000 inwoners                        ;4;Weinig stedelijk         ;16559;916
21;Baarle-Nassau;GM0744    ;Baarle-Nassau                                     ;Baarle+Nassau                                     ;AM26      ;Midden-Brabant                                    ;AR11      ;Zeeland-West-Brabant                              ;CR34      ;Midden-Noord-Brabant                              ;CS340     ;Midden-Noord-Brabant                              ;CP3400    ;Midden-Noord-Brabant                              ;GG5206    ;GGD West-Brabant                                  ;JZ34      ;West Brabant Oost                                 ;KK44      ;Zuid                                              ;LB3007    ;De Kempen                                         ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;NL4       ;Zuid-Nederland                                    ;NL41      ;Noord-Brabant                                     ;NL412     ;Midden-Noord-Brabant                              ;RE08      ;Zeeland - West-Brabant                            ;PV30      ;Noord-Brabant                                     ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;RP26      ;Midden-Brabant                                    ;TR13      ;West- en Midden-Brabant                           ;VR20      ;Midden- en West-Brabant                           ;WG34      ;West-Brabant                                      ;ZK25      ;West-Brabant                                      ;GA00      ;Niet van toepassing                               ;SG00      ;Niet van toepassing                               ;2;5 000 tot 10 000 inwoners                         ;5;Niet stedelijk           ;6599;318
22;Baarn;GM0308    ;Baarn                                             ;Baarn                                             ;AM14      ;Amersfoort                                        ;AR04      ;Midden-Nederland                                  ;CR17      ;Utrecht                                           ;CS170     ;Utrecht                                           ;CP1702    ;Stadsgewest Amersfoort                            ;GG2514    ;GGD Regio Utrecht                                 ;JZ20      ;Eemland                                           ;KK41      ;Noordwest                                         ;LB2604    ;Eemland                                           ;LG09      ;Hollands/Utrechts Weidegebied                     ;LD03      ;West-Nederland                                    ;NL3       ;West-Nederland                                    ;NL31      ;Utrecht                                           ;NL310     ;Utrecht                                           ;RE03      ;Midden-Nederland                                  ;PV26      ;Utrecht                                           ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;RP17      ;Eemland                                           ;TR07      ;Utrechtse Heuvelrug en 't Gooi                    ;VR09      ;Utrecht                                           ;WG16      ;Eem en Vallei                                     ;ZK23      ;Utrecht                                           ;GA00      ;Niet van toepassing                               ;SG00      ;Niet van toepassing                               ;4;20 000 tot 50 000 inwoners                        ;2;Sterk stedelijk          ;24406;1600
23;Barendrecht;GM0489    ;Barendrecht                                       ;Barendrecht                                       ;AM22      ;Rijnmond                                          ;AR08      ;Rotterdam                                         ;CR29      ;Groot-Rijnmond                                    ;CS291     ;Rijnmond                                          ;CP2910    ;Rijnmond                                          ;GG4607    ;GGD Rotterdam-Rijnmond                            ;JZ29      ;Rijnmond                                          ;KK45      ;Zuidwest                                          ;LB2802    ;Rotterdam en omgeving                             ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;NL3       ;West-Nederland                                    ;NL33      ;Zuid-Holland                                      ;NL339     ;Groot-Rijnmond                                    ;RE07      ;Rotterdam                                         ;PV28      ;Zuid-Holland                                      ;RT13      ;Gerechtshof Den Haag                              ;RP23      ;Rijnmond                                          ;TR04      ;Deltagebied                                       ;VR17      ;Rotterdam-Rijnmond                                ;WG29      ;Rijnmond                                          ;ZK29      ;Zuid-Hollandse Eilanden                           ;GA14      ;Rotterdam                                         ;SG14      ;Rotterdam                                         ;4;20 000 tot 50 000 inwoners                        ;2;Sterk stedelijk          ;47521;1643
