ID;Leeftijd;Perioden;Kinderen_1;k_1eKinderen_2;k_2eKinderen_3;k_3eKinderen_4;k_4OfVolgendeKinderen_5
111;16 jaar;2011;0.00084;0.00084;0.0;0.0;0.0
112;16 jaar;2012;0.00082;0.00082;0.0;0.0;0.0
113;16 jaar;2013;0.0008;0.0008;0.0;0.0;0.0
114;16 jaar;2014;0.00078;0.00078;0.0;0.0;0.0
115;16 jaar;2015;0.00077;0.00077;0.0;0.0;0.0
116;16 jaar;2016;0.00075;0.00075;0.0;0.0;0.0
117;16 jaar;2017;0.00074;0.00074;0.0;0.0;0.0
118;16 jaar;2018;0.00072;0.00072;0.0;0.0;0.0
119;16 jaar;2019;0.00071;0.00071;0.0;0.0;0.0
120;16 jaar;2020;0.00069;0.00069;0.0;0.0;0.0
121;16 jaar;2021;0.00068;0.00068;0.0;0.0;0.0
122;16 jaar;2022;0.00066;0.00066;0.0;0.0;0.0
123;16 jaar;2023;0.00064;0.00064;0.0;0.0;0.0
124;16 jaar;2024;0.00063;0.00063;0.0;0.0;0.0
125;16 jaar;2025;0.00061;0.00061;0.0;0.0;0.0
126;16 jaar;2026;0.0006;0.0006;0.0;0.0;0.0
127;16 jaar;2027;0.00058;0.00058;0.0;0.0;0.0
128;16 jaar;2028;0.00057;0.00057;0.0;0.0;0.0
129;16 jaar;2029;0.00055;0.00055;0.0;0.0;0.0
130;16 jaar;2030;0.00053;0.00053;0.0;0.0;0.0
131;16 jaar;2031;0.00052;0.00052;0.0;0.0;0.0
132;16 jaar;2032;0.0005;0.0005;0.0;0.0;0.0
133;16 jaar;2033;0.00048;0.00048;0.0;0.0;0.0
134;16 jaar;2034;0.00047;0.00047;0.0;0.0;0.0
135;16 jaar;2035;0.00045;0.00045;0.0;0.0;0.0
136;16 jaar;2036;0.00043;0.00043;0.0;0.0;0.0
137;16 jaar;2037;0.00043;0.00043;0.0;0.0;0.0
138;16 jaar;2038;0.00043;0.00043;0.0;0.0;0.0
139;16 jaar;2039;0.00043;0.00043;0.0;0.0;0.0
140;16 jaar;2040;0.00043;0.00043;0.0;0.0;0.0
141;16 jaar;2041;0.00043;0.00043;0.0;0.0;0.0
142;16 jaar;2042;0.00043;0.00043;0.0;0.0;0.0
143;16 jaar;2043;0.00043;0.00043;0.0;0.0;0.0
144;16 jaar;2044;0.00043;0.00043;0.0;0.0;0.0
145;16 jaar;2045;0.00043;0.00043;0.0;0.0;0.0
146;16 jaar;2046;0.00043;0.00043;0.0;0.0;0.0
147;16 jaar;2047;0.00043;0.00043;0.0;0.0;0.0
148;16 jaar;2048;0.00043;0.00043;0.0;0.0;0.0
149;16 jaar;2049;0.00043;0.00043;0.0;0.0;0.0
150;17 jaar;2000;0.00292;0.00284;6e-05;0.0;2e-05
151;17 jaar;2001;0.00276;0.00268;6e-05;0.0;2e-05
152;17 jaar;2002;0.00266;0.00258;6e-05;0.0;2e-05
153;17 jaar;2003;0.00258;0.00251;5e-05;0.0;2e-05
154;17 jaar;2004;0.00252;0.00245;5e-05;0.0;2e-05
155;17 jaar;2005;0.00247;0.0024;5e-05;0.0;2e-05
156;17 jaar;2006;0.00242;0.00235;5e-05;0.0;2e-05
157;17 jaar;2007;0.00239;0.00232;5e-05;0.0;2e-05
158;17 jaar;2008;0.00235;0.00228;5e-05;0.0;2e-05
159;17 jaar;2009;0.00232;0.00226;4e-05;0.0;2e-05
160;17 jaar;2010;0.00228;0.00223;4e-05;0.0;1e-05
161;17 jaar;2011;0.00226;0.00221;4e-05;0.0;1e-05
162;17 jaar;2012;0.00224;0.00219;4e-05;0.0;1e-05
163;17 jaar;2013;0.00223;0.00218;4e-05;0.0;1e-05
164;17 jaar;2014;0.00221;0.00216;4e-05;0.0;1e-05
165;17 jaar;2015;0.00219;0.00215;3e-05;0.0;1e-05
166;17 jaar;2016;0.00218;0.00214;3e-05;0.0;1e-05
167;17 jaar;2017;0.00217;0.00213;3e-05;0.0;1e-05
168;17 jaar;2018;0.00216;0.00212;3e-05;0.0;1e-05
169;17 jaar;2019;0.00215;0.00211;3e-05;0.0;1e-05
170;17 jaar;2020;0.00214;0.0021;3e-05;0.0;1e-05
171;17 jaar;2021;0.00213;0.00209;3e-05;0.0;1e-05
172;17 jaar;2022;0.00211;0.00208;2e-05;0.0;1e-05
173;17 jaar;2023;0.0021;0.00207;2e-05;0.0;1e-05
174;17 jaar;2024;0.00209;0.00206;2e-05;0.0;1e-05
175;17 jaar;2025;0.00208;0.00205;2e-05;0.0;1e-05
176;17 jaar;2026;0.00207;0.00204;2e-05;0.0;1e-05
177;17 jaar;2027;0.00206;0.00203;2e-05;0.0;1e-05
178;17 jaar;2028;0.00204;0.00203;1e-05;0.0;0.0
179;17 jaar;2029;0.00203;0.00202;1e-05;0.0;0.0
180;17 jaar;2030;0.00202;0.00201;1e-05;0.0;0.0
181;17 jaar;2031;0.00201;0.002;1e-05;0.0;0.0
182;17 jaar;2032;0.002;0.00199;1e-05;0.0;0.0
183;17 jaar;2033;0.00199;0.00198;1e-05;0.0;0.0
184;17 jaar;2034;0.00197;0.00197;0.0;0.0;0.0
185;17 jaar;2035;0.00197;0.00197;0.0;0.0;0.0
186;17 jaar;2036;0.00196;0.00196;0.0;0.0;0.0
187;17 jaar;2037;0.00195;0.00195;0.0;0.0;0.0
188;17 jaar;2038;0.00195;0.00195;0.0;0.0;0.0
189;17 jaar;2039;0.00195;0.00195;0.0;0.0;0.0
190;17 jaar;2040;0.00195;0.00195;0.0;0.0;0.0
191;17 jaar;2041;0.00195;0.00195;0.0;0.0;0.0
192;17 jaar;2042;0.00195;0.00195;0.0;0.0;0.0
193;17 jaar;2043;0.00195;0.00195;0.0;0.0;0.0
194;17 jaar;2044;0.00195;0.00195;0.0;0.0;0.0
195;17 jaar;2045;0.00195;0.00195;0.0;0.0;0.0
196;17 jaar;2046;0.00195;0.00195;0.0;0.0;0.0
197;17 jaar;2047;0.00195;0.00195;0.0;0.0;0.0
198;17 jaar;2048;0.00195;0.00195;0.0;0.0;0.0
199;17 jaar;2049;0.00195;0.00195;0.0;0.0;0.0
200;18 jaar;2000;0.00705;0.0066;0.00045;0.0;0.0
201;18 jaar;2001;0.00661;0.00622;0.00039;0.0;0.0
202;18 jaar;2002;0.00628;0.00589;0.00039;0.0;0.0
203;18 jaar;2003;0.00608;0.00569;0.00039;0.0;0.0
204;18 jaar;2004;0.00594;0.00555;0.00039;0.0;0.0
205;18 jaar;2005;0.00583;0.00543;0.00039;1e-05;0.0
206;18 jaar;2006;0.00573;0.00533;0.00039;1e-05;0.0
207;18 jaar;2007;0.00565;0.00525;0.00039;1e-05;0.0
208;18 jaar;2008;0.00557;0.00518;0.00038;1e-05;0.0
209;18 jaar;2009;0.00551;0.00512;0.00038;1e-05;0.0
210;18 jaar;2010;0.00546;0.00507;0.00038;1e-05;0.0
211;18 jaar;2011;0.00543;0.00504;0.00038;1e-05;0.0
212;18 jaar;2012;0.00539;0.005;0.00038;1e-05;0.0
213;18 jaar;2013;0.00537;0.00498;0.00038;1e-05;0.0
214;18 jaar;2014;0.00536;0.00496;0.00038;2e-05;0.0
215;18 jaar;2015;0.00534;0.00494;0.00038;2e-05;0.0
216;18 jaar;2016;0.00532;0.00492;0.00038;2e-05;0.0
217;18 jaar;2017;0.0053;0.00491;0.00037;2e-05;0.0
218;18 jaar;2018;0.00529;0.0049;0.00037;2e-05;0.0
219;18 jaar;2019;0.00528;0.00489;0.00037;2e-05;0.0
220;18 jaar;2020;0.00527;0.00488;0.00037;2e-05;0.0
221;18 jaar;2021;0.00528;0.00488;0.00037;2e-05;1e-05
222;18 jaar;2022;0.00527;0.00487;0.00037;2e-05;1e-05
223;18 jaar;2023;0.00527;0.00487;0.00037;2e-05;1e-05
224;18 jaar;2024;0.00526;0.00486;0.00037;2e-05;1e-05
225;18 jaar;2025;0.00525;0.00486;0.00036;2e-05;1e-05
226;18 jaar;2026;0.00525;0.00486;0.00036;2e-05;1e-05
227;18 jaar;2027;0.00524;0.00485;0.00036;2e-05;1e-05
228;18 jaar;2028;0.00524;0.00485;0.00036;2e-05;1e-05
229;18 jaar;2029;0.00524;0.00485;0.00036;2e-05;1e-05
230;18 jaar;2030;0.00524;0.00485;0.00036;2e-05;1e-05
231;18 jaar;2031;0.00523;0.00484;0.00036;2e-05;1e-05
232;18 jaar;2032;0.00523;0.00484;0.00036;2e-05;1e-05
233;18 jaar;2033;0.00522;0.00484;0.00035;2e-05;1e-05
234;18 jaar;2034;0.00522;0.00484;0.00035;2e-05;1e-05
235;18 jaar;2035;0.00522;0.00484;0.00035;2e-05;1e-05
236;18 jaar;2036;0.00522;0.00484;0.00035;2e-05;1e-05
237;18 jaar;2037;0.00522;0.00484;0.00035;2e-05;1e-05
238;18 jaar;2038;0.00522;0.00483;0.00035;3e-05;1e-05
239;18 jaar;2039;0.00522;0.00483;0.00035;3e-05;1e-05
240;18 jaar;2040;0.00522;0.00483;0.00035;3e-05;1e-05
241;18 jaar;2041;0.00522;0.00483;0.00035;3e-05;1e-05
242;18 jaar;2042;0.00522;0.00483;0.00035;3e-05;1e-05
243;18 jaar;2043;0.00522;0.00483;0.00035;3e-05;1e-05
244;18 jaar;2044;0.00522;0.00483;0.00035;3e-05;1e-05
245;18 jaar;2045;0.00522;0.00483;0.00035;3e-05;1e-05
246;18 jaar;2046;0.00522;0.00483;0.00035;3e-05;1e-05
247;18 jaar;2047;0.00522;0.00483;0.00035;3e-05;1e-05
248;18 jaar;2048;0.00522;0.00483;0.00035;3e-05;1e-05
249;18 jaar;2049;0.00522;0.00483;0.00035;3e-05;1e-05
250;19 jaar;2000;0.01179;0.01074;0.00103;2e-05;0.0
251;19 jaar;2001;0.01231;0.01112;0.00118;1e-05;0.0
252;19 jaar;2002;0.01158;0.01051;0.00105;2e-05;0.0
253;19 jaar;2003;0.01104;0.00997;0.00104;3e-05;0.0
254;19 jaar;2004;0.01076;0.00968;0.00104;4e-05;0.0
255;19 jaar;2005;0.01055;0.00946;0.00105;4e-05;0.0
256;19 jaar;2006;0.01039;0.00929;0.00105;5e-05;0.0
257;19 jaar;2007;0.01027;0.00915;0.00106;6e-05;0.0
258;19 jaar;2008;0.01016;0.00904;0.00106;6e-05;0.0
259;19 jaar;2009;0.01008;0.00896;0.00106;6e-05;0.0
260;19 jaar;2010;0.01003;0.00889;0.00107;7e-05;0.0
261;19 jaar;2011;0.00998;0.00884;0.00107;7e-05;0.0
262;19 jaar;2012;0.00994;0.0088;0.00107;7e-05;0.0
263;19 jaar;2013;0.00994;0.00878;0.00108;8e-05;0.0
264;19 jaar;2014;0.00992;0.00876;0.00108;8e-05;0.0
265;19 jaar;2015;0.00992;0.00876;0.00108;8e-05;0.0
266;19 jaar;2016;0.00993;0.00876;0.00109;8e-05;0.0
267;19 jaar;2017;0.00994;0.00876;0.00109;9e-05;0.0
268;19 jaar;2018;0.00995;0.00877;0.00109;9e-05;0.0
269;19 jaar;2019;0.00997;0.00878;0.0011;9e-05;0.0
270;19 jaar;2020;0.00999;0.0088;0.0011;9e-05;0.0
271;19 jaar;2021;0.01001;0.00882;0.0011;9e-05;0.0
272;19 jaar;2022;0.01004;0.00884;0.00111;9e-05;0.0
273;19 jaar;2023;0.01007;0.00887;0.00111;9e-05;0.0
274;19 jaar;2024;0.01009;0.00889;0.00111;9e-05;0.0
275;19 jaar;2025;0.01013;0.00892;0.00112;9e-05;0.0
276;19 jaar;2026;0.01017;0.00895;0.00112;0.0001;0.0
277;19 jaar;2027;0.01019;0.00897;0.00112;0.0001;0.0
278;19 jaar;2028;0.01022;0.009;0.00112;0.0001;0.0
279;19 jaar;2029;0.01026;0.00903;0.00113;0.0001;0.0
280;19 jaar;2030;0.0103;0.00907;0.00113;0.0001;0.0
281;19 jaar;2031;0.01033;0.0091;0.00113;0.0001;0.0
282;19 jaar;2032;0.01037;0.00913;0.00114;0.0001;0.0
283;19 jaar;2033;0.01041;0.00917;0.00114;0.0001;0.0
284;19 jaar;2034;0.01044;0.0092;0.00114;0.0001;0.0
285;19 jaar;2035;0.01047;0.00923;0.00114;0.0001;0.0
286;19 jaar;2036;0.01052;0.00927;0.00115;0.0001;0.0
287;19 jaar;2037;0.01055;0.0093;0.00115;0.0001;0.0
288;19 jaar;2038;0.01059;0.00934;0.00115;0.0001;0.0
289;19 jaar;2039;0.01064;0.00938;0.00116;0.0001;0.0
290;19 jaar;2040;0.01064;0.00938;0.00116;0.0001;0.0
291;19 jaar;2041;0.01064;0.00938;0.00116;0.0001;0.0
292;19 jaar;2042;0.01064;0.00938;0.00116;0.0001;0.0
293;19 jaar;2043;0.01064;0.00938;0.00116;0.0001;0.0
294;19 jaar;2044;0.01064;0.00938;0.00116;0.0001;0.0
295;19 jaar;2045;0.01064;0.00938;0.00116;0.0001;0.0
296;19 jaar;2046;0.01064;0.00938;0.00116;0.0001;0.0
297;19 jaar;2047;0.01064;0.00938;0.00116;0.0001;0.0
298;19 jaar;2048;0.01064;0.00938;0.00116;0.0001;0.0
299;19 jaar;2049;0.01064;0.00938;0.00116;0.0001;0.0
300;20 jaar;2000;0.01824;0.0159;0.00214;0.00016;4e-05
301;20 jaar;2001;0.01827;0.01593;0.00214;0.00016;4e-05
302;20 jaar;2002;0.0183;0.01595;0.00214;0.00017;4e-05
303;20 jaar;2003;0.01834;0.01598;0.00215;0.00017;4e-05
304;20 jaar;2004;0.01837;0.01599;0.00216;0.00018;4e-05
305;20 jaar;2005;0.0184;0.01601;0.00217;0.00018;4e-05
306;20 jaar;2006;0.01842;0.01602;0.00218;0.00018;4e-05
307;20 jaar;2007;0.01845;0.01603;0.00219;0.00019;4e-05
308;20 jaar;2008;0.01847;0.01603;0.00221;0.00019;4e-05
309;20 jaar;2009;0.01849;0.01604;0.00222;0.00019;4e-05
310;20 jaar;2010;0.01851;0.01604;0.00223;0.0002;4e-05
311;20 jaar;2011;0.0185199999999999;0.01604;0.00224;0.0002;4e-05
312;20 jaar;2012;0.01853;0.01604;0.00225;0.0002;4e-05
313;20 jaar;2013;0.01855;0.01604;0.00226;0.00021;4e-05
314;20 jaar;2014;0.01857;0.01604;0.00228;0.00021;4e-05
315;20 jaar;2015;0.01857;0.01603;0.00229;0.00021;4e-05
316;20 jaar;2016;0.01858;0.01603;0.0023;0.00021;4e-05
317;20 jaar;2017;0.0186;0.01603;0.00232;0.00021;4e-05
318;20 jaar;2018;0.01861;0.01602;0.00233;0.00022;4e-05
319;20 jaar;2019;0.01862;0.01602;0.00234;0.00022;4e-05
320;20 jaar;2020;0.01863;0.01601;0.00236;0.00022;4e-05
321;20 jaar;2021;0.01863;0.016;0.00237;0.00022;4e-05
322;20 jaar;2022;0.01864;0.016;0.00238;0.00022;4e-05
323;20 jaar;2023;0.01866;0.01599;0.0024;0.00023;4e-05
324;20 jaar;2024;0.01865;0.01598;0.00241;0.00023;3e-05
325;20 jaar;2025;0.01866;0.01598;0.00242;0.00023;3e-05
326;20 jaar;2026;0.01867;0.01597;0.00244;0.00023;3e-05
327;20 jaar;2027;0.01867;0.01596;0.00245;0.00023;3e-05
328;20 jaar;2028;0.01868;0.01596;0.00246;0.00023;3e-05
329;20 jaar;2029;0.01869;0.01595;0.00248;0.00023;3e-05
330;20 jaar;2030;0.0187;0.01594;0.00249;0.00024;3e-05
331;20 jaar;2031;0.01871;0.01593;0.00251;0.00024;3e-05
332;20 jaar;2032;0.01871;0.01592;0.00252;0.00024;3e-05
333;20 jaar;2033;0.01872;0.01592;0.00253;0.00024;3e-05
334;20 jaar;2034;0.01873;0.01591;0.00255;0.00024;3e-05
335;20 jaar;2035;0.01873;0.0159;0.00256;0.00024;3e-05
336;20 jaar;2036;0.01874;0.01589;0.00258;0.00024;3e-05
337;20 jaar;2037;0.01874;0.01588;0.00259;0.00024;3e-05
338;20 jaar;2038;0.01875;0.01588;0.0026;0.00024;3e-05
339;20 jaar;2039;0.01877;0.01587;0.00262;0.00025;3e-05
340;20 jaar;2040;0.01877;0.01586;0.00263;0.00025;3e-05
341;20 jaar;2041;0.01877;0.01586;0.00263;0.00025;3e-05
342;20 jaar;2042;0.01877;0.01586;0.00263;0.00025;3e-05
343;20 jaar;2043;0.01877;0.01586;0.00263;0.00025;3e-05
344;20 jaar;2044;0.01877;0.01586;0.00263;0.00025;3e-05
345;20 jaar;2045;0.01877;0.01586;0.00263;0.00025;3e-05
346;20 jaar;2046;0.01877;0.01586;0.00263;0.00025;3e-05
347;20 jaar;2047;0.01877;0.01586;0.00263;0.00025;3e-05
348;20 jaar;2048;0.01877;0.01586;0.00263;0.00025;3e-05
349;20 jaar;2049;0.01877;0.01586;0.00263;0.00025;3e-05
350;21 jaar;2000;0.02617;0.02154;0.00425;0.00034;4e-05
351;21 jaar;2001;0.02614;0.02157;0.00418;0.00035;4e-05
352;21 jaar;2002;0.02618;0.02162;0.00416;0.00036;4e-05
353;21 jaar;2003;0.02625;0.02167;0.00417;0.00037;4e-05
354;21 jaar;2004;0.0263;0.02171;0.00417;0.00038;4e-05
355;21 jaar;2005;0.02636;0.02175;0.00418;0.00039;4e-05
356;21 jaar;2006;0.0264;0.02178;0.00418;0.0004;4e-05
357;21 jaar;2007;0.02644;0.02181;0.00419;0.0004;4e-05
358;21 jaar;2008;0.02648;0.02183;0.0042;0.00041;4e-05
359;21 jaar;2009;0.02653;0.02186;0.00421;0.00042;4e-05
360;21 jaar;2010;0.02657;0.02188;0.00422;0.00043;4e-05
361;21 jaar;2011;0.02659;0.02189;0.00423;0.00043;4e-05
362;21 jaar;2012;0.02663;0.02191;0.00424;0.00044;4e-05
363;21 jaar;2013;0.02666;0.02192;0.00425;0.00045;4e-05
364;21 jaar;2014;0.02669;0.02194;0.00426;0.00045;4e-05
365;21 jaar;2015;0.02672;0.02195;0.00427;0.00046;4e-05
366;21 jaar;2016;0.02675;0.02196;0.00428;0.00047;4e-05
367;21 jaar;2017;0.02677;0.02196;0.0043;0.00047;4e-05
368;21 jaar;2018;0.0268;0.02197;0.00431;0.00048;4e-05
369;21 jaar;2019;0.02682;0.02198;0.00432;0.00048;4e-05
370;21 jaar;2020;0.02685;0.02199;0.00433;0.00049;4e-05
371;21 jaar;2021;0.02687;0.02199;0.00435;0.00049;4e-05
372;21 jaar;2022;0.02689;0.022;0.00436;0.00049;4e-05
373;21 jaar;2023;0.02691;0.022;0.00437;0.0005;4e-05
374;21 jaar;2024;0.02693;0.02201;0.00438;0.0005;4e-05
375;21 jaar;2025;0.02696;0.02201;0.0044;0.00051;4e-05
376;21 jaar;2026;0.02698;0.02202;0.00441;0.00051;4e-05
377;21 jaar;2027;0.027;0.02202;0.00443;0.00051;4e-05
378;21 jaar;2028;0.02702;0.02202;0.00444;0.00052;4e-05
379;21 jaar;2029;0.02704;0.02203;0.00445;0.00052;4e-05
