ID;Perioden;Totaal_1;Binnenland_2;Buitenland_3;Totaal_4;Binnenland_5;Buitenland_6;Bezettingsgraad_7;Totaal_8;Binnenland_9;Buitenland_10;Totaal_11;Binnenland_12;Buitenland_13;ZakelijkeOvernachtingen_14;Bezettingsgraad_15;Totaal_16;Binnenland_17;Buitenland_18;Totaal_19;Binnenland_20;Buitenland_21;Bezettingsgraad_22;Totaal_23;Binnenland_24;Buitenland_25;Totaal_26;Binnenland_27;Buitenland_28;Bezettingsgraad_29;Totaal_30;Binnenland_31;Buitenland_32;Totaal_33;Binnenland_34;Buitenland_35;Bezettingsgraad_36;Totaal_37;Binnenland_38;Buitenland_39;Totaal_40;Binnenland_41;Buitenland_42;Bezettingsgraad_43
10;2012 november;2187;1311;876;4715;2914;1801;21.4;1602;859;743;2591;1330;1261;1300;37.3;585;451;134;2125;1585;540;14.1;19;10;9;74;40;34;1.1;494;373;121;1898;1400;499;27.5;71;68;3;152;145;7;11.3
11;2012 december;1900;1241;660;4352;3014;1338;20.5;1397;810;587;2342;1296;1046;990;33.0;503;431;72;2010;1718;292;14.3;12;8;4;45;34;11;0.8;439;374;65;1825;1553;272;25.5;52;48;3;140;131;9;10.4
12;2013 januari;1690;1036;654;3803;2445;1358;18.3;1274;698;576;2091;1097;994;1030;28.8;416;338;78;1712;1348;364;12.6;10;6;4;47;30;17;1.1;355;283;72;1547;1205;342;20.2;51;49;2;119;113;6;8.5
13;2013 februari;1791;1146;645;3988;2696;1292;21.0;1311;744;567;2151;1170;980;1000;32.1;480;402;78;1837;1526;312;14.9;9;6;4;36;22;14;0.9;424;351;73;1695;1401;294;24.4;46;45;1;106;103;3;8.4
14;2013 maart;2243;1311;932;5085;2994;2091;19.2;1666;881;784;2814;1400;1413;1280;37.8;577;429;148;2271;1593;678;11.9;36;21;15;131;74;57;1.4;466;338;128;1957;1355;602;24.5;76;71;4;183;165;18;12.1
15;2013 april;2914;1707;1206;7262;4320;2942;17.6;1878;958;920;3273;1566;1707;1460;45.0;1035;749;287;3988;2754;1234;11.7;225;166;59;914;682;232;3.8;676;453;223;2750;1764;987;32.4;135;130;5;324;309;15;20.0
16;2013 mei;3796;2463;1333;10879;7695;3184;25.2;2091;1078;1014;3685;1817;1869;1560;49.0;1705;1385;320;7193;5878;1315;20.2;692;566;126;3033;2585;448;12.1;822;637;185;3670;2832;838;41.8;190;181;9;490;461;29;28.3
17;2013 juni;3333;2157;1176;9517;6646;2870;22.9;2010;1088;922;3472;1808;1664;1490;48.0;1323;1068;254;6045;4839;1206;17.6;540;439;101;2777;2328;448;11.5;580;433;147;2773;2036;737;32.7;203;197;6;495;474;21;29.6
18;2013 juli;3737;2376;1361;13251;9372;3878;30.9;2056;1067;988;3845;1920;1925;1230;51.5;1681;1308;373;9406;7453;1953;26.5;872;709;162;4911;4187;724;19.7;703;509;194;4000;2880;1119;45.7;107;90;17;495;386;110;28.6
19;2013 augustus;4179;2638;1541;16381;11334;5046;38.2;2179;1139;1040;4166;2080;2085;1400;55.9;2000;1500;501;12215;9254;2961;34.5;1010;788;222;6469;5303;1166;25.9;861;598;264;5227;3557;1670;59.7;129;115;15;519;394;125;30.0
20;2013 september;3157;2005;1151;8796;5944;2853;21.3;1970;1058;912;3387;1746;1642;1570;46.9;1186;947;239;5409;4198;1211;15.9;350;281;69;1866;1548;317;7.8;652;486;166;3095;2214;880;36.6;184;180;4;449;435;14;27.1
21;2013 oktober;2921;1791;1131;7532;4770;2763;20.4;1936;1044;892;3309;1705;1604;1520;44.5;986;747;239;4223;3065;1159;14.3;166;121;46;768;560;207;4.0;698;511;187;3140;2214;926;36.3;122;115;6;316;291;25;19.2
22;2013 november;2278;1334;944;4989;2946;2043;22.8;1672;897;775;2720;1384;1337;1330;38.3;606;437;169;2269;1562;707;15.3;17;8;9;63;27;36;1.0;521;363;157;2047;1382;665;27.5;68;66;2;159;153;6;11.5
23;2013 december;2012;1304;708;4591;3142;1449;22.0;1478;852;627;2477;1347;1129;990;34.1;533;453;81;2114;1794;320;15.6;12;8;4;46;30;16;1.0;472;397;75;1934;1633;301;25.3;49;48;1;134;131;3;9.7
24;2014 januari;1826;1111;716;3960;2507;1453;19.2;1376;745;631;2214;1129;1085;1040;29.7;450;366;85;1746;1379;368;13.3;13;7;6;59;32;26;1.4;382;304;77;1560;1222;338;20.7;55;54;1;128;124;3;9.6
25;2014 februari;1895;1157;738;4067;2661;1406;21.6;1433;763;670;2313;1165;1148;1080;33.7;463;394;68;1755;1497;258;14.7;9;5;3;26;16;9;0.7;406;342;64;1610;1364;246;23.5;48;47;1;119;117;2;9.7
26;2014 maart;2410;1440;970;5190;3194;1996;21.1;1810;971;839;3005;1518;1488;1350;39.1;601;469;131;2185;1677;509;12.9;41;26;16;128;80;48;1.7;490;377;113;1902;1448;454;24.6;69;67;2;155;149;6;10.5
27;2014 april;3162;1714;1449;8091;4364;3727;20.1;2029;977;1052;3556;1582;1974;1490;47.3;1133;737;396;4535;2782;1753;13.9;309;210;99;1193;796;397;5.3;709;417;292;3034;1701;1333;35.5;116;110;6;308;285;22;19.0
28;2014 mei;3626;2343;1283;9676;6846;2831;23.0;2202;1124;1078;3831;1839;1992;1630;49.4;1424;1219;205;5846;5007;838;17.0;476;404;72;2118;1857;261;8.9;762;634;128;3253;2693;560;36.7;187;182;5;474;457;17;27.6
29;2014 juni;3868;2454;1414;11593;7904;3689;28.5;2136;1116;1020;3742;1867;1875;1580;49.9;1732;1338;394;7851;6037;1814;23.6;763;595;168;3833;3098;736;16.7;752;534;218;3450;2401;1048;40.2;217;209;8;568;538;30;34.0
30;2014 juli;3700;2246;1455;12979;8798;4181;30.9;2177;1091;1086;3985;1902;2083;1260;51.4;1524;1155;369;8994;6896;2098;26.2;756;603;153;4688;3887;801;19.8;641;442;198;3782;2610;1172;42.6;127;109;17;523;399;125;30.3
31;2014 augustus;4281;2627;1654;16703;11467;5237;39.7;2337;1192;1145;4389;2121;2268;1360;56.7;1944;1435;509;12314;9346;2969;35.9;940;722;218;6395;5297;1098;27.0;868;595;273;5372;3621;1751;60.6;136;118;18;548;428;120;31.7
32;2014 september;3368;2114;1254;9375;6217;3158;23.1;2130;1133;997;3683;1857;1825;1610;49.1;1238;981;257;5692;4360;1333;17.2;379;301;77;2045;1675;370;9.0;667;494;173;3165;2229;936;36.9;192;186;6;483;456;27;29.1
33;2014 oktober;3270;1976;1294;8330;5090;3240;23.2;2100;1140;960;3551;1813;1738;1570;46.1;1169;835;334;4780;3277;1502;16.9;202;134;69;888;594;295;4.9;843;582;261;3575;2391;1185;41.1;124;119;5;316;293;23;19.5
34;2014 november;2331;1400;931;4961;3061;1899;23.2;1784;967;817;2910;1465;1445;1350;39.7;547;433;114;2050;1596;454;14.6;21;9;11;65;28;38;1.2;452;351;102;1801;1387;413;24.5;74;73;1;184;181;3;13.6
35;2014 december;2118;1350;768;4825;3218;1607;23.4;1609;925;684;2685;1423;1263;1050;36.0;509;426;83;2140;1796;344;16.2;13;7;5;48;30;18;1.1;451;374;77;1959;1635;324;26.0;46;45;1;132;130;2;9.8
36;2015 januari;1889;1126;763;4142;2511;1630;20.2;1436;775;662;2383;1186;1197;1100;31.7;452;351;101;1759;1326;434;13.6;12;6;6;59;29;30;1.4;394;300;93;1593;1194;399;21.0;47;45;1;108;103;5;8.4
37;2015 februari;2106;1276;830;4696;2998;1698;25.0;1549;827;722;2553;1273;1279;1150;37.0;557;449;108;2143;1725;418;18.0;15;8;7;48;27;21;1.3;497;397;100;1997;1602;395;29.0;45;44;1;98;95;2;8.3
38;2015 maart;2373;1377;996;5123;3044;2079;20.7;1777;916;861;2946;1404;1542;1330;38.0;596;461;135;2177;1640;537;12.8;36;21;15;140;87;53;1.8;492;376;116;1877;1403;473;24.0;68;64;3;160;149;10;11.1
39;2015 april;3272;1724;1549;8318;4317;4001;20.5;2152;1025;1126;3773;1650;2123;1560;49.8;1121;699;422;4545;2667;1878;13.8;246;154;92;1006;631;375;4.5;758;433;325;3245;1764;1481;36.4;117;112;5;295;273;22;18.6
40;2015 mei;4036;2541;1494;11470;7897;3573;27.1;2299;1169;1130;4027;1924;2104;1640;51.3;1737;1372;364;7442;5973;1469;21.6;651;506;145;3031;2505;526;12.9;892;680;211;3894;2977;917;42.2;194;186;8;518;492;26;30.7
41;2015 juni;3617;2230;1387;10249;6765;3484;25.0;2199;1121;1078;3771;1802;1969;1560;49.7;1418;1109;310;6478;4962;1516;19.4;511;393;118;2749;2179;569;12.0;691;506;185;3188;2261;926;35.7;216;210;6;542;522;20;33.1
42;2015 juli;4079;2395;1684;14816;9726;5090;35.0;2335;1119;1216;4261;1916;2344;1340;54.4;1745;1277;468;10555;7810;2745;30.6;817;629;188;5217;4196;1021;22.1;797;535;262;4740;3130;1610;51.3;131;113;18;598;484;114;35.3
43;2015 augustus;4449;2700;1750;16469;11179;5290;38.9;2445;1220;1225;4563;2123;2440;1420;58.2;2005;1480;525;11906;9056;2850;34.5;972;756;216;6058;5063;995;25.7;887;595;292;5270;3523;1747;57.1;147;130;17;577;470;107;34.1
44;2015 september;3316;2006;1310;9023;5849;3174;22.1;2182;1111;1071;3736;1806;1930;1620;49.3;1134;895;239;5287;4043;1245;15.9;299;230;69;1670;1353;317;7.4;631;467;164;3113;2210;903;34.9;204;197;7;504;480;24;31.1
45;2015 oktober;3401;2047;1354;8682;5319;3363;24.1;2200;1165;1034;3704;1838;1866;1640;47.5;1201;881;320;4978;3481;1497;17.6;193;126;67;861;556;304;4.9;873;626;247;3775;2612;1163;41.9;136;129;7;342;313;30;21.6
46;2015 november;2522;1481;1041;5391;3233;2158;25.4;1884;998;886;3035;1499;1536;1370;40.9;637;482;155;2356;1734;622;17.0;24;12;11;88;50;38;1.7;551;409;142;2120;1539;581;28.5;62;61;1;148;145;3;11.3
47;2015 december;2258;1409;849;5156;3399;1757;24.9;1718;964;754;2865;1488;1377;1080;37.7;540;445;95;2291;1911;379;17.5;18;10;8;66;44;22;1.6;474;389;85;2082;1730;351;27.3;48;46;2;143;137;6;11.0
48;2016 januari;2048;1183;865;4510;2645;1864;21.8;1609;854;755;2673;1308;1364;1180;34.7;439;329;110;1837;1337;500;14.1;17;9;9;69;37;32;1.7;374;275;99;1649;1186;463;21.6;48;46;2;119;114;5;9.1
49;2016 februari;2324;1375;948;5051;3122;1929;26.5;1741;913;828;2860;1387;1473;1260;40.4;582;462;120;2191;1735;456;18.3;12;6;6;40;21;19;1.0;531;418;112;2056;1624;432;29.7;39;37;2;95;90;5;8.0
50;2016 maart;2704;1484;1220;6208;3395;2813;23.6;2038;1030;1009;3469;1620;1850;1510;43.7;666;454;212;2739;1775;964;14.9;61;31;30;276;143;134;3.1;542;364;178;2299;1481;817;28.6;62;59;3;164;151;13;11.5
51;2016 april;3278;1839;1439;8035;4610;3425;19.9;2229;1103;1126;3841;1744;2096;1630;49.4;1049;736;313;4195;2866;1329;12.9;210;152;59;882;642;240;4.0;729;478;251;3043;1966;1078;35.1;110;106;4;269;258;11;16.8
52;2016 mei;4165;2527;1637;11273;7255;4018;26.7;2436;1228;1208;4218;1963;2254;1720;52.4;1729;1299;430;7055;5292;1763;20.7;663;498;165;2821;2184;638;12.1;886;630;257;3762;2661;1101;41.8;179;172;8;472;447;25;27.6
53;2016 juni;3526;2178;1348;9663;6368;3295;23.7;2276;1191;1086;3904;1908;1996;1610;50.2;1250;988;262;5759;4460;1300;17.5;427;340;87;2348;1906;443;10.4;634;465;169;2949;2120;829;33.9;190;183;7;462;434;28;27.9
54;2016 juli;4085;2355;1730;14216;8783;5432;33.8;2420;1205;1215;4488;2070;2418;1420;56.0;1665;1150;514;9727;6714;3014;28.6;744;552;191;4629;3543;1086;19.8;803;494;308;4634;2791;1843;51.6;118;104;15;465;380;85;27.2
55;2016 augustus;4527;2780;1747;17136;11738;5398;40.7;2506;1274;1232;4747;2268;2479;1390;59.3;2022;1506;515;12389;9470;2920;36.3;1002;784;218;6417;5370;1047;27.4;899;616;283;5489;3721;1769;61.1;121;107;14;483;379;104;28.2
56;2016 september;3675;2269;1406;10130;6645;3485;25.0;2314;1212;1101;4017;1975;2041;1690;51.7;1361;1057;305;6114;4669;1444;18.7;425;327;98;2251;1811;441;10.0;728;526;202;3368;2379;989;38.8;209;204;5;494;480;14;30.0
57;2016 oktober;3615;2133;1483;9320;5543;3777;26.2;2348;1252;1096;4041;2001;2040;1710;50.6;1267;880;386;5280;3542;1738;19.2;212;131;81;1027;652;375;6.0;910;612;299;3879;2543;1336;44.1;144;138;7;373;347;26;23.0
58;2016 november;2571;1498;1073;5451;3189;2262;26.3;1987;1067;920;3234;1605;1629;1450;42.5;584;430;154;2218;1585;633;16.9;22;9;13;84;37;47;1.9;490;352;139;1972;1391;581;26.9;72;70;2;163;157;6;12.4
59;2016 december;2365;1433;932;5219;3295;1923;25.3;1853;1020;833;3100;1571;1529;1150;39.8;512;413;99;2119;1725;394;16.5;17;10;7;66;43;23;1.7;452;362;90;1929;1565;363;25.4;43;40;3;125;117;8;9.5
60;2017 januari;2352;1399;953;5113;3070;2044;24.6;1783;964;819;2921;1410;1511;1260;36.6;569;435;134;2193;1660;533;17.1;14;7;8;57;28;30;1.6;498;374;123;2011;1514;497;25.2;57;54;3;125;118;7;9.4
61;2017 februari;2326;1339;988;4940;2926;2014;26.2;1809;936;872;2978;1391;1586;1290;40.7;518;402;115;1962;1535;427;17.0;13;5;8;40;17;23;1.2;453;348;105;1796;1400;396;25.3;52;49;3;126;117;8;10.4
62;2017 maart;2849;1623;1226;6027;3546;2481;23.8;2185;1100;1085;3572;1638;1934;1540;43.6;664;523;141;2455;1908;547;14.3;45;25;20;166;92;74;2.3;543;425;118;2116;1648;468;24.8;75;72;3;173;167;6;12.0
63;2017 april;3942;2032;1910;10020;5095;4924;24.7;2622;1229;1392;4557;1928;2629;1780;56.6;1321;803;518;5463;3168;2295;16.8;297;177;120;1221;718;503;5.5;894;503;391;3923;2156;1767;44.0;130;123;7;318;293;25;19.8
64;2017 mei;4215;2537;1678;10782;6976;3807;25.4;2635;1295;1340;4469;2026;2443;1790;53.6;1579;1241;338;6314;4950;1364;18.5;541;428;113;2212;1789;423;9.6;855;637;219;3642;2726;916;39.4;183;177;7;460;435;24;27.0
65;2017 juni;4286;2499;1787;11711;7180;4531;28.5;2634;1316;1317;4528;2089;2439;1820;56.1;1652;1183;469;7183;5091;2092;21.8;614;432;182;3044;2266;778;13.6;821;541;279;3624;2342;1282;40.5;217;209;8;516;484;32;31.3
66;2017 juli;4414;2448;1966;14381;8510;5871;33.9;2750;1324;1427;4936;2152;2783;1590;59.3;1664;1124;539;9445;6357;3087;27.7;683;491;192;4187;3125;1062;18.1;838;510;329;4707;2791;1916;50.9;143;124;19;551;441;109;32.4
67;2017 augustus;4661;2751;1910;16841;11061;5780;39.7;2768;1382;1385;5108;2367;2740;1600;61.3;1894;1369;524;11734;8694;3040;34.5;888;668;220;5810;4668;1141;25.1;876;589;288;5401;3618;1783;58.4;130;113;17;523;408;115;30.9
68;2017 september;3837;2294;1543;10474;6636;3837;25.6;2525;1288;1237;4419;2088;2331;1860;54.8;1312;1006;306;6055;4548;1507;18.4;348;261;87;1983;1574;409;8.9;746;533;213;3570;2495;1075;40.0;218;212;6;502;478;24;30.8
69;2017 oktober;3823;2177;1646;9468;5497;3971;26.5;2576;1316;1261;4355;2040;2316;1830;52.5;1247;862;386;5113;3457;1656;18.7;188;112;76;894;551;342;5.4;924;619;304;3880;2589;1292;42.9;136;130;5;339;317;22;21.0
70;2017 november;2818;1582;1236;6100;3374;2726;28.4;2150;1106;1044;3544;1669;1875;1590;45.0;668;476;192;2556;1705;851;18.8;32;11;21;124;39;85;2.8;554;385;169;2239;1481;759;28.9;83;80;3;193;185;8;14.4
71;2017 december;2711;1630;1081;5841;3659;2182;27.5;2135;1162;973;3487;1732;1756;1300;43.0;576;468;108;2354;1928;426;17.9;17;8;9;60;32;28;1.6;490;395;95;2113;1731;382;26.5;69;65;4;181;165;16;13.4
72;2018 januari;2504;1452;1052;5400;3183;2217;25.2;1948;1028;920;3200;1528;1672;1390;38.7;556;424;133;2200;1655;545;16.7;16;6;9;59;25;34;1.7;478;360;118;1997;1499;498;24.3;63;57;6;145;131;14;10.6
73;2018 februari;2490;1417;1073;5302;3089;2213;27.1;1937;997;940;3229;1509;1720;1370;42.4;553;420;132;2073;1580;493;17.4;16;8;9;54;27;27;1.6;484;365;119;1901;1446;455;25.8;52;47;5;118;107;11;9.4
74;2018 maart;3133;1732;1401;7001;3838;3163;25.2;2329;1169;1161;3935;1768;2167;1660;45.9;803;564;240;3066;2070;997;15.9;53;26;27;203;96;106;2.3;658;451;207;2645;1773;872;29.7;93;87;6;218;200;18;14.4
75;2018 april;3907;2073;1834;9460;4954;4506;23.0;2609;1225;1384;4565;1929;2636;1800;54.3;1298;848;450;4896;3025;1870;14.9;291;188;103;1082;678;404;4.9;854;524;330;3435;2019;1415;37.2;153;136;17;380;328;51;23.2
76;2018 mei;4567;2685;1882;12336;7703;4633;28.7;2748;1355;1393;4809;2179;2631;1900;55.2;1819;1330;488;7526;5524;2003;21.9;743;545;198;3126;2353;773;13.6;885;605;280;3899;2704;1194;40.8;191;180;11;502;466;36;28.8
77;2018 juni;4210;2492;1717;11363;6973;4390;27.3;2688;1379;1310;4705;2224;2480;1890;55.8;1521;1114;407;6659;4749;1910;20.1;514;370;144;2570;1921;649;11.5;783;530;253;3540;2314;1226;38.2;224;214;11;548;513;35;32.6
78;2018 juli;4546;2456;2089;14666;8413;6254;34.1;2800;1323;1477;5150;2235;2915;1650;59.1;1746;1134;612;9516;6178;3338;27.8;783;549;234;4408;3286;1122;19.2;832;474;358;4555;2483;2072;47.6;130;110;20;553;409;145;31.7
79;2018 augustus;4947;2895;2052;17687;11456;6231;41.1;2914;1443;1471;5453;2469;2984;1600;62.3;2033;1452;581;12234;8987;3247;35.7;943;694;249;5991;4754;1237;26.1;953;641;311;5659;3806;1853;59.2;137;117;20;584;428;157;33.5
80;2018 september;3991;2366;1626;10612;6563;4048;25.6;2661;1368;1293;4680;2204;2476;1930;55.2;1330;997;333;5931;4359;1572;18.0;414;303;111;2157;1684;473;9.8;690;479;211;3254;2183;1071;35.3;225;215;10;520;491;29;31.2
81;2018 oktober;3967;2278;1689;9903;5673;4229;27.3;2669;1386;1283;4588;2181;2407;1920;52.7;1298;892;406;5315;3492;1822;19.2;210;126;84;921;552;370;5.5;936;624;312;4008;2589;1420;42.9;152;142;10;385;352;33;23.1
82;2018 november;2959;1673;1286;6418;3580;2839;28.6;2253;1178;1076;3766;1803;1964;1620;45.3;706;495;211;2652;1777;875;18.8;28;11;17;109;44;65;2.3;587;399;188;2346;1550;795;29.2;91;85;6;197;183;15;14.1
83;2018 december;2692;1612;1080;5933;3656;2277;27.1;2090;1125;965;3530;1714;1817;1240;41.5;603;488;115;2402;1942;461;17.9;18;11;7;69;46;23;1.8;523;420;104;2143;1720;423;26.1;62;57;4;190;176;14;13.7
84;2019 januari;2458;1376;1082;5496;3084;2412;24.3;1909;966;943;3258;1474;1784;1400;36.6;549;410;139;2239;1610;628;16.3;16;8;9;64;28;36;1.8;473;345;128;2036;1450;586;23.4;59;57;2;139;133;6;10.0
85;2019 februari;2565;1432;1133;5464;3153;2311;26.4;1998;983;1015;3381;1514;1868;1390;41.4;567;449;119;2083;1639;444;16.7;18;9;9;58;32;26;1.7;491;384;107;1878;1469;408;24.1;58;55;3;147;138;9;11.7
86;2019 maart;3289;1824;1465;7248;4078;3170;26.5;2477;1227;1250;4240;1891;2349;1730;46.4;812;597;215;3008;2187;821;16.6;54;31;23;165;91;74;2.1;670;483;187;2654;1918;736;29.6;88;84;5;189;178;11;12.5
87;2019 april;4307;2132;2175;11177;5376;5801;26.8;2765;1227;1538;4974;2006;2968;1930;55.3;1542;906;637;6202;3370;2833;19.0;409;245;164;1618;929;689;7.6;1006;547;459;4264;2164;2100;43.6;127;114;13;321;277;44;19.6
88;2019 mei;4193;2472;1721;10539;6570;3968;24.2;2745;1335;1410;4868;2157;2711;1940;52.3;1448;1137;311;5671;4413;1257;16.6;427;331;96;1752;1403;349;7.8;829;621;208;3457;2570;887;34.2;192;185;7;462;440;22;26.6
89;2019 juni;4894;2851;2042;13754;8309;5446;32.6;2852;1410;1442;5085;2307;2778;2000;56.4;2042;1441;601;8669;6002;2667;26.2;857;603;255;3942;2855;1087;18.2;946;613;333;4144;2603;1541;42.4;239;226;13;582;543;39;34.5
90;2019 juli;4704;2514;2190;15622;8829;6793;35.9;2853;1323;1530;5371;2255;3116;1720;57.6;1851;1191;660;10252;6574;3678;30.0;809;562;247;4718;3452;1267;21.1;899;506;393;4956;2664;2292;48.9;143;123;20;577;459;119;33.3
91;2019 augustus;5143;2972;2170;18983;12043;6940;43.6;2919;1415;1504;5678;2495;3183;1760;60.9;2224;1557;667;13305;9548;3757;38.9;987;728;259;6247;4935;1313;27.9;1086;700;386;6449;4151;2298;63.7;150;129;21;609;462;147;35.1
92;2019 september;4165;2466;1700;11298;6918;4380;26.9;2663;1355;1308;4798;2228;2571;1990;53.1;1503;1111;392;6500;4691;1809;19.7;421;307;115;2162;1675;486;10.0;845;576;270;3792;2487;1305;38.7;236;229;7;546;528;18;32.5
93;2019 oktober;4087;2243;1843;10422;5611;4811;28.0;2745;1385;1360;4857;2209;2647;2070;52.3;1341;858;483;5565;3402;2164;20.0;209;106;103;942;484;458;5.8;973;602;371;4183;2517;1666;42.1;160;150;10;440;401;39;26.6
94;2019 november;3194;1772;1422;6975;3784;3191;29.5;2407;1244;1163;4060;1897;2163;1730;45.9;787;528;259;2915;1887;1028;19.8;36;13;22;138;55;83;2.9;660;427;232;2579;1644;935;29.9;92;87;4;199;189;10;14.2
95;2019 december;2918;1733;1185;6463;3936;2527;28.0;2237;1189;1048;3832;1839;1993;1350;42.2;681;544;137;2631;2097;534;18.8;21;9;11;69;34;35;1.9;598;476;122;2387;1900;487;26.9;62;59;4;175;163;12;12.3
96;2020 januari;2622;1488;1134;5914;3310;2604;25.6;2011;1055;956;3464;1632;1833;1460;37.4;611;434;177;2450;1678;772;17.7;22;10;12;90;39;50;2.5;530;371;159;2210;1507;702;24.7;59;53;6;150;131;19;11.5
97;2020 februari;2811;1646;1165;6332;3743;2589;30.2;2121;1131;990;3705;1781;1924;1500;43.7;690;516;175;2627;1963;665;21.0;21;9;12;60;32;28;1.8;609;451;158;2417;1792;625;30.1;60;56;4;150;138;11;12.6
98;2020 maart;1426;907;519;3487;2224;1262;13.1;989;571;418;1780;942;839;720;18.8;437;336;101;1706;1282;424;10.0;24;14;10;83;56;27;1.3;370;281;88;1524;1136;388;16.4;43;40;3;99;91;9;7.3
99;2020 april;364;301;63;1179;985;195;3.5;241;192;49;470;355;115;230;6.1;122;108;14;710;630;80;2.7;32;30;3;129;116;12;0.8;79;68;11;521;454;68;5.5;11;10;0;60;59;0;7.3
100;2020 mei;924;793;130;2752;2383;370;7.4;486;401;84;840;667;172;260;10.4;438;392;46;1913;1715;197;6.5;166;147;19;641;577;64;3.5;257;231;27;1214;1081;133;12.2;14;14;0;57;57;0;6.4
101;2020 juni;2395;1820;575;7445;5677;1768;18.7;1228;908;320;2162;1532;630;490;24.7;1167;912;255;5283;4145;1137;17.0;440;350;90;2017;1652;365;10.1;694;530;163;3182;2415;767;32.3;33;31;2;84;78;5;6.8
102;2020 juli;4191;2943;1248;16068;11470;4598;37.5;2139;1420;718;4040;2518;1522;590;42.9;2052;1522;530;12028;8952;3076;36.0;952;747;205;5784;4669;1114;26.7;1006;691;315;5858;3953;1905;57.4;94;84;11;386;329;57;25.2
103;2020 augustus;4740;3588;1152;19112;15197;3915;44.5;2351;1620;731;4447;2865;1581;640;46.8;2389;1968;422;14665;12331;2334;43.9;1178;992;186;7882;6919;963;36.4;1108;881;226;6401;5072;1328;62.9;104;95;9;382;340;42;24.8
104;2020 september;3235;2509;725;10408;7990;2417;25.3;1789;1355;434;3251;2357;893;720;35.4;1446;1154;291;7157;5633;1524;22.4;531;421;110;2942;2392;550;14.3;822;644;178;3986;3020;967;40.5;92;89;3;229;221;8;15.2
105;2020 oktober;2124;1837;287;6545;5550;996;17.9;1160;985;175;1980;1627;352;510;21.0;964;852;112;4566;3923;643;16.8;150;121;29;897;713;185;5.8;773;691;82;3545;3091;455;35.3;40;40;1;123;119;4;8.4
