ID;PersonalCharacteristics;Periods;VeryContented_1;Contented_2;NotContentedNotDiscontented_3;Discontented_4;VeryDiscontented_5;DutchLabourParty_6;ChristianDemocraticAppeal_7;PeopleSPartyForFreedomAndDemocracy_8;Democrats1966_9;GreenLeftParty_10;PoliticalReformedPartyChristianUnion_11;SocialistParty_12;LiveableNetherlands_13;ListPimFortuyn_14;OtherPoliticalParties_15;NonVotersAbstentions_16;DoNotKnow_17;CastHisHerVote_18;DutchLabourParty_19;ChristianDemocraticAppeal_20;PeopleSPartyForFreedomAndDemocracy_21;Democrats1966_22;GreenLeftParty_23;PoliticalReformedPartyChristianUnion_24;SocialistParty_25;LiveableNetherlands_26;ListPimFortuyn_27;OtherPoliticalParties_28;Abstentions_29;DoNotKnow_30;VeryMuchInterested_31;RatherInterested_32;NotMuchInterested_33;NotInterestedAtAll_34;ActiveDebater_35;Listens_36;DoesNotListen_37;MemberOfAPoliticalParty_38;AttendsMeetingsPolParty1529Yrs_39;BondWithPolitcalParty_40;VeryStrongBond_41;RatherStrongBond_42;ModeratelyStrongBond_43;WeakVeryWeakBond_44;IsMemberOfAStudentsTradeUnion_45;EmployersOrgTradeUnion_46;NoRestrictions_47;MustBeRestricted_48;MustBeStoppedAltogether_49;NoRestrictions_50;MustBeRestricted_51;MustBeStoppedAltogether_52;NoRestrictions_53;MustBeRestricted_54;MustBeStoppedAltogether_55;MakeMuchMoreDifficult_56;MakeMoreDifficult_57;PreferCurrentSituation_58;MakeEasier_59;MakeMuchEasier_60;RetainOwnCultureCompletely_61;LargelyRetainOwnCulture_62;NotRetainOwnCultureNotConform_63;LargelyConformToDutchCulture_64;ConformCompletelyToDutchCulture_65;AgreeCompletely_66;Agree_67;DoNotAgreeDoNotDisagree_68;Disagree_69;DisagreeCompletely_70;AgreeCompletely_71;Agree_72;DoNotAgreeDoNotDisagree_73;Disagree_74;DisagreeCompletely_75;FamilyEthnicMinority_76;DutchFamily_77;ShouldNotMakeAnyDifference_78;EmployeeWithFamily_79;EmployeeWithoutFamily_80;ShouldNotMakeAnyDifference_81;AForeigner_82;ADutchman_83;ShouldNotMakeAnyDifference_84;AMan_85;AWoman_86;ShouldNotMakeAnyDifference_87;AYoungEmployee_88;AnOlderEmployee_89;ShouldNotMakeAnyDifference_90;AWhiteEmployee_91;AColouredEmployee_92;ShouldNotMakeAnyDifference_93;Annoying_94;NotAnnoying_95;DoNotKnow_96;Annoying_97;NotAnnoying_98;DoNotKnow_99;ExtremelyImportant_100;VeryImportant_101;Important_102;NotSure_103;Unimportant_104;ExtremelyImportant_105;VeryImportant_106;Important_107;NotSure_108;Unimportant_109;ExtremelyImportant_110;VeryImportant_111;Important_112;NotSure_113;Unimportant_114;ExtremelyImportant_115;VeryImportant_116;Important_117;NotSure_118;Unimportant_119;ExtremelyImportant_120;VeryImportant_121;Important_122;NotSure_123;Unimportant_124;ExtremelyImportant_125;VeryImportant_126;Important_127;NotSure_128;Unimportant_129;ExtremelyImportant_130;VeryImportant_131;Important_132;NotSure_133;Unimportant_134;ExtremelyImportant_135;VeryImportant_136;Important_137;NotSure_138;Unimportant_139;ExtremelyImportant_140;VeryImportant_141;Important_142;NotSure_143;Unimportant_144;ExtremelyImportant_145;VeryImportant_146;Important_147;NotSure_148;Unimportant_149;ExtremelyImportant_150;VeryImportant_151;Important_152;NotSure_153;Unimportant_154;ExtremelyImportant_155;VeryImportant_156;Important_157;NotSure_158;Unimportant_159;ExtremelyImportant_160;VeryImportant_161;Important_162;NotSure_163;Unimportant_164;ExtremelyImportant_165;VeryImportant_166;Important_167;NotSure_168;Unimportant_169;LargelyAgree_170;DoNotAgreeDoNotDisagree_171;DoNotAgreeAtAll_172;LargelyAgree_173;DoNotAgreeDoNotDisagree_174;DoNotAgreeAtAll_175;LargelyAgree_176;DoNotAgreeDoNotDisagree_177;DoNotAgreeAtAll_178;LargelyAgree_179;DoNotAgreeDoNotDisagree_180;DoNotAgreeAtAll_181;LargelyAgree_182;DoNotAgreeDoNotDisagree_183;DoNotAgreeAtAll_184;LargelyAgree_185;DoNotAgreeDoNotDisagree_186;DoNotAgreeAtAll_187;AdulteryEndsARelationship_188;AdulteryIsWrongButNotTheEnd_189;AdulteryShouldBePossible_190;NoOpinionDoesNotKnowRefuses_191
20;Women;2001;1.0;32.0;50.0;15.0;2.0;21.0;13.0;14.0;4.0;8.0;4.0;2.0;;;2.0;15.0;17.0;;;;;;;;;;;;;;8.0;37.0;32.0;23.0;37.0;47.0;16.0;3.0;1.0;54.0;12.0;46.0;37.0;6.0;10.0;4.0;8.0;75.0;17.0;23.0;67.0;10.0;11.0;69.0;19.0;19.0;26.0;37.0;12.0;5.0;3.0;6.0;37.0;31.0;24.0;3.0;21.0;24.0;36.0;16.0;14.0;56.0;14.0;11.0;4.0;1.0;20.0;80.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70.0;17.0;13.0;39.0;27.0;33.0;67.0;16.0;16.0;32.0;31.0;36.0;74.0;10.0;16.0;14.0;23.0;62.0;72.0;16.0;1.0;10.0
21;Women;2002;1.0;21.0;49.0;25.0;5.0;15.0;23.0;11.0;4.0;7.0;4.0;5.0;2.0;3.0;1.0;9.0;16.0;87.0;18.0;32.0;15.0;7.0;7.0;4.0;5.0;1.0;10.0;1.0;0.0;1.0;12.0;43.0;29.0;17.0;44.0;43.0;13.0;3.0;;57.0;15.0;47.0;34.0;4.0;;;6.0;78.0;16.0;22.0;68.0;10.0;10.0;71.0;19.0;19.0;24.0;40.0;12.0;6.0;2.0;4.0;35.0;32.0;27.0;2.0;20.0;27.0;36.0;15.0;12.0;57.0;16.0;10.0;5.0;0.0;19.0;81.0;;;;;;;;;;;;;;;;;;;;;;14.0;14.0;32.0;5.0;36.0;42.0;27.0;25.0;3.0;3.0;61.0;20.0;12.0;2.0;4.0;54.0;28.0;16.0;1.0;2.0;17.0;25.0;47.0;3.0;8.0;17.0;23.0;57.0;1.0;2.0;19.0;30.0;43.0;4.0;4.0;16.0;31.0;49.0;3.0;1.0;6.0;13.0;50.0;18.0;13.0;13.0;23.0;48.0;11.0;6.0;11.0;18.0;42.0;20.0;8.0;13.0;25.0;46.0;11.0;5.0;51.0;28.0;21.0;1.0;0.0;37.0;32.0;28.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;
22;Women;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;9.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71.0;16.0;13.0;36.0;27.0;36.0;67.0;17.0;15.0;33.0;31.0;35.0;73.0;12.0;14.0;13.0;22.0;64.0;72.0;16.0;1.0;10.0
23;Women;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;12-17 yrs;1997;1.0;39.0;53.0;6.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;22.0;37.0;38.0;20.0;43.0;37.0;;0.0;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56.0;12.0;2.0;29.0
25;12-17 yrs;1998;0.0;45.0;49.0;5.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;24.0;35.0;38.0;21.0;44.0;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;12-17 yrs;1999;1.0;40.0;52.0;6.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;25.0;34.0;39.0;24.0;42.0;34.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;12-17 yrs;2000;1.0;48.0;47.0;4.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;22.0;33.0;42.0;21.0;43.0;36.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;12-17 yrs;2001;1.0;49.0;43.0;6.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;23.0;36.0;40.0;24.0;43.0;33.0;;1.0;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.0;24.0;18.0;37.0;27.0;34.0;58.0;23.0;18.0;39.0;29.0;29.0;69.0;14.0;16.0;15.0;21.0;64.0;61.0;12.0;2.0;25.0
29;12-17 yrs;2002;0.0;28.0;54.0;14.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;28.0;36.0;32.0;29.0;45.0;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;12-17 yrs;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.0;25.0;20.0;36.0;26.0;37.0;57.0;23.0;19.0;37.0;30.0;31.0;68.0;15.0;15.0;14.0;21.0;63.0;59.0;14.0;3.0;25.0
31;12-17 yrs;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;18-24 yrs;1997;1.0;33.0;56.0;9.0;1.0;15.0;9.0;17.0;11.0;6.0;4.0;1.0;;;1.0;18.0;17.0;;;;;;;;;;;;;;5.0;35.0;37.0;23.0;34.0;46.0;19.0;1.0;1.0;41.0;11.0;46.0;38.0;6.0;9.0;4.0;8.0;76.0;16.0;21.0;69.0;10.0;10.0;72.0;19.0;19.0;31.0;31.0;15.0;4.0;4.0;9.0;32.0;36.0;19.0;2.0;13.0;26.0;34.0;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70.0;20.0;2.0;8.0
33;18-24 yrs;1998;1.0;42.0;48.0;7.0;1.0;21.0;8.0;19.0;7.0;10.0;5.0;2.0;;;2.0;16.0;10.0;73.0;28.0;11.0;23.0;12.0;12.0;6.0;4.0;;;2.0;1.0;0.0;7.0;36.0;34.0;23.0;37.0;42.0;21.0;1.0;;46.0;14.0;46.0;36.0;4.0;;;7.0;81.0;12.0;20.0;73.0;7.0;11.0;78.0;11.0;15.0;32.0;32.0;14.0;7.0;3.0;9.0;34.0;38.0;17.0;2.0;16.0;27.0;36.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;18-24 yrs;1999;1.0;34.0;55.0;9.0;1.0;19.0;8.0;17.0;5.0;12.0;5.0;3.0;;;1.0;18.0;12.0;;;;;;;;;;;;;;5.0;35.0;34.0;26.0;37.0;43.0;21.0;1.0;;46.0;12.0;49.0;32.0;7.0;;;9.0;76.0;15.0;24.0;69.0;8.0;16.0;70.0;14.0;16.0;29.0;34.0;16.0;5.0;4.0;9.0;35.0;35.0;17.0;2.0;18.0;29.0;33.0;18.0;14.0;53.0;20.0;8.0;5.0;0.0;20.0;80.0;3.0;34.0;63.0;5.0;1.0;94.0;1.0;1.0;98.0;18.0;9.0;74.0;0.0;2.0;98.0;16.0;75.0;9.0;9.0;87.0;5.0;5.0;9.0;26.0;7.0;53.0;28.0;26.0;26.0;5.0;16.0;44.0;19.0;14.0;7.0;16.0;43.0;28.0;22.0;2.0;5.0;36.0;32.0;30.0;1.0;1.0;23.0;27.0;46.0;2.0;1.0;33.0;35.0;30.0;1.0;1.0;16.0;35.0;46.0;2.0;1.0;5.0;13.0;41.0;23.0;18.0;13.0;26.0;43.0;11.0;8.0;9.0;19.0;39.0;19.0;14.0;13.0;32.0;42.0;7.0;5.0;59.0;27.0;14.0;0.0;1.0;46.0;32.0;21.0;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;
35;18-24 yrs;2000;1.0;40.0;51.0;7.0;1.0;19.0;8.0;16.0;4.0;11.0;5.0;2.0;;;1.0;19.0;16.0;;;;;;;;;;;;;;5.0;34.0;35.0;26.0;35.0;44.0;20.0;1.0;;39.0;11.0;50.0;35.0;3.0;;;10.0;79.0;12.0;27.0;68.0;4.0;14.0;75.0;11.0;12.0;32.0;33.0;17.0;6.0;3.0;9.0;34.0;36.0;19.0;1.0;20.0;28.0;37.0;14.0;17.0;56.0;16.0;9.0;2.0;1.0;18.0;81.0;2.0;38.0;60.0;6.0;1.0;93.0;1.0;2.0;98.0;15.0;11.0;74.0;0.0;2.0;98.0;16.0;75.0;9.0;7.0;87.0;6.0;5.0;7.0;21.0;11.0;55.0;30.0;24.0;29.0;6.0;11.0;44.0;19.0;15.0;10.0;12.0;45.0;29.0;20.0;2.0;3.0;31.0;36.0;32.0;0.0;1.0;19.0;30.0;46.0;3.0;2.0;33.0;37.0;28.0;1.0;1.0;18.0;34.0;43.0;4.0;1.0;6.0;11.0;41.0;23.0;18.0;15.0;23.0;45.0;9.0;8.0;10.0;15.0;34.0;24.0;17.0;17.0;24.0;43.0;9.0;7.0;63.0;24.0;12.0;1.0;0.0;51.0;33.0;16.0;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;
36;18-24 yrs;2001;1.0;42.0;48.0;8.0;1.0;19.0;7.0;15.0;4.0;9.0;4.0;2.0;;;2.0;18.0;19.0;;;;;;;;;;;;;;6.0;35.0;34.0;25.0;39.0;45.0;16.0;1.0;2.0;37.0;10.0;56.0;29.0;5.0;9.0;4.0;7.0;78.0;15.0;24.0;70.0;6.0;12.0;75.0;13.0;18.0;34.0;29.0;15.0;4.0;3.0;8.0;34.0;39.0;16.0;2.0;20.0;26.0;35.0;17.0;15.0;59.0;16.0;8.0;2.0;1.0;17.0;82.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60.0;23.0;16.0;40.0;26.0;33.0;69.0;16.0;15.0;37.0;32.0;30.0;72.0;12.0;14.0;14.0;24.0;61.0;78.0;15.0;1.0;6.0
37;18-24 yrs;2002;0.0;25.0;52.0;18.0;4.0;11.0;17.0;13.0;5.0;7.0;4.0;5.0;2.0;5.0;1.0;11.0;17.0;85.0;9.0;18.0;22.0;9.0;11.0;4.0;6.0;0.0;20.0;0.0;0.0;1.0;11.0;43.0;30.0;16.0;49.0;39.0;12.0;1.0;;40.0;14.0;53.0;30.0;3.0;;;7.0;77.0;16.0;29.0;64.0;7.0;18.0;67.0;15.0;15.0;33.0;32.0;14.0;6.0;3.0;7.0;28.0;39.0;22.0;3.0;16.0;29.0;37.0;15.0;16.0;56.0;14.0;11.0;2.0;1.0;17.0;82.0;;;;;;;;;;;;;;;;;;;;;;6.0;9.0;21.0;10.0;53.0;32.0;27.0;26.0;4.0;11.0;50.0;18.0;12.0;7.0;13.0;46.0;29.0;20.0;1.0;4.0;34.0;35.0;29.0;1.0;1.0;22.0;32.0;41.0;2.0;2.0;35.0;35.0;28.0;1.0;1.0;16.0;31.0;47.0;4.0;3.0;5.0;9.0;47.0;24.0;15.0;12.0;22.0;50.0;11.0;5.0;8.0;14.0;43.0;23.0;12.0;13.0;28.0;43.0;11.0;6.0;58.0;30.0;11.0;0.0;0.0;47.0;34.0;19.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;
38;18-24 yrs;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;;;;;;9.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65.0;22.0;13.0;35.0;27.0;37.0;72.0;14.0;13.0;36.0;34.0;29.0;71.0;13.0;15.0;13.0;22.0;64.0;80.0;14.0;1.0;4.0
39;18-24 yrs;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;25-34 yrs;1997;1.0;36.0;51.0;11.0;2.0;15.0;11.0;21.0;11.0;5.0;4.0;2.0;;;2.0;16.0;14.0;;;;;;;;;;;;;;7.0;40.0;34.0;18.0;40.0;44.0;16.0;2.0;2.0;52.0;11.0;46.0;39.0;5.0;19.0;9.0;9.0;75.0;16.0;24.0;66.0;11.0;10.0;70.0;20.0;20.0;29.0;35.0;12.0;5.0;4.0;8.0;33.0;35.0;19.0;4.0;17.0;26.0;32.0;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62.0;28.0;2.0;9.0
41;25-34 yrs;1998;1.0;43.0;45.0;9.0;2.0;22.0;10.0;23.0;8.0;7.0;4.0;2.0;;;1.0;14.0;8.0;76.0;28.0;12.0;28.0;10.0;9.0;7.0;3.0;;;2.0;0.0;0.0;9.0;41.0;32.0;18.0;42.0;41.0;17.0;2.0;;52.0;13.0;50.0;33.0;4.0;;;11.0;75.0;13.0;27.0;65.0;8.0;12.0;70.0;17.0;18.0;30.0;31.0;15.0;6.0;4.0;11.0;35.0;34.0;16.0;2.0;19.0;26.0;33.0;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;25-34 yrs;1999;1.0;33.0;51.0;13.0;2.0;19.0;10.0;22.0;5.0;9.0;3.0;3.0;;;1.0;17.0;11.0;;;;;;;;;;;;;;8.0;39.0;33.0;20.0;43.0;41.0;15.0;2.0;;53.0;12.0;46.0;36.0;5.0;;;10.0;76.0;14.0;31.0;60.0;9.0;15.0;70.0;14.0;19.0;28.0;31.0;14.0;7.0;3.0;9.0;36.0;33.0;18.0;3.0;24.0;24.0;31.0;17.0;18.0;55.0;15.0;9.0;4.0;1.0;16.0;84.0;2.0;30.0;68.0;4.0;2.0;94.0;1.0;2.0;97.0;20.0;9.0;70.0;1.0;1.0;98.0;11.0;83.0;7.0;5.0;90.0;4.0;13.0;12.0;27.0;6.0;42.0;37.0;30.0;22.0;3.0;9.0;54.0;21.0;10.0;5.0;9.0;49.0;27.0;18.0;2.0;4.0;23.0;33.0;40.0;2.0;2.0;19.0;26.0;51.0;1.0;2.0;21.0;33.0;39.0;3.0;3.0;15.0;32.0;48.0;3.0;3.0;5.0;13.0;43.0;19.0;20.0;12.0;25.0;46.0;11.0;7.0;9.0;16.0;38.0;19.0;17.0;13.0;24.0;47.0;9.0;7.0;56.0;29.0;14.0;0.0;0.0;42.0;36.0;22.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;
43;25-34 yrs;2000;1.0;39.0;49.0;10.0;1.0;19.0;10.0;21.0;5.0;9.0;3.0;2.0;;;1.0;17.0;14.0;;;;;;;;;;;;;;9.0;40.0;31.0;20.0;42.0;42.0;16.0;2.0;;52.0;12.0;46.0;37.0;4.0;;;10.0;76.0;14.0;32.0;63.0;6.0;15.0;71.0;14.0;17.0;30.0;33.0;14.0;6.0;3.0;8.0;34.0;33.0;21.0;3.0;20.0;25.0;35.0;17.0;16.0;61.0;12.0;8.0;2.0;1.0;13.0;86.0;1.0;29.0;70.0;4.0;1.0;95.0;1.0;2.0;97.0;16.0;9.0;75.0;1.0;2.0;97.0;11.0;83.0;7.0;4.0;91.0;5.0;10.0;11.0;30.0;7.0;42.0;39.0;28.0;22.0;3.0;8.0;55.0;18.0;11.0;6.0;9.0;50.0;27.0;17.0;2.0;5.0;23.0;31.0;41.0;2.0;3.0;20.0;29.0;48.0;2.0;2.0;23.0;33.0;38.0;2.0;4.0;14.0;32.0;50.0;3.0;2.0;5.0;13.0;44.0;17.0;21.0;13.0;25.0;44.0;10.0;8.0;10.0;17.0;39.0;19.0;15.0;11.0;24.0;49.0;9.0;7.0;59.0;29.0;11.0;0.0;0.0;46.0;34.0;19.0;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;
44;25-34 yrs;2001;1.0;37.0;49.0;11.0;2.0;18.0;9.0;20.0;4.0;7.0;3.0;2.0;;;2.0;17.0;16.0;;;;;;;;;;;;;;8.0;42.0;32.0;18.0;47.0;40.0;13.0;2.0;2.0;49.0;11.0;47.0;37.0;5.0;19.0;9.0;8.0;80.0;12.0;28.0;67.0;5.0;13.0;75.0;12.0;17.0;29.0;35.0;14.0;5.0;2.0;8.0;34.0;40.0;16.0;3.0;19.0;28.0;33.0;18.0;15.0;57.0;15.0;8.0;4.0;1.0;13.0;87.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65.0;18.0;16.0;43.0;26.0;29.0;74.0;13.0;12.0;35.0;33.0;32.0;74.0;10.0;15.0;14.0;22.0;62.0;70.0;23.0;1.0;6.0
45;25-34 yrs;2002;1.0;24.0;49.0;21.0;5.0;11.0;19.0;17.0;4.0;6.0;3.0;5.0;3.0;4.0;1.0;10.0;15.0;84.0;14.0;30.0;13.0;6.0;14.0;5.0;7.0;1.0;10.0;0.0;0.0;0.0;13.0;46.0;28.0;13.0;54.0;36.0;10.0;2.0;;50.0;13.0;48.0;35.0;4.0;;;5.0;80.0;15.0;27.0;66.0;7.0;13.0;72.0;15.0;18.0;26.0;37.0;14.0;5.0;2.0;7.0;29.0;40.0;23.0;2.0;20.0;24.0;36.0;18.0;14.0;58.0;15.0;9.0;5.0;0.0;15.0;84.0;;;;;;;;;;;;;;;;;;;;;;15.0;13.0;27.0;6.0;38.0;41.0;31.0;20.0;3.0;5.0;56.0;21.0;12.0;4.0;7.0;54.0;29.0;14.0;0.0;2.0;22.0;30.0;43.0;2.0;3.0;18.0;26.0;51.0;2.0;3.0;22.0;33.0;40.0;2.0;2.0;12.0;35.0;48.0;3.0;2.0;5.0;12.0;43.0;18.0;22.0;11.0;25.0;46.0;8.0;9.0;9.0;19.0;40.0;17.0;15.0;11.0;27.0;48.0;9.0;6.0;59.0;27.0;13.0;1.0;0.0;46.0;35.0;17.0;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;
46;25-34 yrs;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;;;;;;19.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64.0;17.0;18.0;41.0;26.0;32.0;72.0;15.0;13.0;37.0;32.0;30.0;75.0;10.0;14.0;15.0;22.0;63.0;71.0;22.0;1.0;5.0
47;25-34 yrs;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;35-44 yrs;1997;1.0;37.0;47.0;14.0;2.0;22.0;11.0;18.0;11.0;6.0;3.0;3.0;;;1.0;13.0;11.0;;;;;;;;;;;;;;11.0;45.0;29.0;16.0;44.0;43.0;13.0;3.0;;61.0;11.0;48.0;37.0;4.0;;;11.0;75.0;14.0;25.0;64.0;12.0;9.0;68.0;23.0;20.0;27.0;34.0;13.0;6.0;4.0;8.0;38.0;29.0;21.0;3.0;21.0;25.0;31.0;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;35-44 yrs;1998;1.0;41.0;45.0;11.0;2.0;27.0;10.0;20.0;8.0;9.0;3.0;3.0;;;1.0;11.0;7.0;82.0;31.0;11.0;24.0;9.0;12.0;5.0;5.0;;;2.0;1.0;1.0;11.0;44.0;30.0;15.0;47.0;39.0;14.0;3.0;;60.0;14.0;51.0;31.0;4.0;;;11.0;76.0;14.0;29.0;62.0;9.0;12.0;68.0;20.0;19.0;27.0;36.0;13.0;5.0;3.0;10.0;39.0;30.0;19.0;3.0;22.0;25.0;31.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
