ID;Plaatsnamen;Gemeentecode_1;Naam_2;Code_3;Naam_4;Code_5;NaamAfkorting_6;PTTWoonplaatsnaam_7;Gemeentenaam_8
26;Aardhuis;200;Apeldoorn                  ;33;Apeldoorn                                         ;25;Gld.;nee;nee
27;Aardswoud;432;Opmeer                     ;54;Midden- en Oostelijk West-Friesland               ;27;NH. ;ja ;nee
28;Aarlanderveen;484;Alphen aan den Rijn        ;73;Rijnstreek Zuid-Holland                           ;28;ZH. ;ja ;nee
29;Aarle;753;Best                       ;114;Randgebied Eindhoven                              ;30;NB. ;nee;nee
30;Aarle;1659;Laarbeek                   ;115;Industriegebied Helmond                           ;30;NB. ;nee;nee
31;Aarle-Rixtel;1659;Laarbeek                   ;115;Industriegebied Helmond                           ;30;NB. ;ja ;nee
32;Aast;912;Grubbenvorst               ;120;Noord-Limburg                                     ;31;L.  ;nee;nee
33;Aasterberg;902;Echt                       ;122;Overig Midden-Limburg ten oosten v. Maas          ;31;L.  ;nee;nee
34;Abbega;683;Wymbritseradiel            ;10;Fries weidegebied                                 ;21;F.  ;ja ;nee
35;Abbegaesterketting;683;Wymbritseradiel            ;10;Fries weidegebied                                 ;21;F.  ;nee;nee
36;Abbekerk;529;Noorder-Koggenland         ;54;Midden- en Oostelijk West-Friesland               ;27;NH. ;ja ;nee
37;Abbekinderen;664;Goes                       ;97;Noord- en Zuid-Beveland                           ;29;Z.  ;nee;nee
38;Abbenbroek;568;Bernisse                   ;91;Voorne-Putten en Rozenburg                        ;28;ZH. ;ja ;nee
39;Abbenes;394;Haarlemmermeer             ;62;Noordhollandse Meerlanden                         ;27;NH. ;ja ;nee
40;Abbestede;476;Zijpe                      ;52;Overige gemeenten Kop van Noord-Holland           ;27;NH. ;nee;nee
41;Abcoude;305;Abcoude                    ;48;Vechtstreek en Plassengebied in Utrecht           ;26;U.  ;ja ;ja 
42;Abcoven;785;Goirle                     ;108;Gebied om Tilburg                                 ;30;NB. ;nee;nee
43;Abdissenbosch;882;Landgraaf                  ;125;Oostelijke Mijnstreek                             ;31;L.  ;nee;nee
44;Absdale;677;Hulst                      ;100;Overige gemeenten Oost-Zeeuwsch-Vlaander          ;29;Z.  ;nee;nee
45;Absdalepolder;677;Hulst                      ;100;Overige gemeenten Oost-Zeeuwsch-Vlaander          ;29;Z.  ;nee;nee
46;Abtswoude;503;Delft                      ;82;Delft                                             ;28;ZH. ;nee;nee
47;596;70;Franekeradeel              ;12;Friese bouwstreek                                 ;21;F.  ;ja ;nee
48;Acht;772;Eindhoven                  ;113;Eindhoven                                         ;30;NB. ;nee;nee
49;Achter-Lindt;642;Zwijndrecht                ;87;Oostelijk IJsselmonde                             ;28;ZH. ;nee;nee
50;43;9;Ten Boer                   ;1;Groninger Hoogeland en n. Westerkwartier          ;20;Gr. ;nee;nee
51;Achterberg;340;Rhenen                     ;44;Utrechtse Heuvelrug                               ;26;U.  ;nee;nee
52;Achterbos;736;De Ronde Venen             ;48;Vechtstreek en Plassengebied in Utrecht           ;26;U.  ;nee;nee
53;Achterbosch;743;Asten                      ;118;Brabantse Peel                                    ;30;NB. ;nee;nee
54;Achterbosch;1659;Laarbeek                   ;115;Industriegebied Helmond                           ;30;NB. ;nee;nee
55;Achterbroek;847;Someren                    ;118;Brabantse Peel                                    ;30;NB. ;nee;nee
56;Achterbroek;491;Bergambacht                ;75;Krimpenerwaard                                    ;28;ZH. ;nee;nee
57;154;18;Hoogezand-Sappemeer        ;4;Groninger Veenkolonien                            ;20;Gr. ;nee;nee
58;Achterdijk;1709;Moerdijk                   ;101;Zeekleigebied in Noord-Brabant                    ;30;NB. ;nee;nee
59;Achterdrempt;256;Hummelo en Keppel          ;27;Oude-IJsselgebied (westelijk deel)                ;25;Gld.;nee;nee
60;Achtereind;866;Waalre                     ;114;Randgebied Eindhoven                              ;30;NB. ;nee;nee
61;Achterhoek;840;Rucphen                    ;102;Bergen op Zoom, Roosendaal en omgeving            ;30;NB. ;nee;nee
62;969;118;Hoogeveen                  ;18;Zuiddrents randgebied                             ;22;D.  ;nee;nee
63;Achterschaijk;828;Oss                        ;111;Maaskant                                          ;30;NB. ;nee;nee
64;Achtersloot;353;IJsselstein                ;46;Nieuwegein, IJsselstein                           ;26;U.  ;nee;nee
65;Achtersluispolder;479;Zaanstad                   ;58;Zaanstreek                                        ;27;NH. ;nee;nee
66;Achterste Brug;858;Valkenswaard               ;117;Valkenswaard en oostelijke randgemeenten          ;30;NB. ;nee;nee
67;891;109;Coevorden                  ;18;Zuiddrents randgebied                             ;22;D.  ;nee;nee
68;Achterste Hees;964;Sevenum                    ;120;Noord-Limburg                                     ;31;L.  ;nee;nee
69;Achterste Heide;828;Oss                        ;111;Maaskant                                          ;30;NB. ;nee;nee
70;Achterste Heikant;1667;Reusel-De Mierden          ;116;Kempenland                                        ;30;NB. ;nee;nee
71;Achterstehoek;226;Duiven                     ;26;De Lijmers                                        ;25;Gld.;nee;nee
72;Achterveld;327;Leusden                    ;43;Utrechtse Vallei en Eemgebied                     ;26;U.  ;ja ;nee
73;Achterveld, In het;143;Avereest                   ;21;Noordoost-Overijssel                              ;23;O.  ;nee;nee
74;Achterveld, In het;266;Neede                      ;30;Overige gemeenten oostelijke Achterhoek           ;25;Gld.;nee;nee
75;Achterwehl;292;Wehl                       ;26;De Lijmers                                        ;25;Gld.;nee;nee
76;Achterwetering;334;Maartensdijk               ;48;Vechtstreek en Plassengebied in Utrecht           ;26;U.  ;nee;nee
77;Achterwijzend;529;Noorder-Koggenland         ;54;Midden- en Oostelijk West-Friesland               ;27;NH. ;nee;nee
78;Achthoven;335;Montfoort                  ;49;Utrechts weidegebied                              ;26;U.  ;nee;nee
79;Achthoven;707;Zederik                    ;78;Vijfheerenlanden                                  ;28;ZH. ;nee;nee
80;Achthuizen;580;Oostflakkee                ;92;Goeree en Overflakkee                             ;28;ZH. ;ja ;nee
81;540;59;Achtkarspelen              ;9;Fries zandgebied                                  ;21;F.  ;nee;ja 
82;Achtmaal;879;Zundert                    ;104;Gebied om Breda                                   ;30;NB. ;ja ;nee
83;Achttienhoven;569;Nieuwkoop                  ;72;Noordelijke veenstreek in Zuid-Holland            ;28;ZH. ;nee;nee
84;Achttienhoven-Westbroek;334;Maartensdijk               ;48;Vechtstreek en Plassengebied in Utrecht           ;26;U.  ;nee;nee
85;Acquoy;236;Geldermalsen               ;38;Westelijke Betuwe                                 ;25;Gld.;ja ;nee
86;405;53;Winsum                     ;6;Groninger centrale Weidestreek                    ;20;Gr. ;ja ;nee
87;474;56;Zuidhorn                   ;1;Groninger Hoogeland en n. Westerkwartier          ;20;Gr. ;ja ;nee
88;406;53;Winsum                     ;6;Groninger centrale Weidestreek                    ;20;Gr. ;nee;nee
89;Aerdenhout;377;Bloemendaal                ;61;Overige gemeenten Zuid-Kennemerland               ;27;NH. ;ja ;nee
90;Aerdt;196;Rijnwaarden                ;26;De Lijmers                                        ;25;Gld.;ja ;nee
91;Aetveldsche Polder;457;Weesp                      ;65;Vechtstreek in Noord-Holland                      ;27;NH. ;nee;nee
92;Afferden;893;Bergen                     ;120;Noord-Limburg                                     ;31;L.  ;ja ;nee
93;Afferden;225;Druten                     ;41;Land van Maas en Waal                             ;25;Gld.;ja ;nee
94;Agelo;149;Denekamp                   ;24;Overige gemeenten in Twente                       ;23;O.  ;ja ;nee
95;313;48;Vlagtwedde                 ;4;Groninger Veenkolonien                            ;20;Gr. ;nee;nee
96;Aijen;893;Bergen                     ;120;Noord-Limburg                                     ;31;L.  ;nee;nee
97;Akersloot;360;Akersloot                  ;55;Noord-Kennemerland                                ;27;NH. ;ja ;ja 
98;725;85;Ooststellingwerf           ;9;Fries zandgebied                                  ;21;F.  ;nee;nee
99;Akker;1674;Roosendaal                 ;102;Bergen op Zoom, Roosendaal en omgeving            ;30;NB. ;nee;nee
100;Akkereind;861;Veldhoven                  ;114;Randgebied Eindhoven                              ;30;NB. ;nee;nee
101;Akkerput;692;Oostburg                   ;98;West-Zeeuwsch-Vlaanderen                          ;29;Z.  ;nee;nee
102;580;65;Dantumadeel                ;9;Fries zandgebied                                  ;21;F.  ;nee;nee
103;435;55;Boarnsterhim               ;10;Fries weidegebied                                 ;21;F.  ;ja ;nee
104;358;51;Skarsterlân                ;10;Fries weidegebied                                 ;21;F.  ;ja ;nee
105;Albergen;183;Tubbergen                  ;24;Overige gemeenten in Twente                       ;23;O.  ;ja ;nee
106;Alblasserdam;482;Alblasserdam               ;76;Industriegebied Alblasserwaard                    ;28;ZH. ;ja ;ja 
107;Albrandswaard;613;Albrandswaard              ;86;Westelijk IJsselmonde                             ;28;ZH. ;nee;ja 
108;436;55;Boarnsterhim               ;10;Fries weidegebied                                 ;21;F.  ;ja ;nee
109;Aldemiede;737;Tytsjerksteradiel          ;9;Fries zandgebied                                  ;21;F.  ;nee;nee
110;Aldtsjerk;737;Tytsjerksteradiel          ;9;Fries zandgebied                                  ;21;F.  ;nee;nee
111;Alem;263;Maasdriel                  ;42;Bommelerwaard                                     ;25;Gld.;ja ;nee
112;Alendorp;347;Vleuten-De Meern           ;49;Utrechts weidegebied                              ;26;U.  ;nee;nee
113;Alerdink;162;Heino                      ;20;IJssel-, Vechtdelta                               ;23;O.  ;nee;nee
114;407;53;Winsum                     ;6;Groninger centrale Weidestreek                    ;20;Gr. ;nee;nee
115;Alkemade;483;Alkemade                   ;72;Noordelijke veenstreek in Zuid-Holland            ;28;ZH. ;nee;ja 
116;Alkmaar;361;Alkmaar                    ;55;Noord-Kennemerland                                ;27;NH. ;ja ;ja 
117;408;53;Winsum                     ;6;Groninger centrale Weidestreek                    ;20;Gr. ;nee;nee
118;Allingawier;710;Wûnseradiel                ;10;Fries weidegebied                                 ;21;F.  ;ja ;nee
119;Almelo;141;Almelo                     ;24;Overige gemeenten in Twente                       ;23;O.  ;ja ;ja 
120;Almen;239;Gorssel                    ;28;Overige gemeenten westelijke Achterhoek           ;25;Gld.;ja ;nee
121;631;72;Harlingen                  ;12;Friese bouwstreek                                 ;21;F.  ;nee;nee
122;227;34;Almere                     ;129;Zuidelijke IJsselmeerpolders                      ;24;Fle.;ja ;ja 
123;228;34;Almere                     ;129;Zuidelijke IJsselmeerpolders                      ;24;Fle.;nee;nee
124;229;34;Almere                     ;129;Zuidelijke IJsselmeerpolders                      ;24;Fle.;nee;nee
125;230;34;Almere                     ;129;Zuidelijke IJsselmeerpolders                      ;24;Fle.;nee;nee
126;Almkerk;874;Woudrichem                 ;105;Land van Altena                                   ;30;NB. ;ja ;nee
127;Alphen;1723;Alphen-Chaam               ;108;Gebied om Tilburg                                 ;30;NB. ;ja ;nee
128;Alphen;668;West Maas en Waal          ;41;Land van Maas en Waal                             ;25;Gld.;ja ;nee
129;Alphen aan den Rijn;484;Alphen aan den Rijn        ;73;Rijnstreek Zuid-Holland                           ;28;ZH. ;ja ;ja 
130;Alphen-Chaam;1723;Alphen-Chaam               ;108;Gebied om Tilburg                                 ;30;NB. ;nee;ja 
131;Altena;1699;Noordenveld                ;14;Noorddrents randgebied                            ;22;D.  ;nee;nee
132;Alteveer;1699;Noordenveld                ;14;Noorddrents randgebied                            ;22;D.  ;ja ;nee
133;Alteveer;202;Arnhem                     ;35;Arnhem                                            ;25;Gld.;nee;nee
134;231;37;Stadskanaal                ;4;Groninger Veenkolonien                            ;20;Gr. ;ja ;nee
135;Alteveer;1690;De Wolden                  ;18;Zuiddrents randgebied                             ;22;D.  ;ja ;nee
136;Altforst;668;West Maas en Waal          ;41;Land van Maas en Waal                             ;25;Gld.;ja ;nee
137;Alting;1697;Middenveld                 ;17;Drentse zandgronden                               ;22;D.  ;nee;nee
138;Alting-Klatering;1697;Middenveld                 ;17;Drentse zandgronden                               ;22;D.  ;nee;nee
139;Altweert;988;Weert                      ;123;Midden-Limburg ten westen van de Maas             ;31;L.  ;nee;nee
140;Altweerterheide;988;Weert                      ;123;Midden-Limburg ten westen van de Maas             ;31;L.  ;nee;nee
141;Alverna;296;Wijchen                    ;40;Gebied om Nijmegen                                ;25;Gld.;nee;nee
142;Alvershool;820;Nuenen c.a.                ;114;Randgebied Eindhoven                              ;30;NB. ;nee;nee
143;Ambt Delden;142;Ambt Delden                ;24;Overige gemeenten in Twente                       ;23;O.  ;ja ;ja 
144;Ambt Montfort;1679;Ambt Montfort              ;122;Overig Midden-Limburg ten oosten v. Maas          ;31;L.  ;nee;ja 
145;Amby;935;Maastricht                 ;126;Maastricht                                        ;31;L.  ;nee;nee
146;Ameide;707;Zederik                    ;78;Vijfheerenlanden                                  ;28;ZH. ;ja ;nee
147;562;60;Ameland                    ;13;Friese Waddeneilanden                             ;21;F.  ;nee;ja 
148;877;106;Assen                      ;17;Drentse zandgronden                               ;22;D.  ;nee;nee
149;Amen;1680;Aa en Hunze                ;16;Overige gemeenten Drentse Veenkolonien            ;22;D.  ;ja ;nee
150;America;923;Horst                      ;120;Noord-Limburg                                     ;31;L.  ;ja ;nee
151;Amerongen;306;Amerongen                  ;44;Utrechtse Heuvelrug                               ;26;U.  ;ja ;ja 
152;Amersfoort;307;Amersfoort                 ;43;Utrechtse Vallei en Eemgebied                     ;26;U.  ;ja ;ja 
153;Amersfoortsestraat;342;Soest                      ;44;Utrechtse Heuvelrug                               ;26;U.  ;nee;nee
154;Ammerstol;491;Bergambacht                ;75;Krimpenerwaard                                    ;28;ZH. ;ja ;nee
155;Ammerzoden;263;Maasdriel                  ;42;Bommelerwaard                                     ;25;Gld.;ja ;nee
156;Ampsen;262;Lochem                     ;28;Overige gemeenten westelijke Achterhoek           ;25;Gld.;nee;nee
157;Amstel, Langs de;305;Abcoude                    ;48;Vechtstreek en Plassengebied in Utrecht           ;26;U.  ;nee;nee
158;Amsteldijk;362;Amstelveen                 ;64;Zuidelijk randgebied Amsterdam                    ;27;NH. ;nee;nee
159;Amsteleind;828;Oss                        ;111;Maaskant                                          ;30;NB. ;nee;nee
160;Amstelhoek;736;De Ronde Venen             ;48;Vechtstreek en Plassengebied in Utrecht           ;26;U.  ;ja ;nee
161;Amstelveen;362;Amstelveen                 ;64;Zuidelijk randgebied Amsterdam                    ;27;NH. ;ja ;ja 
162;Amstenrade;962;Schinnen                   ;124;Westelijke Mijnstreek                             ;31;L.  ;ja ;nee
163;Amsterdam;363;Amsterdam                  ;63;Amsterdam                                         ;27;NH. ;ja ;ja 
164;Amsterdam-Zuidoost;363;Amsterdam                  ;63;Amsterdam                                         ;27;NH. ;ja ;nee
165;933;114;Emmen                      ;15;Emmen, Schoonebeek                                ;22;D.  ;nee;nee
166;60;10;Delfzijl                   ;2;Appingedam, Delfzijl                              ;20;Gr. ;nee;nee
167;Andel;874;Woudrichem                 ;105;Land van Altena                                   ;30;NB. ;ja ;nee
168;409;53;Winsum                     ;6;Groninger centrale Weidestreek                    ;20;Gr. ;ja ;nee
169;Andelst;283;Valburg                    ;37;Oostelijke Betuwe                                 ;25;Gld.;ja ;nee
170;Anderen;1680;Aa en Hunze                ;16;Overige gemeenten Drentse Veenkolonien            ;22;D.  ;ja ;nee
171;Andijk;364;Andijk                     ;54;Midden- en Oostelijk West-Friesland               ;27;NH. ;ja ;ja 
172;Ane;157;Gramsbergen                ;21;Noordoost-Overijssel                              ;23;O.  ;ja ;nee
173;Anerveen;157;Gramsbergen                ;21;Noordoost-Overijssel                              ;23;O.  ;ja ;nee
174;Anevelde;157;Gramsbergen                ;21;Noordoost-Overijssel                              ;23;O.  ;ja ;nee
175;934;114;Emmen                      ;15;Emmen, Schoonebeek                                ;22;D.  ;nee;nee
176;Angeren;206;Bemmel                     ;37;Oostelijke Betuwe                                 ;25;Gld.;ja ;nee
177;Angerlo;199;Angerlo                    ;26;De Lijmers                                        ;25;Gld.;ja ;ja 
178;Anholt;1690;De Wolden                  ;18;Zuiddrents randgebied                             ;22;D.  ;nee;nee
179;502;58;Dongeradeel                ;12;Friese bouwstreek                                 ;21;F.  ;ja ;nee
180;Ankeveen;390;'s-Graveland               ;65;Vechtstreek in Noord-Holland                      ;27;NH. ;ja ;nee
181;Ankeveense Rade;390;'s-Graveland               ;65;Vechtstreek in Noord-Holland                      ;27;NH. ;nee;nee
182;Anklaar;200;Apeldoorn                  ;33;Apeldoorn                                         ;25;Gld.;nee;nee
183;Ankum;148;Dalfsen                    ;20;IJssel-, Vechtdelta                               ;23;O.  ;nee;nee
184;Anloo;1680;Aa en Hunze                ;16;Overige gemeenten Drentse Veenkolonien            ;22;D.  ;ja ;nee
185;Anna Jacobapolder;716;Tholen                     ;94;Sint Philipsland en Tholen                        ;29;Z.  ;nee;nee
186;Anna Paulowna;366;Anna Paulowna              ;52;Overige gemeenten Kop van Noord-Holland           ;27;NH. ;ja ;ja 
187;Annadal;935;Maastricht                 ;126;Maastricht                                        ;31;L.  ;nee;nee
188;Anneburen;683;Wymbritseradiel            ;10;Fries weidegebied                                 ;21;F.  ;nee;nee
189;Annen;1680;Aa en Hunze                ;16;Overige gemeenten Drentse Veenkolonien            ;22;D.  ;ja ;nee
190;Annendaal;902;Echt                       ;122;Overig Midden-Limburg ten oosten v. Maas          ;31;L.  ;nee;nee
191;Annerveen;1680;Aa en Hunze                ;16;Overige gemeenten Drentse Veenkolonien            ;22;D.  ;nee;nee
192;Annerveenschekanaal;1680;Aa en Hunze                ;16;Overige gemeenten Drentse Veenkolonien            ;22;D.  ;ja ;nee
193;Anninkshoek;164;Hengelo                    ;24;Overige gemeenten in Twente                       ;23;O.  ;nee;nee
194;878;106;Assen                      ;17;Drentse zandgronden                               ;22;D.  ;nee;nee
195;Ansen;1690;De Wolden                  ;18;Zuiddrents randgebied                             ;22;D.  ;ja ;nee
196;314;48;Vlagtwedde                 ;4;Groninger Veenkolonien                            ;20;Gr. ;ja ;nee
197;Apeldoorn;200;Apeldoorn                  ;33;Apeldoorn                                         ;25;Gld.;ja ;ja 
198;315;48;Vlagtwedde                 ;4;Groninger Veenkolonien                            ;20;Gr. ;ja ;nee
199;Apenhuizen;144;Bathmen                    ;22;Zuidwest-Overijssel                               ;23;O.  ;nee;nee
200;Aperloo;230;Elburg                     ;32;IJsselmeerkust                                    ;25;Gld.;nee;nee
201;Appel;267;Nijkerk                    ;31;Gelderse Vallei                                   ;25;Gld.;nee;nee
202;726;85;Ooststellingwerf           ;9;Fries zandgebied                                  ;21;F.  ;ja ;nee
203;Appeltern;668;West Maas en Waal          ;41;Land van Maas en Waal                             ;25;Gld.;ja ;nee
204;Appen (Scheveld);285;Voorst                     ;34;Overige gemeenten oostelijke Veluwezoom           ;25;Gld.;nee;nee
205;1;3;Appingedam                 ;2;Appingedam, Delfzijl                              ;20;Gr. ;ja ;ja 
206;Arcen;885;Arcen en Velden            ;120;Noord-Limburg                                     ;31;L.  ;ja ;nee
207;Arcen en Velden;885;Arcen en Velden            ;120;Noord-Limburg                                     ;31;L.  ;nee;ja 
208;Archem;175;Ommen                      ;21;Noordoost-Overijssel                              ;23;O.  ;nee;nee
209;Arendsnest;755;Boekel                     ;112;Midden-Meijerij                                   ;30;NB. ;nee;nee
210;Arensgenhout;951;Nuth                       ;125;Oostelijke Mijnstreek                             ;31;L.  ;nee;nee
211;Arkel;689;Giessenlanden              ;77;Overige gemeenten Alblasserwaard                  ;28;ZH. ;ja ;nee
212;597;70;Franekeradeel              ;12;Friese bouwstreek                                 ;21;F.  ;nee;nee
213;Arkum;710;Wûnseradiel                ;10;Fries weidegebied                                 ;21;F.  ;nee;nee
214;Arlo, Ten;1690;De Wolden                  ;18;Zuiddrents randgebied                             ;22;D.  ;nee;nee
215;Armhoede;262;Lochem                     ;28;Overige gemeenten westelijke Achterhoek           ;25;Gld.;nee;nee
216;Armweide;1690;De Wolden                  ;18;Zuiddrents randgebied                             ;22;D.  ;nee;nee
217;Arnemuiden;687;Middelburg                 ;95;Kanaalzone Walcheren                              ;29;Z.  ;ja ;nee
218;Arnhem;202;Arnhem                     ;35;Arnhem                                            ;25;Gld.;ja ;ja 
219;Arnoud;534;Hillegom                   ;68;Zuidhollandse Bollenstreek                        ;28;ZH. ;nee;nee
220;Arrien;175;Ommen                      ;21;Noordoost-Overijssel                              ;23;O.  ;ja ;nee
221;Arrierveld;175;Ommen                      ;21;Noordoost-Overijssel                              ;23;O.  ;nee;nee
222;Arum;710;Wûnseradiel                ;10;Fries weidegebied                                 ;21;F.  ;ja ;nee
223;61;10;Delfzijl                   ;2;Appingedam, Delfzijl                              ;20;Gr. ;nee;nee
224;As;925;Hunsel                     ;123;Midden-Limburg ten westen van de Maas             ;31;L.  ;nee;nee
225;Asch;214;Buren                      ;37;Oostelijke Betuwe                                 ;25;Gld.;ja ;nee
226;Asdonk;1659;Laarbeek                   ;115;Industriegebied Helmond                           ;30;NB. ;nee;nee
227;Asenray;957;Roermond                   ;122;Overig Midden-Limburg ten oosten v. Maas          ;31;L.  ;nee;nee
228;Asperen;733;Lingewaal                  ;38;Westelijke Betuwe                                 ;25;Gld.;ja ;nee
229;Asschat;327;Leusden                    ;43;Utrechtse Vallei en Eemgebied                     ;26;U.  ;nee;nee
230;Assel;200;Apeldoorn                  ;33;Apeldoorn                                         ;25;Gld.;nee;nee
231;Asselt;975;Swalmen                    ;122;Overig Midden-Limburg ten oosten v. Maas          ;31;L.  ;nee;nee
232;879;106;Assen                      ;17;Drentse zandgronden                               ;22;D.  ;ja ;ja 
233;Assendelft;479;Zaanstad                   ;58;Zaanstreek                                        ;27;NH. ;ja ;nee
234;Assendorp;193;Zwolle                     ;20;IJssel-, Vechtdelta                               ;23;O.  ;nee;nee
235;Assum;450;Uitgeest                   ;55;Noord-Kennemerland                                ;27;NH. ;nee;nee
236;Assumburg;396;Heemskerk                  ;59;IJmond                                            ;27;NH. ;nee;nee
237;Asten;743;Asten                      ;118;Brabantse Peel                                    ;30;NB. ;ja ;ja 
238;Atterlaken;777;Etten-Leur                 ;104;Gebied om Breda                                   ;30;NB. ;nee;nee
239;Atzeburen;710;Wûnseradiel                ;10;Fries weidegebied                                 ;21;F.  ;nee;nee
240;654;79;Kollumerland c.a.          ;12;Friese bouwstreek                                 ;21;F.  ;ja ;nee
241;541;59;Achtkarspelen              ;9;Fries zandgebied                                  ;21;F.  ;ja ;nee
242;Austerlitz;355;Zeist                      ;44;Utrechtse Heuvelrug                               ;26;U.  ;ja ;nee
243;Auvergnepolder;748;Bergen op Zoom             ;102;Bergen op Zoom, Roosendaal en omgeving            ;30;NB. ;nee;nee
244;Avenhorn;558;Wester-Koggenland          ;54;Midden- en Oostelijk West-Friesland               ;27;NH. ;ja ;nee
245;Avereest;143;Avereest                   ;21;Noordoost-Overijssel                              ;23;O.  ;nee;ja 
246;Averlo;150;Deventer                   ;22;Zuidwest-Overijssel                               ;23;O.  ;nee;nee
247;Avest;229;Eibergen                   ;30;Overige gemeenten oostelijke Achterhoek           ;25;Gld.;nee;nee
248;Avezaath;281;Tiel                       ;38;Westelijke Betuwe                                 ;25;Gld.;nee;nee
249;Axel;650;Axel                       ;99;Kanaalzone Oost-Zeeuwsch-Vlaanderen               ;29;Z.  ;ja ;ja 
250;Axelsche Sassing;650;Axel                       ;99;Kanaalzone Oost-Zeeuwsch-Vlaanderen               ;29;Z.  ;nee;nee
251;Axwijk;478;Zeevang                    ;56;Noordhollands Middengewest                        ;27;NH. ;nee;nee
252;Azelo;142;Ambt Delden                ;24;Overige gemeenten in Twente                       ;23;O.  ;nee;nee
253;Azewijn;207;Bergh                      ;27;Oude-IJsselgebied (westelijk deel)                ;25;Gld.;ja ;nee
254;811;93;Terschelling               ;13;Friese Waddeneilanden                             ;21;F.  ;ja ;nee
255;Baak;280;Steenderen                 ;28;Overige gemeenten westelijke Achterhoek           ;25;Gld.;ja ;nee
256;Baakhoven;974;Susteren                   ;124;Westelijke Mijnstreek                             ;31;L.  ;nee;nee
257;Baaks;965;Simpelveld                 ;125;Oostelijke Mijnstreek                             ;31;L.  ;nee;nee
258;Baal;206;Bemmel                     ;37;Oostelijke Betuwe                                 ;25;Gld.;nee;nee
259;Baalder;160;Hardenberg                 ;21;Noordoost-Overijssel                              ;23;O.  ;nee;nee
260;Baalhoek;675;Hontenisse                 ;100;Overige gemeenten Oost-Zeeuwsch-Vlaander          ;29;Z.  ;nee;nee
261;Baambrugge;305;Abcoude                    ;48;Vechtstreek en Plassengebied in Utrecht           ;26;U.  ;ja ;nee
262;Baambrugse Zuwe;736;De Ronde Venen             ;48;Vechtstreek en Plassengebied in Utrecht           ;26;U.  ;nee;nee
263;62;10;Delfzijl                   ;2;Appingedam, Delfzijl                              ;20;Gr. ;nee;nee
264;Baan;809;Loon op Zand               ;108;Gebied om Tilburg                                 ;30;NB. ;nee;nee
265;Baan, De;870;Werkendam                  ;105;Land van Altena                                   ;30;NB. ;nee;nee
266;Baard;140;Littenseradiel             ;10;Fries weidegebied                                 ;21;F.  ;ja ;nee
267;Baarderadeel;140;Littenseradiel             ;10;Fries weidegebied                                 ;21;F.  ;nee;nee
