ID;GoederenindelingSITC;Perioden;Invoerwaarde_1;Uitvoerwaarde_2;Handelsbalans_3;Invoerwaarde_4;Uitvoerwaarde_5
280;4 Dierlijke en plantaardige oliën en ...;2011 3e kwartaal;153.0;0.0;-153.0;;
281;4 Dierlijke en plantaardige oliën en ...;2011 4e kwartaal;162.0;0.0;-162.0;;
282;4 Dierlijke en plantaardige oliën en ...;2011;;;;;
283;4 Dierlijke en plantaardige oliën en ...;2012 1e kwartaal;188.0;0.0;-188.0;;
284;4 Dierlijke en plantaardige oliën en ...;2012 2e kwartaal;158.0;0.0;-158.0;;
285;4 Dierlijke en plantaardige oliën en ...;2012 3e kwartaal;107.0;0.0;-107.0;-30.1;0.0
286;4 Dierlijke en plantaardige oliën en ...;2012 4e kwartaal;147.0;0.0;-147.0;-9.3;0.0
287;4 Dierlijke en plantaardige oliën en ...;2012;600.0;0.0;-600.0;;
288;4 Dierlijke en plantaardige oliën en ...;2013 1e kwartaal;103.0;0.0;-103.0;-45.2;0.0
289;4 Dierlijke en plantaardige oliën en ...;2013 2e kwartaal;104.0;13.0;-91.0;-34.2;100.0
290;4 Dierlijke en plantaardige oliën en ...;2013 3e kwartaal;116.0;0.0;-116.0;8.4;0.0
291;4 Dierlijke en plantaardige oliën en ...;2013 4e kwartaal;88.0;3.0;-85.0;-40.1;100.0
292;4 Dierlijke en plantaardige oliën en ...;2013;411.0;16.0;-395.0;-31.5;100.0
293;4 Dierlijke en plantaardige oliën en ...;2014 1e kwartaal;97.0;0.0;-97.0;-5.8;0.0
294;4 Dierlijke en plantaardige oliën en ...;2014 2e kwartaal;116.0;0.0;-116.0;11.5;-100.0
295;4 Dierlijke en plantaardige oliën en ...;2014 3e kwartaal;93.0;0.0;-93.0;-19.8;0.0
296;4 Dierlijke en plantaardige oliën en ...;2014 4e kwartaal;114.0;0.0;-114.0;29.5;-100.0
297;4 Dierlijke en plantaardige oliën en ...;2014;420.0;0.0;-420.0;2.2;-100.0
298;4 Dierlijke en plantaardige oliën en ...;2015 1e kwartaal;116.0;0.0;-116.0;19.6;0.0
299;4 Dierlijke en plantaardige oliën en ...;2015 2e kwartaal;118.0;0.0;-118.0;1.7;0.0
300;4 Dierlijke en plantaardige oliën en ...;2015 3e kwartaal;97.0;0.0;-97.0;4.3;0.0
301;4 Dierlijke en plantaardige oliën en ...;2015 4e kwartaal;72.0;0.0;-72.0;-36.8;0.0
302;4 Dierlijke en plantaardige oliën en ...;2015;404.0;0.0;-404.0;-3.8;0.0
303;4 Dierlijke en plantaardige oliën en ...;2016 1e kwartaal;95.0;0.0;-95.0;-18.1;0.0
304;4 Dierlijke en plantaardige oliën en ...;2016 2e kwartaal;98.0;0.0;-98.0;-16.9;0.0
305;4 Dierlijke en plantaardige oliën en ...;2016 3e kwartaal;100.0;21.0;-79.0;3.1;100.0
306;4 Dierlijke en plantaardige oliën en ...;2016 4e kwartaal;84.0;0.0;-84.0;16.7;0.0
307;4 Dierlijke en plantaardige oliën en ...;2016;376.0;21.0;-355.0;-6.9;100.0
308;4 Dierlijke en plantaardige oliën en ...;2017 1e kwartaal;92.0;0.0;-92.0;-3.2;0.0
309;4 Dierlijke en plantaardige oliën en ...;2017 2e kwartaal;117.0;0.0;-117.0;19.4;0.0
310;4 Dierlijke en plantaardige oliën en ...;2017 3e kwartaal;129.0;15.0;-114.0;29.0;-28.6
311;4 Dierlijke en plantaardige oliën en ...;2017 4e kwartaal;112.0;0.0;-112.0;33.3;0.0
312;4 Dierlijke en plantaardige oliën en ...;2017;450.0;15.0;-435.0;19.7;-28.6
313;4 Dierlijke en plantaardige oliën en ...;2018 1e kwartaal;86.0;15.0;-71.0;-6.5;100.0
314;4 Dierlijke en plantaardige oliën en ...;2018 2e kwartaal;153.0;15.0;-138.0;30.8;100.0
315;4 Dierlijke en plantaardige oliën en ...;2018 3e kwartaal;99.0;14.0;-85.0;-23.3;-6.7
316;4 Dierlijke en plantaardige oliën en ...;2018 4e kwartaal;57.0;0.0;-57.0;-49.1;0.0
317;4 Dierlijke en plantaardige oliën en ...;2018;395.0;43.0;-352.0;-12.2;186.7
318;4 Dierlijke en plantaardige oliën en ...;2019 1e kwartaal;89.0;13.0;-76.0;3.5;-13.3
319;4 Dierlijke en plantaardige oliën en ...;2019 2e kwartaal;64.0;12.0;-52.0;-58.2;-20.0
320;4 Dierlijke en plantaardige oliën en ...;2019 3e kwartaal;174.0;33.0;-141.0;75.8;135.7
321;4 Dierlijke en plantaardige oliën en ...;2019 4e kwartaal;122.0;0.0;-122.0;114.0;0.0
322;4 Dierlijke en plantaardige oliën en ...;2019;450.0;58.0;-392.0;13.9;34.9
323;4 Dierlijke en plantaardige oliën en ...;2020 1e kwartaal;79.0;14.0;-65.0;-11.2;7.7
324;4 Dierlijke en plantaardige oliën en ...;2020 2e kwartaal;174.0;11.0;-163.0;171.9;-8.3
325;4 Dierlijke en plantaardige oliën en ...;2020 3e kwartaal;106.0;0.0;-106.0;-39.1;-100.0
326;4 Dierlijke en plantaardige oliën en ...;2020 4e kwartaal;119.0;0.0;-119.0;-2.5;0.0
327;4 Dierlijke en plantaardige oliën en ...;2020;477.0;25.0;-452.0;6.0;-56.9
328;4 Dierlijke en plantaardige oliën en ...;2021 1e kwartaal;67.0;21.0;-46.0;-15.2;50.0
329;4 Dierlijke en plantaardige oliën en ...;2021 2e kwartaal;197.0;21.0;-176.0;13.2;90.9
330;4 Dierlijke en plantaardige oliën en ...;2021 3e kwartaal;261.0;0.0;-261.0;146.2;0.0
331;4 Dierlijke en plantaardige oliën en ...;2021 4e kwartaal;204.0;0.0;-204.0;71.4;0.0
332;4 Dierlijke en plantaardige oliën en ...;2021;728.0;43.0;-685.0;52.6;72.0
333;4 Dierlijke en plantaardige oliën en ...;2022 1e kwartaal;210.0;29.0;-181.0;213.4;38.1
334;4 Dierlijke en plantaardige oliën en ...;2022 2e kwartaal;357.0;0.0;-357.0;81.2;-100.0
335;4 Dierlijke en plantaardige oliën en ...;2022 3e kwartaal;169.0;15.0;-154.0;-35.2;100.0
336;5 Chemische producten;2011 3e kwartaal;2983.0;13.0;-2970.0;;
337;5 Chemische producten;2011 4e kwartaal;4188.0;7.0;-4181.0;;
338;5 Chemische producten;2011;;;;;
339;5 Chemische producten;2012 1e kwartaal;3644.0;27.0;-3617.0;;
340;5 Chemische producten;2012 2e kwartaal;3713.0;24.0;-3689.0;;
341;5 Chemische producten;2012 3e kwartaal;3481.0;108.0;-3373.0;16.7;730.8
342;5 Chemische producten;2012 4e kwartaal;3973.0;11.0;-3962.0;-5.1;57.1
343;5 Chemische producten;2012;14811.0;171.0;-14640.0;;
344;5 Chemische producten;2013 1e kwartaal;3534.0;7.0;-3527.0;-3.0;-74.1
345;5 Chemische producten;2013 2e kwartaal;3682.0;2.0;-3680.0;-0.8;-91.7
346;5 Chemische producten;2013 3e kwartaal;3659.0;16.0;-3643.0;5.1;-85.2
347;5 Chemische producten;2013 4e kwartaal;4127.0;3.0;-4124.0;3.9;-72.7
348;5 Chemische producten;2013;15002.0;29.0;-14973.0;1.3;-83.0
349;5 Chemische producten;2014 1e kwartaal;4310.0;32.0;-4278.0;22.0;357.1
350;5 Chemische producten;2014 2e kwartaal;3894.0;6.0;-3888.0;5.8;200.0
351;5 Chemische producten;2014 3e kwartaal;3727.0;15.0;-3712.0;1.9;-6.3
352;5 Chemische producten;2014 4e kwartaal;4598.0;13.0;-4585.0;11.4;333.3
353;5 Chemische producten;2014;16529.0;66.0;-16463.0;10.2;127.6
354;5 Chemische producten;2015 1e kwartaal;4155.0;54.0;-4101.0;-3.6;68.8
355;5 Chemische producten;2015 2e kwartaal;4709.0;19.0;-4690.0;20.9;216.7
356;5 Chemische producten;2015 3e kwartaal;4195.0;196.0;-3999.0;12.6;1206.7
357;5 Chemische producten;2015 4e kwartaal;4670.0;12.0;-4658.0;1.6;-7.7
358;5 Chemische producten;2015;17729.0;281.0;-17448.0;7.3;325.8
359;5 Chemische producten;2016 1e kwartaal;4395.0;42.0;-4353.0;5.8;-22.2
360;5 Chemische producten;2016 2e kwartaal;4926.0;13.0;-4913.0;4.6;-31.6
361;5 Chemische producten;2016 3e kwartaal;5706.0;21.0;-5685.0;36.0;-89.3
362;5 Chemische producten;2016 4e kwartaal;4668.0;46.0;-4622.0;0.0;283.3
363;5 Chemische producten;2016;19695.0;122.0;-19573.0;11.1;-56.6
364;5 Chemische producten;2017 1e kwartaal;4443.0;23.0;-4420.0;1.1;-45.2
365;5 Chemische producten;2017 2e kwartaal;4668.0;17.0;-4651.0;-5.2;30.8
366;5 Chemische producten;2017 3e kwartaal;4706.0;61.0;-4645.0;-17.5;190.5
367;5 Chemische producten;2017 4e kwartaal;5406.0;39.0;-5367.0;15.8;-15.2
368;5 Chemische producten;2017;19222.0;140.0;-19082.0;-2.4;14.8
369;5 Chemische producten;2018 1e kwartaal;4890.0;15.0;-4875.0;10.1;-34.8
370;5 Chemische producten;2018 2e kwartaal;5759.0;93.0;-5666.0;23.4;447.1
371;5 Chemische producten;2018 3e kwartaal;5229.0;12.0;-5217.0;11.1;-80.3
372;5 Chemische producten;2018 4e kwartaal;5355.0;14.0;-5341.0;-0.9;-64.1
373;5 Chemische producten;2018;21233.0;133.0;-21100.0;10.5;-5.0
374;5 Chemische producten;2019 1e kwartaal;5422.0;7.0;-5415.0;10.9;-53.3
375;5 Chemische producten;2019 2e kwartaal;5878.0;75.0;-5803.0;2.1;-19.4
376;5 Chemische producten;2019 3e kwartaal;5669.0;34.0;-5635.0;8.4;183.3
377;5 Chemische producten;2019 4e kwartaal;5665.0;19.0;-5646.0;5.8;35.7
378;5 Chemische producten;2019;22633.0;135.0;-22498.0;6.6;1.5
379;5 Chemische producten;2020 1e kwartaal;5990.0;37.0;-5953.0;10.5;428.6
380;5 Chemische producten;2020 2e kwartaal;6015.0;1.0;-6014.0;2.3;-98.7
381;5 Chemische producten;2020 3e kwartaal;6768.0;23.0;-6745.0;19.4;-32.4
382;5 Chemische producten;2020 4e kwartaal;6509.0;8.0;-6501.0;14.9;-57.9
383;5 Chemische producten;2020;25282.0;69.0;-25213.0;11.7;-48.9
384;5 Chemische producten;2021 1e kwartaal;6601.0;0.0;-6601.0;10.2;-100.0
385;5 Chemische producten;2021 2e kwartaal;7159.0;32.0;-7127.0;19.0;3100.0
386;5 Chemische producten;2021 3e kwartaal;6730.0;25.0;-6705.0;-0.6;8.7
387;5 Chemische producten;2021 4e kwartaal;7217.0;23.0;-7194.0;10.9;187.5
388;5 Chemische producten;2021;27708.0;81.0;-27627.0;9.6;17.4
389;5 Chemische producten;2022 1e kwartaal;7242.0;11.0;-7231.0;9.7;100.0
390;5 Chemische producten;2022 2e kwartaal;7284.0;14.0;-7270.0;1.7;-56.3
391;5 Chemische producten;2022 3e kwartaal;7217.0;16.0;-7201.0;7.2;-36.0
392;6 Fabricaten hoofdzakelijk gerangschi...;2011 3e kwartaal;7211.0;992.0;-6219.0;;
393;6 Fabricaten hoofdzakelijk gerangschi...;2011 4e kwartaal;7023.0;706.0;-6317.0;;
394;6 Fabricaten hoofdzakelijk gerangschi...;2011;;;;;
395;6 Fabricaten hoofdzakelijk gerangschi...;2012 1e kwartaal;6006.0;713.0;-5293.0;;
396;6 Fabricaten hoofdzakelijk gerangschi...;2012 2e kwartaal;7148.0;582.0;-6566.0;;
397;6 Fabricaten hoofdzakelijk gerangschi...;2012 3e kwartaal;6373.0;454.0;-5919.0;-11.6;-54.2
398;6 Fabricaten hoofdzakelijk gerangschi...;2012 4e kwartaal;6933.0;311.0;-6622.0;-1.3;-55.9
399;6 Fabricaten hoofdzakelijk gerangschi...;2012;26460.0;2059.0;-24401.0;;
400;6 Fabricaten hoofdzakelijk gerangschi...;2013 1e kwartaal;5514.0;379.0;-5135.0;-8.2;-46.8
401;6 Fabricaten hoofdzakelijk gerangschi...;2013 2e kwartaal;5166.0;422.0;-4744.0;-27.7;-27.5
402;6 Fabricaten hoofdzakelijk gerangschi...;2013 3e kwartaal;6232.0;469.0;-5763.0;-2.2;3.3
403;6 Fabricaten hoofdzakelijk gerangschi...;2013 4e kwartaal;7902.0;739.0;-7163.0;14.0;137.6
404;6 Fabricaten hoofdzakelijk gerangschi...;2013;24813.0;2009.0;-22804.0;-6.2;-2.4
405;6 Fabricaten hoofdzakelijk gerangschi...;2014 1e kwartaal;5333.0;344.0;-4989.0;-3.3;-9.2
406;6 Fabricaten hoofdzakelijk gerangschi...;2014 2e kwartaal;4923.0;330.0;-4593.0;-4.7;-21.8
407;6 Fabricaten hoofdzakelijk gerangschi...;2014 3e kwartaal;6676.0;319.0;-6357.0;7.1;-32.0
408;6 Fabricaten hoofdzakelijk gerangschi...;2014 4e kwartaal;6694.0;374.0;-6320.0;-15.3;-49.4
409;6 Fabricaten hoofdzakelijk gerangschi...;2014;23626.0;1366.0;-22260.0;-4.8;-32.0
410;6 Fabricaten hoofdzakelijk gerangschi...;2015 1e kwartaal;5138.0;346.0;-4792.0;-3.7;0.6
411;6 Fabricaten hoofdzakelijk gerangschi...;2015 2e kwartaal;7628.0;526.0;-7102.0;54.9;59.4
412;6 Fabricaten hoofdzakelijk gerangschi...;2015 3e kwartaal;10486.0;321.0;-10165.0;57.1;0.6
413;6 Fabricaten hoofdzakelijk gerangschi...;2015 4e kwartaal;8825.0;367.0;-8458.0;31.8;-1.9
414;6 Fabricaten hoofdzakelijk gerangschi...;2015;32078.0;1559.0;-30519.0;35.8;14.1
415;6 Fabricaten hoofdzakelijk gerangschi...;2016 1e kwartaal;6853.0;590.0;-6263.0;33.4;70.5
416;6 Fabricaten hoofdzakelijk gerangschi...;2016 2e kwartaal;9081.0;650.0;-8431.0;19.0;23.6
417;6 Fabricaten hoofdzakelijk gerangschi...;2016 3e kwartaal;9427.0;613.0;-8814.0;-10.1;91.0
418;6 Fabricaten hoofdzakelijk gerangschi...;2016 4e kwartaal;10078.0;677.0;-9401.0;14.2;84.5
419;6 Fabricaten hoofdzakelijk gerangschi...;2016;35439.0;2530.0;-32909.0;10.5;62.3
420;6 Fabricaten hoofdzakelijk gerangschi...;2017 1e kwartaal;6655.0;680.0;-5975.0;-2.9;15.3
421;6 Fabricaten hoofdzakelijk gerangschi...;2017 2e kwartaal;8132.0;781.0;-7351.0;-10.5;20.2
422;6 Fabricaten hoofdzakelijk gerangschi...;2017 3e kwartaal;8284.0;671.0;-7613.0;-12.1;9.5
423;6 Fabricaten hoofdzakelijk gerangschi...;2017 4e kwartaal;8854.0;739.0;-8115.0;-12.1;9.2
424;6 Fabricaten hoofdzakelijk gerangschi...;2017;31925.0;2871.0;-29054.0;-9.9;13.5
425;6 Fabricaten hoofdzakelijk gerangschi...;2018 1e kwartaal;8027.0;774.0;-7253.0;20.6;13.8
426;6 Fabricaten hoofdzakelijk gerangschi...;2018 2e kwartaal;9622.0;767.0;-8855.0;18.3;-1.8
427;6 Fabricaten hoofdzakelijk gerangschi...;2018 3e kwartaal;9815.0;806.0;-9009.0;18.5;20.1
428;6 Fabricaten hoofdzakelijk gerangschi...;2018 4e kwartaal;10091.0;837.0;-9254.0;14.0;13.3
429;6 Fabricaten hoofdzakelijk gerangschi...;2018;37555.0;3185.0;-34370.0;17.6;10.9
430;6 Fabricaten hoofdzakelijk gerangschi...;2019 1e kwartaal;8732.0;741.0;-7991.0;8.8;-4.3
431;6 Fabricaten hoofdzakelijk gerangschi...;2019 2e kwartaal;10547.0;702.0;-9845.0;9.6;-8.5
432;6 Fabricaten hoofdzakelijk gerangschi...;2019 3e kwartaal;9628.0;671.0;-8957.0;-1.9;-16.7
433;6 Fabricaten hoofdzakelijk gerangschi...;2019 4e kwartaal;11680.0;600.0;-11080.0;15.7;-28.3
434;6 Fabricaten hoofdzakelijk gerangschi...;2019;40588.0;2714.0;-37874.0;8.1;-14.8
435;6 Fabricaten hoofdzakelijk gerangschi...;2020 1e kwartaal;12226.0;809.0;-11417.0;40.0;9.2
436;6 Fabricaten hoofdzakelijk gerangschi...;2020 2e kwartaal;9683.0;555.0;-9128.0;-8.2;-20.9
437;6 Fabricaten hoofdzakelijk gerangschi...;2020 3e kwartaal;10595.0;589.0;-10006.0;10.0;-12.2
438;6 Fabricaten hoofdzakelijk gerangschi...;2020 4e kwartaal;11721.0;606.0;-11115.0;0.4;1.0
439;6 Fabricaten hoofdzakelijk gerangschi...;2020;44226.0;2559.0;-41667.0;9.0;-5.7
440;6 Fabricaten hoofdzakelijk gerangschi...;2021 1e kwartaal;11245.0;684.0;-10561.0;-8.0;-15.5
441;6 Fabricaten hoofdzakelijk gerangschi...;2021 2e kwartaal;10580.0;737.0;-9843.0;9.3;32.8
442;6 Fabricaten hoofdzakelijk gerangschi...;2021 3e kwartaal;11714.0;1040.0;-10674.0;10.6;76.6
443;6 Fabricaten hoofdzakelijk gerangschi...;2021 4e kwartaal;14046.0;815.0;-13231.0;19.8;34.5
444;6 Fabricaten hoofdzakelijk gerangschi...;2021;47585.0;3277.0;-44308.0;7.6;28.1
445;6 Fabricaten hoofdzakelijk gerangschi...;2022 1e kwartaal;12941.0;802.0;-12139.0;15.1;17.3
446;6 Fabricaten hoofdzakelijk gerangschi...;2022 2e kwartaal;15241.0;672.0;-14569.0;44.1;-8.8
447;6 Fabricaten hoofdzakelijk gerangschi...;2022 3e kwartaal;16323.0;833.0;-15490.0;39.3;-19.9
448;7 Machines en vervoermaterieel;2011 3e kwartaal;9391.0;2365.0;-7026.0;;
449;7 Machines en vervoermaterieel;2011 4e kwartaal;13027.0;704.0;-12323.0;;
450;7 Machines en vervoermaterieel;2011;;;;;
451;7 Machines en vervoermaterieel;2012 1e kwartaal;8705.0;699.0;-8006.0;;
452;7 Machines en vervoermaterieel;2012 2e kwartaal;11674.0;630.0;-11044.0;;
453;7 Machines en vervoermaterieel;2012 3e kwartaal;8794.0;2165.0;-6629.0;-6.4;-8.5
454;7 Machines en vervoermaterieel;2012 4e kwartaal;11720.0;2199.0;-9521.0;-10.0;212.4
455;7 Machines en vervoermaterieel;2012;40893.0;5693.0;-35200.0;;
456;7 Machines en vervoermaterieel;2013 1e kwartaal;10092.0;3868.0;-6224.0;15.9;453.4
457;7 Machines en vervoermaterieel;2013 2e kwartaal;8820.0;478.0;-8342.0;-24.4;-24.1
458;7 Machines en vervoermaterieel;2013 3e kwartaal;8552.0;1202.0;-7350.0;-2.8;-44.5
459;7 Machines en vervoermaterieel;2013 4e kwartaal;13052.0;711.0;-12341.0;11.4;-67.7
460;7 Machines en vervoermaterieel;2013;40516.0;6260.0;-34256.0;-0.9;10.0
461;7 Machines en vervoermaterieel;2014 1e kwartaal;9308.0;954.0;-8354.0;-7.8;-75.3
462;7 Machines en vervoermaterieel;2014 2e kwartaal;9145.0;551.0;-8594.0;3.7;15.3
463;7 Machines en vervoermaterieel;2014 3e kwartaal;9562.0;1881.0;-7681.0;11.8;56.5
464;7 Machines en vervoermaterieel;2014 4e kwartaal;10847.0;1315.0;-9532.0;-16.9;85.0
465;7 Machines en vervoermaterieel;2014;38863.0;4701.0;-34162.0;-4.1;-24.9
466;7 Machines en vervoermaterieel;2015 1e kwartaal;11746.0;432.0;-11314.0;26.2;-54.7
467;7 Machines en vervoermaterieel;2015 2e kwartaal;10770.0;795.0;-9975.0;17.8;44.3
468;7 Machines en vervoermaterieel;2015 3e kwartaal;11399.0;704.0;-10695.0;19.2;-62.6
469;7 Machines en vervoermaterieel;2015 4e kwartaal;13351.0;608.0;-12743.0;23.1;-53.8
470;7 Machines en vervoermaterieel;2015;47266.0;2539.0;-44727.0;21.6;-46.0
471;7 Machines en vervoermaterieel;2016 1e kwartaal;12554.0;408.0;-12146.0;6.9;-5.6
472;7 Machines en vervoermaterieel;2016 2e kwartaal;11651.0;703.0;-10948.0;8.2;-11.6
473;7 Machines en vervoermaterieel;2016 3e kwartaal;11900.0;460.0;-11440.0;4.4;-34.7
474;7 Machines en vervoermaterieel;2016 4e kwartaal;14149.0;638.0;-13511.0;6.0;4.9
475;7 Machines en vervoermaterieel;2016;50254.0;2209.0;-48045.0;6.3;-13.0
476;7 Machines en vervoermaterieel;2017 1e kwartaal;12778.0;519.0;-12259.0;1.8;27.2
477;7 Machines en vervoermaterieel;2017 2e kwartaal;12658.0;700.0;-11958.0;8.6;-0.4
478;7 Machines en vervoermaterieel;2017 3e kwartaal;16577.0;456.0;-16121.0;39.3;-0.9
479;7 Machines en vervoermaterieel;2017 4e kwartaal;15270.0;427.0;-14843.0;7.9;-33.1
480;7 Machines en vervoermaterieel;2017;57282.0;2103.0;-55179.0;14.0;-4.8
481;7 Machines en vervoermaterieel;2018 1e kwartaal;14355.0;508.0;-13847.0;12.3;-2.1
482;7 Machines en vervoermaterieel;2018 2e kwartaal;13239.0;408.0;-12831.0;4.6;-41.7
483;7 Machines en vervoermaterieel;2018 3e kwartaal;12953.0;516.0;-12437.0;-21.9;13.2
484;7 Machines en vervoermaterieel;2018 4e kwartaal;18614.0;371.0;-18243.0;21.9;-13.1
485;7 Machines en vervoermaterieel;2018;59162.0;1803.0;-57359.0;3.3;-14.3
486;7 Machines en vervoermaterieel;2019 1e kwartaal;20066.0;535.0;-19531.0;39.8;5.3
487;7 Machines en vervoermaterieel;2019 2e kwartaal;15654.0;495.0;-15159.0;18.2;21.3
488;7 Machines en vervoermaterieel;2019 3e kwartaal;25270.0;1537.0;-23733.0;95.1;197.9
489;7 Machines en vervoermaterieel;2019 4e kwartaal;18858.0;1517.0;-17341.0;1.3;308.9
490;7 Machines en vervoermaterieel;2019;79848.0;4085.0;-75763.0;35.0;126.6
491;7 Machines en vervoermaterieel;2020 1e kwartaal;16087.0;686.0;-15401.0;-19.8;28.2
492;7 Machines en vervoermaterieel;2020 2e kwartaal;12113.0;456.0;-11657.0;-22.6;-7.9
493;7 Machines en vervoermaterieel;2020 3e kwartaal;16111.0;811.0;-15300.0;-36.2;-47.2
494;7 Machines en vervoermaterieel;2020 4e kwartaal;16547.0;752.0;-15795.0;-12.3;-50.4
495;7 Machines en vervoermaterieel;2020;60858.0;2705.0;-58153.0;-23.8;-33.8
496;7 Machines en vervoermaterieel;2021 1e kwartaal;20779.0;768.0;-20011.0;29.2;12.0
497;7 Machines en vervoermaterieel;2021 2e kwartaal;17781.0;493.0;-17288.0;46.8;8.1
498;7 Machines en vervoermaterieel;2021 3e kwartaal;18031.0;954.0;-17077.0;11.9;17.6
499;7 Machines en vervoermaterieel;2021 4e kwartaal;23417.0;812.0;-22605.0;41.5;8.0
500;7 Machines en vervoermaterieel;2021;80008.0;3027.0;-76981.0;31.5;11.9
501;7 Machines en vervoermaterieel;2022 1e kwartaal;21382.0;829.0;-20553.0;2.9;7.9
502;7 Machines en vervoermaterieel;2022 2e kwartaal;22464.0;749.0;-21715.0;26.3;51.9
503;7 Machines en vervoermaterieel;2022 3e kwartaal;28431.0;703.0;-27728.0;57.7;-26.3
504;8 Diverse gefabriceerde goederen;2011 3e kwartaal;7353.0;266.0;-7087.0;;
505;8 Diverse gefabriceerde goederen;2011 4e kwartaal;8551.0;181.0;-8370.0;;
506;8 Diverse gefabriceerde goederen;2011;;;;;
507;8 Diverse gefabriceerde goederen;2012 1e kwartaal;5666.0;330.0;-5336.0;;
508;8 Diverse gefabriceerde goederen;2012 2e kwartaal;7190.0;496.0;-6694.0;;
509;8 Diverse gefabriceerde goederen;2012 3e kwartaal;6428.0;380.0;-6048.0;-12.6;42.9
510;8 Diverse gefabriceerde goederen;2012 4e kwartaal;7528.0;525.0;-7003.0;-12.0;190.1
511;8 Diverse gefabriceerde goederen;2012;26812.0;1731.0;-25081.0;;
512;8 Diverse gefabriceerde goederen;2013 1e kwartaal;5856.0;197.0;-5659.0;3.4;-40.3
513;8 Diverse gefabriceerde goederen;2013 2e kwartaal;5096.0;257.0;-4839.0;-29.1;-48.2
514;8 Diverse gefabriceerde goederen;2013 3e kwartaal;6712.0;176.0;-6536.0;4.4;-53.7
515;8 Diverse gefabriceerde goederen;2013 4e kwartaal;6989.0;747.0;-6242.0;-7.2;42.3
516;8 Diverse gefabriceerde goederen;2013;24653.0;1378.0;-23275.0;-8.1;-20.4
517;8 Diverse gefabriceerde goederen;2014 1e kwartaal;5315.0;281.0;-5034.0;-9.2;42.6
518;8 Diverse gefabriceerde goederen;2014 2e kwartaal;5531.0;325.0;-5206.0;8.5;26.5
519;8 Diverse gefabriceerde goederen;2014 3e kwartaal;6391.0;233.0;-6158.0;-4.8;32.4
520;8 Diverse gefabriceerde goederen;2014 4e kwartaal;8466.0;336.0;-8130.0;21.1;-55.0
521;8 Diverse gefabriceerde goederen;2014;25704.0;1175.0;-24529.0;4.3;-14.7
522;8 Diverse gefabriceerde goederen;2015 1e kwartaal;5716.0;175.0;-5541.0;7.5;-37.7
523;8 Diverse gefabriceerde goederen;2015 2e kwartaal;5857.0;333.0;-5524.0;5.9;2.5
524;8 Diverse gefabriceerde goederen;2015 3e kwartaal;6682.0;472.0;-6210.0;4.6;102.6
525;8 Diverse gefabriceerde goederen;2015 4e kwartaal;8174.0;345.0;-7829.0;-3.4;2.7
526;8 Diverse gefabriceerde goederen;2015;26429.0;1325.0;-25104.0;2.8;12.8
527;8 Diverse gefabriceerde goederen;2016 1e kwartaal;6915.0;174.0;-6741.0;21.0;-0.6
528;8 Diverse gefabriceerde goederen;2016 2e kwartaal;7481.0;258.0;-7223.0;27.7;-22.5
529;8 Diverse gefabriceerde goederen;2016 3e kwartaal;8771.0;167.0;-8604.0;31.3;-64.6
530;8 Diverse gefabriceerde goederen;2016 4e kwartaal;8804.0;146.0;-8658.0;7.7;-57.7
531;8 Diverse gefabriceerde goederen;2016;31972.0;745.0;-31227.0;21.0;-43.8
532;8 Diverse gefabriceerde goederen;2017 1e kwartaal;6402.0;190.0;-6212.0;-7.4;9.2
533;8 Diverse gefabriceerde goederen;2017 2e kwartaal;6748.0;602.0;-6146.0;-9.8;133.3
534;8 Diverse gefabriceerde goederen;2017 3e kwartaal;9568.0;301.0;-9267.0;9.1;80.2
535;8 Diverse gefabriceerde goederen;2017 4e kwartaal;9715.0;202.0;-9513.0;10.3;38.4
536;8 Diverse gefabriceerde goederen;2017;32433.0;1295.0;-31138.0;1.4;73.8
537;8 Diverse gefabriceerde goederen;2018 1e kwartaal;8543.0;196.0;-8347.0;33.4;3.2
538;8 Diverse gefabriceerde goederen;2018 2e kwartaal;8356.0;218.0;-8138.0;23.8;-63.8
539;8 Diverse gefabriceerde goederen;2018 3e kwartaal;7799.0;316.0;-7483.0;-18.5;5.0
540;8 Diverse gefabriceerde goederen;2018 4e kwartaal;9543.0;728.0;-8815.0;-1.8;260.4
541;8 Diverse gefabriceerde goederen;2018;34241.0;1458.0;-32783.0;5.6;12.6
542;8 Diverse gefabriceerde goederen;2019 1e kwartaal;8817.0;254.0;-8563.0;3.2;29.6
543;8 Diverse gefabriceerde goederen;2019 2e kwartaal;8655.0;505.0;-8150.0;3.6;131.7
544;8 Diverse gefabriceerde goederen;2019 3e kwartaal;8016.0;678.0;-7338.0;2.8;114.6
545;8 Diverse gefabriceerde goederen;2019 4e kwartaal;10781.0;349.0;-10432.0;13.0;-52.1
546;8 Diverse gefabriceerde goederen;2019;36269.0;1786.0;-34483.0;5.9;22.5
547;8 Diverse gefabriceerde goederen;2020 1e kwartaal;8868.0;635.0;-8233.0;0.6;150.0
548;8 Diverse gefabriceerde goederen;2020 2e kwartaal;6702.0;100.0;-6602.0;-22.6;-80.2
549;8 Diverse gefabriceerde goederen;2020 3e kwartaal;10912.0;595.0;-10317.0;36.1;-12.2
550;8 Diverse gefabriceerde goederen;2020 4e kwartaal;9914.0;556.0;-9358.0;-8.0;59.3
551;8 Diverse gefabriceerde goederen;2020;36396.0;1886.0;-34510.0;0.4;5.6
