ID;Plaatsnamen;Gemeentecode_1;Naam_2;Code_3;Naam_4;Code_5;NaamAfkorting_6;PTTWoonplaatsnaam_7;Gemeentenaam_8
1943;Groote Polder;878;Zevenbergen                ;101;Zeekleigebied in Noord-Brabant                    ;30;NB. ;nee;nee
1944;Grootebroek;532;Stede Broec                ;54;Midden- en Oostelijk West-Friesland               ;27;NH. ;ja ;nee
1945;124;15;Grootegast                 ;5;Groninger zuidelijk Westerkwartier                ;20;Gr. ;ja ;ja 
1946;Grootgenhout;888;Beek                       ;124;Westelijke Mijnstreek                             ;31;L.  ;nee;nee
1947;Grootschermer;458;Schermer                   ;56;Noordhollands Middengewest                        ;27;NH. ;ja ;nee
1948;Grosthuizen;558;Wester-Koggenland          ;54;Midden- en Oostelijk West-Friesland               ;27;NH. ;nee;nee
1949;Grote Koolwijk;835;Ravenstein                 ;111;Maaskant                                          ;30;NB. ;nee;nee
1950;Grote Veld (ged.);262;Lochem                     ;28;Overige gemeenten westelijke Achterhoek           ;25;Gld.;nee;nee
1951;Grote Veld (ged.);286;Vorden                     ;28;Overige gemeenten westelijke Achterhoek           ;25;Gld.;nee;nee
1952;Grote Zilk;576;Noordwijkerhout            ;68;Zuidhollandse Bollenstreek                        ;28;ZH. ;nee;nee
1953;Grote en Kleine Heide;983;Venlo                      ;121;Industriegebied Venlo-Beesel                      ;31;L.  ;nee;nee
1954;447;55;Boarnsterhim               ;10;Fries weidegebied                                 ;21;F.  ;ja ;nee
1955;Grubbenvorst;912;Grubbenvorst               ;120;Noord-Limburg                                     ;31;L.  ;ja ;ja 
1956;Gulpen;913;Gulpen                     ;127;Overige gemeenten Zuid-Limburg                    ;31;L.  ;ja ;ja 
1957;Gun;993;Meerlo-Wanssum             ;120;Noord-Limburg                                     ;31;L.  ;nee;nee
1958;Guttecoven;968;Sittard                    ;124;Westelijke Mijnstreek                             ;31;L.  ;ja ;nee
1959;Gytsjerk;737;Tytsjerksteradiel          ;9;Fries zandgebied                                  ;21;F.  ;ja ;nee
1960;Haaften;304;Neerijnen                  ;38;Westelijke Betuwe                                 ;25;Gld.;ja ;nee
1961;Haagje;316;Driebergen-Rijsenburg      ;44;Utrechtse Heuvelrug                               ;26;U.  ;nee;nee
1962;Haagje, 't;194;Brederwiede                ;19;Noordwest-Overijssel                              ;23;O.  ;nee;nee
1963;Haagoord;738;Aalburg                    ;105;Land van Altena                                   ;30;NB. ;nee;nee
1964;Haagse-Beemden;758;Breda                      ;103;Breda                                             ;30;NB. ;nee;nee
1965;Haaksbergen;158;Haaksbergen                ;24;Overige gemeenten in Twente                       ;23;O.  ;ja ;ja 
1966;Haakswold;128;Ruinerwold                 ;17;Drentse zandgronden                               ;22;D.  ;nee;nee
1967;Haal, De;431;Oostzaan                   ;57;Waterland                                         ;27;NH. ;nee;nee
1968;Haalderen;206;Bemmel                     ;37;Oostelijke Betuwe                                 ;25;Gld.;ja ;nee
1969;Haaldersbroek;479;Zaanstad                   ;58;Zaanstreek                                        ;27;NH. ;nee;nee
1970;Haamstede;1676;Schouwen-Duiveland         ;93;Schouwen-Duiveland                                ;29;Z.  ;nee;nee
1971;Haanrade;928;Kerkrade                   ;125;Oostelijke Mijnstreek                             ;31;L.  ;nee;nee
1972;Haansberg;777;Etten-Leur                 ;104;Gebied om Breda                                   ;30;NB. ;nee;nee
1973;Haantje, 't;130;Sleen                      ;17;Drentse zandgronden                               ;22;D.  ;ja ;nee
1974;708;81;Leeuwarderadeel            ;12;Friese bouwstreek                                 ;21;F.  ;nee;nee
1975;Haantje, 't;603;Rijswijk                   ;80;Randgebied 's-Gravenhage                          ;28;ZH. ;nee;nee
1976;Haanwijk;845;Sint-Michielsgestel        ;110;Gebied om 's-Hertogenbosch en Vught               ;30;NB. ;nee;nee
1977;Haanwijk;318;Harmelen                   ;49;Utrechts weidegebied                              ;26;U.  ;nee;nee
1978;Haar;306;Amerongen                  ;44;Utrechtse Heuvelrug                               ;26;U.  ;nee;nee
1979;Haar;289;Wageningen                 ;36;Overige gemeenten zuidelijke Veluwezoom           ;25;Gld.;nee;nee
1980;218;25;Marum                      ;5;Groninger zuidelijk Westerkwartier                ;20;Gr. ;nee;nee
1981;Haar, De;313;Bunschoten                 ;43;Utrechtse Vallei en Eemgebied                     ;26;U.  ;nee;nee
1982;Haar, De;278;Ruurlo                     ;28;Overige gemeenten westelijke Achterhoek           ;25;Gld.;nee;nee
1983;Haar, De;130;Sleen                      ;17;Drentse zandgronden                               ;22;D.  ;nee;nee
1984;Haar, De;143;Avereest                   ;21;Noordoost-Overijssel                              ;23;O.  ;nee;nee
1985;323;48;Vlagtwedde                 ;4;Groninger Veenkolonien                            ;20;Gr. ;nee;nee
1986;Haaren;788;Haaren                     ;110;Gebied om 's-Hertogenbosch en Vught               ;30;NB. ;ja ;ja 
1987;Haarle;183;Tubbergen                  ;24;Overige gemeenten in Twente                       ;23;O.  ;ja ;nee
1988;Haarle;163;Hellendoorn                ;24;Overige gemeenten in Twente                       ;23;O.  ;ja ;nee
1989;Haarlem;392;Haarlem                    ;60;Haarlem                                           ;27;NH. ;ja ;ja 
1990;Haarlemmerliede;393;Haarlemmerliede c.a.       ;62;Noordhollandse Meerlanden                         ;27;NH. ;ja ;nee
1991;Haarlemmerliede-Penningsv.;393;Haarlemmerliede c.a.       ;62;Noordhollandse Meerlanden                         ;27;NH. ;nee;nee
1992;Haarlemmerliede-Spaarnwoude;393;Haarlemmerliede c.a.       ;62;Noordhollandse Meerlanden                         ;27;NH. ;nee;ja 
1993;Haarlemmermeer;394;Haarlemmermeer             ;62;Noordhollandse Meerlanden                         ;27;NH. ;nee;ja 
1994;Haarlo;211;Borculo                    ;28;Overige gemeenten westelijke Achterhoek           ;25;Gld.;ja ;nee
1995;Haarsteeg;797;Heusden                    ;110;Gebied om 's-Hertogenbosch en Vught               ;30;NB. ;ja ;nee
1996;Haart;197;Aalten                     ;30;Overige gemeenten oostelijke Achterhoek           ;25;Gld.;nee;nee
1997;Haarzuilens;347;Vleuten-De Meern           ;49;Utrechts weidegebied                              ;26;U.  ;ja ;nee
1998;Haasdal;951;Nuth                       ;125;Oostelijke Mijnstreek                             ;31;L.  ;nee;nee
1999;Haastrecht;623;Vlist                      ;75;Krimpenerwaard                                    ;28;ZH. ;ja ;nee
2000;Haelen;914;Haelen                     ;123;Midden-Limburg ten westen van de Maas             ;31;L.  ;ja ;ja 
2001;Haelensche Broek;914;Haelen                     ;123;Midden-Limburg ten westen van de Maas             ;31;L.  ;nee;nee
2002;Haerst;193;Zwolle                     ;20;IJssel-, Vechtdelta                               ;23;O.  ;nee;nee
2003;Hagenkamp;772;Eindhoven                  ;113;Eindhoven                                         ;30;NB. ;nee;nee
2004;Hagestein;620;Vianen                     ;78;Vijfheerenlanden                                  ;28;ZH. ;ja ;nee
2005;Haghorst;798;Hilvarenbeek               ;108;Gebied om Tilburg                                 ;30;NB. ;nee;nee
2006;Haiink;1674;Roosendaal                 ;102;Bergen op Zoom, Roosendaal en omgeving            ;30;NB. ;nee;nee
2007;Hal;788;Haaren                     ;110;Gebied om 's-Hertogenbosch en Vught               ;30;NB. ;nee;nee
2008;Halder;845;Sint-Michielsgestel        ;110;Gebied om 's-Hertogenbosch en Vught               ;30;NB. ;nee;nee
2009;Halderberge;1655;Halderberge                ;102;Bergen op Zoom, Roosendaal en omgeving            ;30;NB. ;nee;ja 
2010;Haler;925;Hunsel                     ;123;Midden-Limburg ten westen van de Maas             ;31;L.  ;ja ;nee
2011;929;107;Beilen                     ;17;Drentse zandgronden                               ;22;D.  ;nee;nee
2012;Halfweg;133;Vries                      ;17;Drentse zandgronden                               ;22;D.  ;nee;nee
2013;Halfweg;393;Haarlemmerliede c.a.       ;62;Noordhollandse Meerlanden                         ;27;NH. ;ja ;nee
2014;Halfweg;180;Staphorst                  ;20;IJssel-, Vechtdelta                               ;23;O.  ;nee;nee
2015;Halfweg;553;Lisse                      ;68;Zuidhollandse Bollenstreek                        ;28;ZH. ;nee;nee
2016;Hall;213;Brummen                    ;34;Overige gemeenten oostelijke Veluwezoom           ;25;Gld.;ja ;nee
2017;Halle;298;Zelhem                     ;28;Overige gemeenten westelijke Achterhoek           ;25;Gld.;ja ;nee
2018;602;68;Ferwerderadeel             ;12;Friese bouwstreek                                 ;21;F.  ;ja ;nee
2019;603;68;Ferwerderadeel             ;12;Friese bouwstreek                                 ;21;F.  ;nee;nee
2020;Halsteren;748;Bergen op Zoom             ;102;Bergen op Zoom, Roosendaal en omgeving            ;30;NB. ;ja ;nee
2021;Halte;762;Deurne                     ;118;Brabantse Peel                                    ;30;NB. ;nee;nee
2022;Halvinkhuizen;273;Putten                     ;32;IJsselmeerkust                                    ;25;Gld.;nee;nee
2023;Ham;860;Veghel                     ;112;Midden-Meijerij                                   ;30;NB. ;nee;nee
2024;Ham;928;Kerkrade                   ;125;Oostelijke Mijnstreek                             ;31;L.  ;nee;nee
2025;Ham, De;307;Amersfoort                 ;43;Utrechtse Vallei en Eemgebied                     ;26;U.  ;nee;nee
2026;482;56;Zuidhorn                   ;1;Groninger Hoogeland en noordelijk Westerkwartier  ;20;Gr. ;ja ;nee
2027;Ham, Den;159;Den Ham                    ;21;Noordoost-Overijssel                              ;23;O.  ;ja ;ja 
2028;Ham, Den;347;Vleuten-De Meern           ;49;Utrechts weidegebied                              ;26;U.  ;nee;nee
2029;25;7;Bellingwedde               ;3;Groninger Oldambt                                 ;20;Gr. ;nee;nee
2030;Ham, Het;1702;Sint Anthonis              ;119;Land van Cuijk                                    ;30;NB. ;nee;nee
2031;Hamdijk;1661;Reiderland                 ;3;Groninger Oldambt                                 ;20;Gr. ;nee;nee
2032;Hamersveld;327;Leusden                    ;43;Utrechtse Vallei en Eemgebied                     ;26;U.  ;nee;nee
2033;Hamingen;180;Staphorst                  ;20;IJssel-, Vechtdelta                               ;23;O.  ;nee;nee
2034;547;59;Achtkarspelen              ;9;Fries zandgebied                                  ;21;F.  ;nee;nee
2035;Handel;1652;Gemert-Bakel               ;118;Brabantse Peel                                    ;30;NB. ;ja ;nee
2036;785;86;Opsterland                 ;9;Fries zandgebied                                  ;21;F.  ;nee;nee
2037;324;48;Vlagtwedde                 ;4;Groninger Veenkolonien                            ;20;Gr. ;nee;nee
2038;Hank;196;Rijnwaarden                ;26;De Lijmers                                        ;25;Gld.;nee;nee
2039;Hank;870;Werkendam                  ;105;Land van Altena                                   ;30;NB. ;ja ;nee
2040;Hankate;163;Hellendoorn                ;24;Overige gemeenten in Twente                       ;23;O.  ;nee;nee
2041;Hanssum;1670;Roggel en Neer             ;123;Midden-Limburg ten westen van de Maas             ;31;L.  ;nee;nee
2042;Hansweert;703;Reimerswaal                ;97;Noord- en Zuid-Beveland                           ;29;Z.  ;ja ;nee
2043;514;58;Dongeradeel                ;12;Friese bouwstreek                                 ;21;F.  ;ja ;nee
2044;515;58;Dongeradeel                ;12;Friese bouwstreek                                 ;21;F.  ;ja ;nee
2045;516;58;Dongeradeel                ;12;Friese bouwstreek                                 ;21;F.  ;ja ;nee
2046;Hanzewijk;166;Kampen                     ;20;IJssel-, Vechtdelta                               ;23;O.  ;nee;nee
2047;Hapert;1728;Bladel                     ;116;Kempenland                                        ;30;NB. ;ja ;nee
2048;Haps;1684;Cuijk                      ;119;Land van Cuijk                                    ;30;NB. ;ja ;nee
2049;Harbrinkhoek;183;Tubbergen                  ;24;Overige gemeenten in Twente                       ;23;O.  ;ja ;nee
2050;Harculo;193;Zwolle                     ;20;IJssel-, Vechtdelta                               ;23;O.  ;nee;nee
2051;Harde, 't;230;Elburg                     ;32;IJsselmeerkust                                    ;25;Gld.;ja ;nee
2052;Hardenberg;1661;Reiderland                 ;3;Groninger Oldambt                                 ;20;Gr. ;nee;nee
2053;Hardenberg;160;Hardenberg                 ;21;Noordoost-Overijssel                              ;23;O.  ;ja ;ja 
2054;Harderwijk;432;Opmeer                     ;54;Midden- en Oostelijk West-Friesland               ;27;NH. ;nee;nee
2055;Harderwijk;243;Harderwijk                 ;32;IJsselmeerkust                                    ;25;Gld.;ja ;ja 
2056;419;53;Winsum                     ;6;Groninger centrale Weidestreek                    ;20;Gr. ;nee;nee
2057;Hardinxveld-Giessendam;523;Hardinxveld-Giessendam     ;76;Industriegebied Alblasserwaard                    ;28;ZH. ;ja ;ja 
2058;961;109;Coevorden                  ;18;Zuiddrents randgebied                             ;22;D.  ;nee;nee
2059;142;17;Haren                      ;8;Randgebied stad Groningen                         ;20;Gr. ;ja ;ja 
2060;Haren;828;Oss                        ;111;Maaskant                                          ;30;NB. ;ja ;nee
2061;143;17;Haren                      ;8;Randgebied stad Groningen                         ;20;Gr. ;nee;nee
2062;Harenkarspel;395;Harenkarspel               ;53;Westelijk West-Friesland                          ;27;NH. ;nee;ja 
2063;Harfsen;239;Gorssel                    ;28;Overige gemeenten westelijke Achterhoek           ;25;Gld.;ja ;nee
2064;Hargen;444;Schoorl                    ;55;Noord-Kennemerland                                ;27;NH. ;nee;nee
2065;Harich;653;Gaasterlân-Sleat           ;10;Fries weidegebied                                 ;21;F.  ;ja ;nee
2066;Haringhuizen;412;Niedorp                    ;53;Westelijk West-Friesland                          ;27;NH. ;nee;nee
2067;548;59;Achtkarspelen              ;9;Fries zandgebied                                  ;21;F.  ;ja ;nee
2068;281;40;Slochteren                 ;4;Groninger Veenkolonien                            ;20;Gr. ;ja ;nee
2069;Harles;981;Vaals                      ;127;Overige gemeenten Zuid-Limburg                    ;31;L.  ;nee;nee
2070;653;72;Harlingen                  ;12;Friese bouwstreek                                 ;21;F.  ;ja ;ja 
2071;Harmelen;318;Harmelen                   ;49;Utrechts weidegebied                              ;26;U.  ;ja ;ja 
2072;Harmelerwaard;318;Harmelen                   ;49;Utrechts weidegebied                              ;26;U.  ;nee;nee
2073;325;48;Vlagtwedde                 ;4;Groninger Veenkolonien                            ;20;Gr. ;nee;nee
2074;Harreveld;260;Lichtenvoorde              ;30;Overige gemeenten oostelijke Achterhoek           ;25;Gld.;ja ;nee
2075;Harskamp;228;Ede                        ;31;Gelderse Vallei                                   ;25;Gld.;ja ;nee
2076;103;14;Groningen                  ;7;Stad Groningen                                    ;20;Gr. ;nee;nee
2077;Hart, 't;342;Soest                      ;44;Utrechtse Heuvelrug                               ;26;U.  ;nee;nee
2078;Hartwerd;710;Wûnseradiel                ;10;Fries weidegebied                                 ;21;F.  ;ja ;nee
2079;368;51;Skarsterlân                ;10;Fries weidegebied                                 ;21;F.  ;ja ;nee
2080;369;51;Skarsterlân                ;10;Fries weidegebied                                 ;21;F.  ;ja ;nee
2081;370;51;Skarsterlân                ;10;Fries weidegebied                                 ;21;F.  ;nee;nee
2082;180;22;Leek                       ;5;Groninger zuidelijk Westerkwartier                ;20;Gr. ;nee;nee
2083;Hasselt;161;Hasselt                    ;20;IJssel-, Vechtdelta                               ;23;O.  ;ja ;ja 
2084;Hasselt;855;Tilburg                    ;107;Tilburg                                           ;30;NB. ;nee;nee
2085;Hasselt;885;Arcen en Velden            ;120;Noord-Limburg                                     ;31;L.  ;nee;nee
2086;Hasselterdijk;193;Zwolle                     ;20;IJssel-, Vechtdelta                               ;23;O.  ;nee;nee
2087;Hatenboer;957;Roermond                   ;122;Overig Midden-Limburg ten oosten van de Maas      ;31;L.  ;nee;nee
2088;Hatert;268;Nijmegen                   ;39;Nijmegen                                          ;25;Gld.;nee;nee
2089;Hatertse Heide;268;Nijmegen                   ;39;Nijmegen                                          ;25;Gld.;nee;nee
2090;Hattem;244;Hattem                     ;34;Overige gemeenten oostelijke Veluwezoom           ;25;Gld.;ja ;ja 
2091;Hattemerbroek;269;Oldebroek                  ;32;IJsselmeerkust                                    ;25;Gld.;ja ;nee
2092;Haukes, De;462;Wieringen                  ;51;Wieringen, Wieringermeer                          ;27;NH. ;nee;nee
2093;754;85;Ooststellingwerf           ;9;Fries zandgebied                                  ;21;F.  ;ja ;nee
2094;755;85;Ooststellingwerf           ;9;Fries zandgebied                                  ;21;F.  ;ja ;nee
2095;Hauwert;529;Noorder-Koggenland         ;54;Midden- en Oostelijk West-Friesland               ;27;NH. ;ja ;nee
2096;Havelt;860;Veghel                     ;112;Midden-Meijerij                                   ;30;NB. ;nee;nee
2097;Havelte;117;Havelte                    ;17;Drentse zandgronden                               ;22;D.  ;ja ;ja 
2098;Havelterberg;117;Havelte                    ;17;Drentse zandgronden                               ;22;D.  ;ja ;nee
2099;Havenbuurt;852;Waterland                  ;57;Waterland                                         ;27;NH. ;nee;nee
2100;Havikkerwaard;275;Rheden                     ;36;Overige gemeenten zuidelijke Veluwezoom           ;25;Gld.;nee;nee
2101;Hayum;710;Wûnseradiel                ;10;Fries weidegebied                                 ;21;F.  ;nee;nee
2102;Hazelaar;1674;Roosendaal                 ;102;Bergen op Zoom, Roosendaal en omgeving            ;30;NB. ;nee;nee
2103;Hazelberg;1721;Bernheze                   ;111;Maaskant                                          ;30;NB. ;nee;nee
2104;Hazeldonk;879;Zundert                    ;104;Gebied om Breda                                   ;30;NB. ;nee;nee
2105;Hazeldonk;878;Zevenbergen                ;101;Zeekleigebied in Noord-Brabant                    ;30;NB. ;nee;nee
2106;Hazenkamp;983;Venlo                      ;121;Industriegebied Venlo-Beesel                      ;31;L.  ;nee;nee
2107;Hazerswoude;1672;Rijnwoude                  ;73;Rijnstreek Zuid-Holland                           ;28;ZH. ;ja ;nee
2108;Hedel;823;Oirschot                   ;114;Randgebied Eindhoven                              ;30;NB. ;nee;nee
2109;Hedel;245;Hedel                      ;42;Bommelerwaard                                     ;25;Gld.;ja ;ja 
2110;Hedikhuizen;797;Heusden                    ;110;Gebied om 's-Hertogenbosch en Vught               ;30;NB. ;nee;nee
2111;834;93;Terschelling               ;13;Friese Waddeneilanden                             ;21;F.  ;ja ;nee
2112;Heeg;683;Wymbritseradiel            ;10;Fries weidegebied                                 ;21;F.  ;ja ;nee
2113;Heek, De (ged.);994;Valkenburg aan de Geul     ;127;Overige gemeenten Zuid-Limburg                    ;31;L.  ;nee;nee
2114;Heek, De (ged.);986;Voerendaal                 ;125;Oostelijke Mijnstreek                             ;31;L.  ;nee;nee
2115;Heel;1937;Heel                       ;123;Midden-Limburg ten westen van de Maas             ;31;L.  ;ja ;ja 
2116;Heelsum;274;Renkum                     ;36;Overige gemeenten zuidelijke Veluwezoom           ;25;Gld.;ja ;nee
2117;Heelweg;295;Wisch                      ;29;Oude-IJsselgebied (oostelijk deel)                ;25;Gld.;nee;nee
2118;Heemse;160;Hardenberg                 ;21;Noordoost-Overijssel                              ;23;O.  ;nee;nee
2119;Heemserveen;160;Hardenberg                 ;21;Noordoost-Overijssel                              ;23;O.  ;ja ;nee
2120;Heemskerk;396;Heemskerk                  ;59;IJmond                                            ;27;NH. ;ja ;ja 
2121;Heemskerkerduin;396;Heemskerk                  ;59;IJmond                                            ;27;NH. ;nee;nee
2122;Heemstede;397;Heemstede                  ;61;Overige gemeenten Zuid-Kennemerland               ;27;NH. ;ja ;ja 
2123;Heen, De;851;Steenbergen                ;101;Zeekleigebied in Noord-Brabant                    ;30;NB. ;ja ;nee
2124;Heensche Polders;851;Steenbergen                ;101;Zeekleigebied in Noord-Brabant                    ;30;NB. ;nee;nee
2125;Heenvliet;568;Bernisse                   ;91;Voorne-Putten en Rozenburg                        ;28;ZH. ;ja ;nee
2126;Heer;935;Maastricht                 ;126;Maastricht                                        ;31;L.  ;nee;nee
2127;Heer-Abtskerke, 's-;654;Borsele                    ;97;Noord- en Zuid-Beveland                           ;29;Z.  ;ja ;nee
2128;Heer-Arendskerke, 's-;664;Goes                       ;97;Noord- en Zuid-Beveland                           ;29;Z.  ;ja ;nee
2129;Heer-Hendrikskinderen, 's-;664;Goes                       ;97;Noord- en Zuid-Beveland                           ;29;Z.  ;ja ;nee
2130;Heerde;246;Heerde                     ;34;Overige gemeenten oostelijke Veluwezoom           ;25;Gld.;ja ;ja 
2131;483;56;Zuidhorn                   ;1;Groninger Hoogeland en noordelijk Westerkwartier  ;20;Gr. ;nee;nee
2132;Heerenberg, 's-;207;Bergh                      ;27;Oude-IJsselgebied (westelijk deel)                ;25;Gld.;ja ;nee
2133;Heerenbroek, 's-;191;IJsselmuiden               ;20;IJssel-, Vechtdelta                               ;23;O.  ;ja ;nee
2134;Heerenhoek, 's-;654;Borsele                    ;97;Noord- en Zuid-Beveland                           ;29;Z.  ;ja ;nee
2135;658;74;Heerenveen                 ;9;Fries zandgebied                                  ;21;F.  ;ja ;ja 
2136;Heerewaarden;247;Heerewaarden               ;42;Bommelerwaard                                     ;25;Gld.;ja ;ja 
2137;Heerhugowaard;398;Heerhugowaard              ;53;Westelijk West-Friesland                          ;27;NH. ;ja ;ja 
2138;Heerjansdam;526;Heerjansdam                ;86;Westelijk IJsselmonde                             ;28;ZH. ;ja ;ja 
2139;Heerle;1674;Roosendaal                 ;102;Bergen op Zoom, Roosendaal en omgeving            ;30;NB. ;ja ;nee
2140;Heerlen;917;Heerlen                    ;125;Oostelijke Mijnstreek                             ;31;L.  ;ja ;ja 
2141;Heerlerbaan;917;Heerlen                    ;125;Oostelijke Mijnstreek                             ;31;L.  ;nee;nee
2142;Heerlerheide;917;Heerlen                    ;125;Oostelijke Mijnstreek                             ;31;L.  ;nee;nee
2143;Heers;861;Veldhoven                  ;114;Randgebied Eindhoven                              ;30;NB. ;nee;nee
2144;Heerstraat;994;Valkenburg aan de Geul     ;127;Overige gemeenten Zuid-Limburg                    ;31;L.  ;nee;nee
2145;Hees;268;Nijmegen                   ;39;Nijmegen                                          ;25;Gld.;nee;nee
2146;Hees;342;Soest                      ;44;Utrechtse Heuvelrug                               ;26;U.  ;nee;nee
2147;Hees;127;Ruinen                     ;17;Drentse zandgronden                               ;22;D.  ;nee;nee
2148;Hees, De;964;Sevenum                    ;120;Noord-Limburg                                     ;31;L.  ;nee;nee
2149;Hees, De;770;Eersel                     ;116;Kempenland                                        ;30;NB. ;nee;nee
2150;Heesakker;759;Budel                      ;117;Valkenswaard en oostelijke randgemeenten          ;30;NB. ;nee;nee
2151;Heesbeen;797;Heusden                    ;110;Gebied om 's-Hertogenbosch en Vught               ;30;NB. ;nee;nee
2152;Heesch;1721;Bernheze                   ;111;Maaskant                                          ;30;NB. ;ja ;nee
2153;Heeseind;796;'s-Hertogenbosch           ;109;'s-Hertogenbosch en Vught                         ;30;NB. ;nee;nee
2154;Heesselt;304;Neerijnen                  ;38;Westelijke Betuwe                                 ;25;Gld.;ja ;nee
2155;Heeswijk;1721;Bernheze                   ;111;Maaskant                                          ;30;NB. ;nee;nee
2156;Heeswijk;335;Montfoort                  ;49;Utrechts weidegebied                              ;26;U.  ;nee;nee
2157;Heeten;177;Raalte                     ;22;Zuidwest-Overijssel                               ;23;O.  ;ja ;nee
2158;Heetveld;194;Brederwiede                ;19;Noordwest-Overijssel                              ;23;O.  ;nee;nee
2159;Heeze;1658;Heeze-Leende               ;117;Valkenswaard en oostelijke randgemeenten          ;30;NB. ;ja ;nee
2160;Heeze-Leende;1658;Heeze-Leende               ;117;Valkenswaard en oostelijke randgemeenten          ;30;NB. ;nee;ja 
2161;Hefswal;1651;Eemsmond                   ;1;Groninger Hoogeland en noordelijk Westerkwartier  ;20;Gr. ;nee;nee
2162;Hegelsom;923;Horst                      ;120;Noord-Limburg                                     ;31;L.  ;nee;nee
2163;Hegge;962;Schinnen                   ;124;Westelijke Mijnstreek                             ;31;L.  ;nee;nee
2164;Hegge;232;Epe                        ;34;Overige gemeenten oostelijke Veluwezoom           ;25;Gld.;nee;nee
2165;Hei;973;Stramproy                  ;123;Midden-Limburg ten westen van de Maas             ;31;L.  ;nee;nee
2166;Hei-en Boeicop;707;Zederik                    ;78;Vijfheerenlanden                                  ;28;ZH. ;ja ;nee
2167;Heiakker;920;Heythuysen                 ;123;Midden-Limburg ten westen van de Maas             ;31;L.  ;nee;nee
2168;Heibloem;1670;Roggel en Neer             ;123;Midden-Limburg ten westen van de Maas             ;31;L.  ;ja ;nee
2169;Heide;976;Tegelen                    ;121;Industriegebied Venlo-Beesel                      ;31;L.  ;nee;nee
2170;371;51;Skarsterlân                ;10;Fries weidegebied                                 ;21;F.  ;nee;nee
2171;Heide;974;Susteren                   ;124;Westelijke Mijnstreek                             ;31;L.  ;nee;nee
2172;Heide;920;Heythuysen                 ;123;Midden-Limburg ten westen van de Maas             ;31;L.  ;nee;nee
2173;Heide;252;Heumen                     ;40;Gebied om Nijmegen                                ;25;Gld.;nee;nee
2174;Heide;218;Didam                      ;26;De Lijmers                                        ;25;Gld.;nee;nee
2175;Heide;984;Venray                     ;120;Noord-Limburg                                     ;31;L.  ;ja ;nee
2176;Heide;933;Maasbracht                 ;122;Overig Midden-Limburg ten oosten van de Maas      ;31;L.  ;nee;nee
2177;Heide, De;898;Broekhuizen                ;120;Noord-Limburg                                     ;31;L.  ;nee;nee
2178;Heidenhoek;298;Zelhem                     ;28;Overige gemeenten westelijke Achterhoek           ;25;Gld.;nee;nee
2179;Heiereind;749;Bergeyk                    ;116;Kempenland                                        ;30;NB. ;nee;nee
2180;Heierhoeve;912;Grubbenvorst               ;120;Noord-Limburg                                     ;31;L.  ;nee;nee
2181;Heihoek;828;Oss                        ;111;Maaskant                                          ;30;NB. ;nee;nee
2182;Heihoek;1684;Cuijk                      ;119;Land van Cuijk                                    ;30;NB. ;nee;nee
2183;Heijde, Ter;562;Monster                    ;81;Westland                                          ;28;ZH. ;ja ;nee
2184;Heijen;907;Gennep                     ;120;Noord-Limburg                                     ;31;L.  ;ja ;nee
2185;Heijendaal;268;Nijmegen                   ;39;Nijmegen                                          ;25;Gld.;nee;nee
2186;Heijenoord;202;Arnhem                     ;35;Arnhem                                            ;25;Gld.;nee;nee
2187;Heijenrade;990;Wittem                     ;127;Overige gemeenten Zuid-Limburg                    ;31;L.  ;nee;nee
2188;Heijenrath;990;Wittem                     ;127;Overige gemeenten Zuid-Limburg                    ;31;L.  ;ja ;nee
2189;Heijningen;878;Zevenbergen                ;101;Zeekleigebied in Noord-Brabant                    ;30;NB. ;ja ;nee
2190;Heijplaat;599;Rotterdam                  ;84;Rotterdam                                         ;28;ZH. ;nee;nee
2191;Heikant;856;Uden                       ;112;Midden-Meijerij                                   ;30;NB. ;nee;nee
2192;Heikant;855;Tilburg                    ;107;Tilburg                                           ;30;NB. ;nee;nee
2193;Heikant;944;Mook en Middelaar          ;120;Noord-Limburg                                     ;31;L.  ;nee;nee
2194;Heikant;759;Budel                      ;117;Valkenswaard en oostelijke randgemeenten          ;30;NB. ;nee;nee
2195;Heikant;744;Baarle-Nassau              ;108;Gebied om Tilburg                                 ;30;NB. ;nee;nee
2196;Heikant;1723;Alphen-Chaam               ;108;Gebied om Tilburg                                 ;30;NB. ;nee;nee
2197;Heikant;866;Waalre                     ;114;Randgebied Eindhoven                              ;30;NB. ;nee;nee
2198;Heikant;1728;Bladel                     ;116;Kempenland                                        ;30;NB. ;nee;nee
2199;Heikant;1659;Laarbeek                   ;115;Industriegebied Helmond                           ;30;NB. ;nee;nee
2200;Heikant;677;Hulst                      ;100;Overige gemeenten Oost-Zeeuwsch-Vlaanderen        ;29;Z.  ;ja ;nee
2201;Heikant;861;Veldhoven                  ;114;Randgebied Eindhoven                              ;30;NB. ;nee;nee
2202;Heikantse Hoeve;845;Sint-Michielsgestel        ;110;Gebied om 's-Hertogenbosch en Vught               ;30;NB. ;nee;nee
2203;Heike;861;Veldhoven                  ;114;Randgebied Eindhoven                              ;30;NB. ;nee;nee
2204;Heilaren;1721;Bernheze                   ;111;Maaskant                                          ;30;NB. ;nee;nee
2205;Heilig Landstichting;241;Groesbeek                  ;40;Gebied om Nijmegen                                ;25;Gld.;nee;nee
