ID;TypeGefailleerde;BedrijfstakkenBranchesSBI2008;Perioden;UitgesprokenFaillissementen_1
38;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2011 april;499
39;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2011 mei;631
40;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2011 juni;483
41;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2011 2e kwartaal;1613
42;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2011 juli;503
43;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2011 augustus;578
44;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2011 september;582
45;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2011 3e kwartaal;1663
46;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2011 oktober;587
47;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2011 november;718
48;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2011 december;567
49;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2011 4e kwartaal;1872
50;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2011;6883
51;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2012 januari;766
52;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2012 februari;671
53;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2012 maart;667
54;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2012 1e kwartaal;2104
55;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2012 april;668
56;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2012 mei;761
57;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2012 juni;661
58;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2012 2e kwartaal;2090
59;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2012 juli;809
60;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2012 augustus;577
61;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2012 september;646
62;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2012 3e kwartaal;2032
63;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2012 oktober;816
64;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2012 november;686
65;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2012 december;618
66;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2012 4e kwartaal;2120
67;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2012;8346
68;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2013 januari;835
69;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2013 februari;832
70;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2013 maart;813
71;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2013 1e kwartaal;2480
72;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2013 april;791
73;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2013 mei;891
74;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2013 juni;797
75;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2013 2e kwartaal;2479
76;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2013 juli;883
77;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2013 augustus;682
78;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2013 september;675
79;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2013 3e kwartaal;2240
80;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2013 oktober;840
81;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2013 november;677
82;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2013 december;715
83;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2013 4e kwartaal;2232
84;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2013;9431
85;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2014 januari;700
86;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2014 februari;681
87;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2014 maart;596
88;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2014 1e kwartaal;1977
89;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2014 april;829
90;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2014 mei;621
91;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2014 juni;524
92;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2014 2e kwartaal;1974
93;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2014 juli;721
94;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2014 augustus;537
95;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2014 september;630
96;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2014 3e kwartaal;1888
97;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2014 oktober;608
98;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2014 november;558
99;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2014 december;616
100;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2014 4e kwartaal;1782
101;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2014;7621
102;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2015 januari;552
103;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2015 februari;538
104;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2015 maart;712
105;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2015 1e kwartaal;1802
106;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2015 april;513
107;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2015 mei;433
108;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2015 juni;543
109;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2015 2e kwartaal;1489
110;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2015 juli;479
111;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2015 augustus;363
112;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2015 september;456
113;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2015 3e kwartaal;1298
114;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2015 oktober;427
115;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2015 november;438
116;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2015 december;552
117;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2015 4e kwartaal;1417
118;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2015;6006
119;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2016 januari;426
120;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2016 februari;504
121;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2016 maart;515
122;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2016 1e kwartaal;1445
123;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2016 april;411
124;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2016 mei;437
125;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2016 juni;421
126;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2016 2e kwartaal;1269
127;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2016 juli;400
128;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2016 augustus;372
129;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2016 september;333
130;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2016 3e kwartaal;1105
131;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2016 oktober;332
132;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2016 november;515
133;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2016 december;346
134;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2016 4e kwartaal;1193
135;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2016;5012
136;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2017 januari;444
137;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2017 februari;336
138;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2017 maart;340
139;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2017 1e kwartaal;1120
140;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2017 april;296
141;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2017 mei;373
142;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2017 juni;325
143;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2017 2e kwartaal;994
144;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2017 juli;289
145;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2017 augustus;315
146;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2017 september;271
147;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2017 3e kwartaal;875
148;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2017 oktober;334
149;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2017 november;292
150;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2017 december;252
151;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2017 4e kwartaal;878
152;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2017;3867
153;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2018 januari;366
154;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2018 februari;269
155;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2018 maart;296
156;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2018 1e kwartaal;931
157;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2018 april;288
158;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2018 mei;343
159;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2018 juni;271
160;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2018 2e kwartaal;902
161;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2018 juli;319
162;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2018 augustus;295
163;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2018 september;265
164;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2018 3e kwartaal;879
165;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2018 oktober;339
166;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2018 november;298
167;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2018 december;284
168;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2018 4e kwartaal;921
169;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2018;3633
170;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2019 januari;329
171;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2019 februari;299
172;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2019 maart;302
173;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2019 1e kwartaal;930
174;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2019 april;369
175;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2019 mei;295
176;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2019 juni;282
177;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2019 2e kwartaal;946
178;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2019 juli;360
179;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2019 augustus;286
180;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2019 september;296
181;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2019 3e kwartaal;942
182;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2019 oktober;335
183;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2019 november;317
184;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2019 december;322
185;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2019 4e kwartaal;974
186;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2019;3792
187;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2020 januari;299
188;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2020 februari;321
189;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2020 maart;327
190;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2020 1e kwartaal;947
191;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2020 april;366
192;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2020 mei;316
193;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2020 juni;298
194;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2020 2e kwartaal;980
195;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2020 juli;223
196;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2020 augustus;190
197;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2020 september;249
198;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2020 3e kwartaal;662
199;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2020 oktober;184
200;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2020 november;203
201;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2020 december;201
202;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2020 4e kwartaal;588
203;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2020;3177
204;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2021 januari;160
205;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2021 februari;136
206;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2021 maart;194
207;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2021 1e kwartaal;490
208;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2021 april;146
209;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2021 mei;153
210;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2021 juni;162
211;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2021 2e kwartaal;461
212;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2021 juli;120
213;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2021 augustus;124
214;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2021 september;137
215;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2021 3e kwartaal;381
216;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2021 oktober;121
217;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2021 november;208
218;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2021 december;157
219;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2021 4e kwartaal;486
220;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2021;1818
221;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2022 januari;130
222;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2022 februari;169
223;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2022 maart;189
224;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2022 1e kwartaal;488
225;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2022 april;108
226;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2022 mei;210
227;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2022 juni;155
228;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2022 2e kwartaal;473
229;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2022 juli;140
230;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2022 augustus;171
231;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2022 september;164
232;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2022 3e kwartaal;475
233;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2022 oktober;204
234;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2022 november;258
235;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2022 december;247
236;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2022 4e kwartaal;709
237;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2022;2145
238;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2023 januari;260
239;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2023 februari;259
240;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2023 maart;208
241;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2023 1e kwartaal;728
242;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2023 april;219
243;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2023 mei;291
244;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2023 juni;288
245;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2023 2e kwartaal;797
246;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2023 juli;242
247;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2023 augustus;309
248;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2023 september;280
249;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2023 3e kwartaal;831
250;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2023 oktober;332
251;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2023 november;287
252;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2023 december;296
253;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2023 4e kwartaal;915
254;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2023;3272
255;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2024 januari;420
256;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2024 februari;320
257;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2024 maart;313
258;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2024 1e kwartaal;1053
259;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2024 april;403
260;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2024 mei;316
261;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2024 juni;349
262;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2024 2e kwartaal;1068
263;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2024 juli;454
264;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2024 augustus;306
265;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2024 september;343
266;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2024 3e kwartaal;1103
267;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2024 oktober;371
268;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2024 november;325
269;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2024 december;350
270;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2024 4e kwartaal;1046
271;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2024;4270
272;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2025 januari;300
273;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2025 februari;339
274;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2025 maart;254
275;Bedrijven, instellingen en eenmanszaken;A-U Alle economische activiteiten;2025 1e kwartaal;893
276;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2009 januari;7
277;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2009 februari;4
278;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2009 maart;4
279;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2009 1e kwartaal;15
280;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2009 april;1
281;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2009 mei;12
282;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2009 juni;11
283;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2009 2e kwartaal;24
284;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2009 juli;11
285;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2009 augustus;11
286;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2009 september;15
287;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2009 3e kwartaal;37
288;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2009 oktober;17
289;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2009 november;11
290;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2009 december;12
291;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2009 4e kwartaal;40
292;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2009;116
293;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2010 januari;10
294;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2010 februari;13
295;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2010 maart;11
296;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2010 1e kwartaal;34
297;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2010 april;14
298;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2010 mei;3
299;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2010 juni;7
300;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2010 2e kwartaal;24
301;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2010 juli;4
302;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2010 augustus;9
303;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2010 september;10
304;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2010 3e kwartaal;23
305;Bedrijven, instellingen en eenmanszaken;A Landbouw, bosbouw en visserij;2010 oktober;7
